# q/kF, w_life / wp0
1.000000000000000056e-01,1.323030034793939210e-03
1.058116232464930001e-01,1.375226269184442757e-03
1.116232464929859808e-01,1.484946655845763340e-03
1.174348697394789615e-01,1.706252876746667787e-03
1.232464929859719421e-01,2.050625097445784879e-03
1.290581162324649367e-01,2.334387939998495975e-03
1.348697394789579174e-01,2.257850470702631000e-03
1.406813627254508980e-01,2.175611062916936022e-03
1.464929859719438787e-01,2.179369353864135054e-03
1.523046092184368872e-01,2.321086228829991830e-03
1.581162324649298678e-01,2.569309814645455350e-03
1.639278557114228485e-01,2.842993085445705021e-03
1.697394789579158292e-01,3.150571269799230713e-03
1.755511022044088376e-01,3.200991815622102228e-03
1.813627254509017905e-01,3.325288926957834304e-03
1.871743486973947990e-01,3.509745845266568423e-03
1.929859719438877796e-01,3.752547084377635695e-03
1.987975951903807603e-01,4.070360146513221124e-03
2.046092184368737410e-01,4.331454523071008589e-03
2.104208416833667217e-01,4.454257720149980976e-03
2.162324649298597301e-01,4.655210477952333864e-03
2.220440881763527385e-01,4.930914816059553916e-03
2.278557114228457192e-01,5.271520033849630589e-03
2.336673346693386444e-01,5.524551726764911214e-03
2.394789579158316251e-01,5.712283421368836815e-03
2.452905811623246612e-01,5.973922966119566726e-03
2.511022044088176419e-01,6.306296705854470656e-03
2.569138276553106226e-01,6.653785140511160601e-03
2.627254509018036033e-01,6.857556705365018025e-03
2.685370741482965840e-01,7.135150581635729856e-03
2.743486973947896201e-01,7.482672914482732703e-03
2.801603206412826008e-01,7.842444193383058329e-03
2.859719438877755815e-01,8.083324645873581418e-03
2.917835671342685622e-01,8.397292761889706483e-03
2.975951903807615428e-01,8.779928662691515590e-03
3.034068136272545235e-01,9.106373620811495165e-03
3.092184368737475042e-01,9.401212280323395509e-03
3.150300601202404849e-01,9.766686392813821518e-03
3.208416833667334656e-01,1.017969531279632606e-02
3.266533066132264462e-01,1.046877623278015187e-02
3.324649298597194269e-01,1.082880678193016630e-02
3.382765531062124076e-01,1.125639647410793358e-02
3.440881763527053883e-01,1.158610438506849777e-02
3.498997995991983689e-01,1.195118510180635113e-02
3.557114228456913496e-01,1.238390572183665703e-02
3.615230460921843303e-01,1.274756716793950390e-02
3.673346693386772555e-01,1.312652917572708876e-02
3.731462925851702916e-01,1.357272564195903010e-02
3.789579158316632168e-01,1.395185828467952402e-02
3.847695390781563640e-01,1.435208482456745184e-02
3.905811623246493447e-01,1.481849758775856049e-02
3.963927855711423254e-01,1.520029747499941977e-02
4.022044088176353616e-01,1.562772311724944935e-02
4.080160320641282867e-01,1.610246378400585765e-02
4.138276553106213229e-01,1.649562699237119845e-02
4.196392785571142481e-01,1.695507694137821444e-02
4.254509018036071732e-01,1.741034469343592100e-02
4.312625250501002094e-01,1.784103034713217448e-02
4.370741482965931346e-01,1.833626181183033513e-02
4.428857715430861708e-01,1.876854665009931866e-02
4.486973947895791515e-01,1.923981354558339241e-02
4.545090180360721321e-01,1.973010114042853327e-02
4.603206412825651128e-01,2.018096991002159973e-02
4.661322645290580935e-01,2.069494797980014206e-02
4.719438877755510742e-01,2.115355640806826018e-02
4.777555110220441104e-01,2.165076440546392575e-02
4.835671342685370355e-01,2.215270683629666851e-02
4.893787575150300717e-01,2.263605208693810281e-02
4.951903807615229969e-01,2.317450439407861898e-02
5.010020040080159776e-01,2.364671920121034013e-02
5.068136272545090693e-01,2.417983106780527414e-02
5.126252505010020499e-01,2.467942991937892641e-02
5.184368737474950306e-01,2.520364657114782317e-02
5.242484969939880113e-01,2.573156522801246099e-02
5.300601202404809920e-01,2.624898158217886870e-02
5.358717434869739726e-01,2.680099052380325447e-02
5.416833667334669533e-01,2.731351066710579339e-02
5.474949899799599340e-01,2.788354417173143779e-02
5.533066132264529147e-01,2.839530921909203323e-02
5.591182364729458953e-01,2.896155577008065890e-02
5.649298597194388760e-01,2.949282088613739208e-02
5.707414829659318567e-01,3.005664126175560530e-02
5.765531062124248374e-01,3.060470650096490386e-02
5.823647294589178181e-01,3.116730602069564884e-02
5.881763527054107987e-01,3.172987455292998471e-02
5.939879759519037794e-01,3.229226185525557041e-02
5.997995991983967601e-01,3.286736436528324423e-02
6.056112224448897408e-01,3.343037837635951665e-02
6.114228456913827214e-01,3.401634234512015964e-02
6.172344689378757021e-01,3.458064793842525325e-02
6.230460921843686828e-01,3.517605269004919072e-02
6.288577154308616635e-01,3.574216041096645730e-02
6.346693386773546441e-01,3.634580848254062579e-02
6.404809619238476248e-01,3.691406362318227358e-02
6.462925851703406055e-01,3.752494307437070908e-02
6.521042084168335862e-01,3.809554576137651194e-02
6.579158316633265668e-01,3.871282522873144977e-02
6.637274549098196585e-01,3.928583678220162745e-02
6.695390781563126392e-01,3.990453499115455271e-02
6.753507014028056199e-01,4.048416328614624221e-02
6.811623246492986006e-01,4.110384309417940835e-02
6.869739478957915813e-01,4.168976918521640623e-02
6.927855711422845619e-01,4.231017442483477747e-02
6.985971943887775426e-01,4.290190082458492093e-02
7.044088176352705233e-01,4.352264798789061417e-02
7.102204408817635040e-01,4.411979215151155126e-02
7.160320641282564846e-01,4.474039136703254066e-02
7.218436873747494653e-01,4.534268845687078331e-02
7.276553106212424460e-01,4.596254698473698636e-02
7.334669338677353156e-01,4.656983291433528654e-02
7.392785571142284073e-01,4.718825735640938546e-02
7.450901803607213880e-01,4.780047587734947284e-02
7.509018036072144797e-01,4.841668949149363632e-02
7.567134268537073494e-01,4.903389413658854057e-02
7.625250501002003300e-01,4.964704082157848919e-02
7.683366733466933107e-01,5.026939098941290984e-02
7.741482965931864024e-01,5.087854670417965575e-02
7.799599198396792721e-01,5.150632174461516888e-02
7.857715430861723638e-01,5.211050731802715358e-02
7.915831663326652334e-01,5.274305373979536887e-02
7.973947895791583251e-01,5.334229983540331871e-02
8.032064128256513058e-01,5.396712826439128974e-02
8.090180360721443975e-01,5.457341509188189804e-02
8.148296593186372672e-01,5.518945484743608548e-02
8.206412825651302478e-01,5.580347436204916023e-02
8.264529058116232285e-01,5.640964950989287713e-02
8.322645290581163202e-01,5.703227649471285382e-02
8.380761523046091899e-01,5.762752487858567585e-02
8.438877755511021705e-01,5.824235555614742238e-02
8.496993987975951512e-01,5.884312766594806954e-02
8.555110220440880209e-01,5.944427322783148171e-02
8.613226452905811126e-01,6.005679553566361378e-02
8.671342685370740933e-01,6.064330792329634956e-02
8.729458917835670739e-01,6.124420469339074413e-02
8.787575150300599436e-01,6.184024870687096498e-02
8.845691382765530353e-01,6.242401612345539752e-02
8.903807615230460160e-01,6.301880202417116383e-02
8.961923847695391077e-01,6.360232331093286506e-02
9.020040080160319773e-01,6.417776594672038037e-02
9.078156312625250690e-01,6.476100454867513012e-02
9.136272545090179387e-01,6.533683386229029166e-02
9.194388777555110304e-01,6.589892423271186128e-02
9.252505010020040110e-01,6.646578704726516240e-02
9.310621242484969917e-01,6.703586070890363291e-02
9.368737474949898614e-01,6.758438810289416065e-02
9.426853707414829531e-01,6.813088854969330532e-02
9.484969939879759337e-01,6.867795222843493808e-02
9.543086172344690254e-01,6.922415634418943586e-02
9.601202404809618951e-01,6.975773176083523153e-02
9.659318637274548758e-01,7.027933992575229050e-02
9.717434869739478565e-01,7.079798852527521835e-02
9.775551102204409482e-01,7.131245621916806887e-02
9.833667334669338178e-01,7.182158041034712725e-02
9.891783567134267985e-01,7.232426232661609555e-02
9.949899799599197792e-01,7.281947159369102363e-02
1.000801603206412871e+00,7.330323153538342851e-02
1.006613226452905741e+00,7.377494857521244009e-02
1.012424849699398832e+00,7.423863986384998670e-02
1.018236472945891702e+00,7.469364835215179521e-02
1.024048096192384794e+00,7.513942534962424202e-02
1.029859719438877885e+00,7.557554098103115570e-02
1.035671342685370755e+00,7.600169472983199503e-02
1.041482965931863847e+00,7.641673710887184057e-02
1.047294589178356716e+00,7.681327723074304892e-02
1.053106212424849808e+00,7.719753004260614115e-02
1.058917835671342678e+00,7.756979512858391823e-02
1.064729458917835769e+00,7.793057137745003360e-02
1.070541082164328639e+00,7.828057728743455235e-02
1.076352705410821731e+00,7.861901251871290797e-02
