# q/kF, int w**1 * S(q; w) dw
5.000000000000000278e-02,1.796654281691591254e-15
5.791583166332665844e-02,4.352443569588103701e-15
6.583166332665331411e-02,9.420743805289425398e-15
7.374749498997995589e-02,1.869162967153851112e-14
8.166332665330661156e-02,3.461474963224854578e-14
8.957915831663326722e-02,6.060666001545769967e-14
9.749498997995992289e-02,1.012781490448362007e-13
1.054108216432865924e-01,1.626947063253201383e-13
1.133266533066132342e-01,2.527705458096627648e-13
1.212424849699398899e-01,3.815434938136009250e-13
1.291583166332665455e-01,5.615241370245280413e-13
1.370741482965932012e-01,8.084077963021605894e-13
1.449899799599198569e-01,1.141242030223310182e-12
1.529058116232465125e-01,1.582696996375936748e-12
1.608216432865731682e-01,2.161248070946872760e-12
1.687374749498998239e-01,2.909284795004102380e-12
1.766533066132264795e-01,3.866698250811985887e-12
1.845691382765531352e-01,5.080059861096828229e-12
1.924849699398797909e-01,6.602306659903113377e-12
2.004008016032064743e-01,8.497965611825021711e-12
2.083166332665331022e-01,1.083910565698500769e-11
2.162324649298597579e-01,1.371030374316899346e-11
2.241482965931864135e-01,1.721014838003059623e-11
2.320641282565130414e-01,2.144861143060061682e-11
2.399799599198396693e-01,2.655560300044878564e-11
2.478957915831663250e-01,3.267368992328821298e-11
2.558116232464929807e-01,3.996824708802206103e-11
2.637274549098196363e-01,4.862541248548547707e-11
2.716432865731462920e-01,5.885981016306239627e-11
2.795591182364729477e-01,7.090716446128298942e-11
2.874749498997996033e-01,8.503474510148176980e-11
2.953907815631262590e-01,1.015371854057455994e-10
3.033066132264529147e-01,1.207653472751960065e-10
3.112224448897795148e-01,1.430874953477599404e-10
3.191382765531062260e-01,1.689185722080084716e-10
3.270541082164328817e-01,1.987299336380313174e-10
3.349699398797595373e-01,2.330610095032001021e-10
3.428857715430861930e-01,2.724660994675328161e-10
3.508016032064128487e-01,3.175642151545534727e-10
3.587174348697395043e-01,3.691492544277341209e-10
3.666332665330662155e-01,4.279006734970254922e-10
3.745490981963928157e-01,4.947920224789594907e-10
3.824649298597194713e-01,5.707116527875038442e-10
3.903807615230461270e-01,6.567094581117750391e-10
3.982965931863727826e-01,7.539729169926095344e-10
