# q/kF, int w**1 * S(q; w) dw
1.000000000000000021e-02,2.968259639070826519e-14
2.000000000000000042e-02,7.201419861062833004e-13
2.999999999999999889e-02,7.531029896247535958e-12
4.000000000000000083e-02,4.180533419703144623e-11
5.000000000000000278e-02,1.593544492259454963e-10
6.000000000000000472e-02,4.771361436269976014e-10
6.999999999999999278e-02,1.209058285498195447e-09
8.000000000000000167e-02,2.820580070296142545e-09
8.999999999999999667e-02,5.512788114411975836e-09
9.999999999999999167e-02,1.042287632322655202e-08
1.100000000000000006e-01,1.859030473402022390e-08
1.199999999999999956e-01,3.156856190732967450e-08
1.300000000000000044e-01,5.168086962633001534e-08
1.400000000000000133e-01,8.095071884873898163e-08
1.500000000000000222e-01,1.236040793894898052e-07
1.600000000000000033e-01,1.838796992169833939e-07
1.700000000000000122e-01,2.673798265022858329e-07
1.800000000000000211e-01,3.809455996104218670e-07
1.900000000000000300e-01,5.332154268856033178e-07
2.000000000000000111e-01,7.344143295853852144e-07
2.100000000000000200e-01,9.970195754368114072e-07
2.200000000000000011e-01,1.336443708514997275e-06
2.300000000000000100e-01,1.769356836392243667e-06
2.400000000000000189e-01,2.320310221142647294e-06
2.500000000000000000e-01,3.007304755016072006e-06
2.600000000000000089e-01,3.945767911285361741e-06
2.700000000000000178e-01,4.929351803304618830e-06
2.800000000000000266e-01,6.236659268062381423e-06
2.900000000000000355e-01,7.835120683907630869e-06
2.999999999999999889e-01,9.778430085824279971e-06
3.099999999999999978e-01,1.214008394499162594e-05
3.200000000000000067e-01,1.495926264195075677e-05
3.300000000000000155e-01,1.835294887169797040e-05
3.400000000000000244e-01,2.240384241283341839e-05
3.500000000000000333e-01,2.722184301648150113e-05
3.600000000000000422e-01,3.293158974512027900e-05
3.699999999999999400e-01,3.967525692389017823e-05
3.800000000000000600e-01,4.761607894445253028e-05
3.900000000000000133e-01,5.693791964440517785e-05
4.000000000000000222e-01,6.785396123202404675e-05
4.100000000000000311e-01,8.060022444803958876e-05
4.200000000000000400e-01,9.544752052591629770e-05
4.299999999999999933e-01,1.127008975080302046e-04
4.400000000000000022e-01,1.327172673266923818e-04
4.500000000000000111e-01,1.558788960422822568e-04
4.600000000000000200e-01,1.826362056261559045e-04
4.700000000000000289e-01,2.134806888274698856e-04
4.800000000000000377e-01,2.489964472129723013e-04
4.899999999999999911e-01,2.898125148291491701e-04
5.000000000000000000e-01,3.366476432519945614e-04
5.100000000000000089e-01,3.903115521595923107e-04
5.200000000000000178e-01,4.517303088656080164e-04
5.300000000000000266e-01,5.219459735818873141e-04
5.400000000000000355e-01,6.020851958788175397e-04
5.500000000000000444e-01,6.934943401945904999e-04
5.600000000000000533e-01,7.976237894245988410e-04
5.700000000000000622e-01,9.161818151570369929e-04
5.800000000000000711e-01,1.050984025452379820e-03
5.899999999999999689e-01,1.204165134534805918e-03
5.999999999999999778e-01,1.378196458094008408e-03
6.099999999999999867e-01,1.575718831983458296e-03
6.199999999999999956e-01,1.799785576792286819e-03
6.300000000000000044e-01,2.053852927179948811e-03
6.400000000000000133e-01,2.341938380883808006e-03
6.500000000000000222e-01,2.668512312575657686e-03
6.600000000000000311e-01,3.038551189787254067e-03
6.700000000000000400e-01,3.457710522219334739e-03
6.800000000000000488e-01,3.933234406402809705e-03
6.900000000000000577e-01,4.472003144634489717e-03
7.000000000000000666e-01,5.083466801212655276e-03
7.100000000000000755e-01,5.776879421475397507e-03
7.199999999999999734e-01,6.565556480141274132e-03
7.299999999999999822e-01,7.462003608868717636e-03
7.399999999999998801e-01,8.482568110576566359e-03
7.500000000000000000e-01,9.647417642004576382e-03
7.600000000000001199e-01,1.098024766803891439e-02
7.700000000000000178e-01,1.250886302727251265e-02
7.800000000000000266e-01,1.426871891194234250e-02
7.900000000000000355e-01,1.630469360420848390e-02
8.000000000000000444e-01,1.867505534832171118e-02
8.100000000000000533e-01,2.145791500676597768e-02
8.200000000000000622e-01,2.476427489466985835e-02
8.300000000000000711e-01,2.878262939680319155e-02
8.400000000000000799e-01,3.380634704388425088e-02
8.499999999999999778e-01,4.044684795335025396e-02
8.599999999999999867e-01,5.054234435719183460e-02
8.699999999999999956e-01,1.002386816733535496e-01
8.800000000000000044e-01,8.902549638584698888e-02
8.900000000000000133e-01,9.119089849652871338e-02
9.000000000000000222e-01,9.321535651015995516e-02
9.100000000000000311e-01,9.532046834597113216e-02
9.200000000000000400e-01,9.741507275466260163e-02
9.300000000000000488e-01,9.955029454710462300e-02
9.400000000000000577e-01,1.017041393621807288e-01
9.500000000000000666e-01,1.038752436637528781e-01
9.600000000000000755e-01,1.060737890073874395e-01
9.699999999999999734e-01,1.082977163601700626e-01
9.799999999999999822e-01,1.105425900208928114e-01
9.899999999999998801e-01,1.128096516214953798e-01
1.000000000000000000e+00,1.150995673967648986e-01
1.010000000000000009e+00,1.174126569246331520e-01
1.020000000000000018e+00,1.197490291564400344e-01
1.030000000000000027e+00,1.221086670251810280e-01
1.040000000000000036e+00,1.244914774806678420e-01
1.050000000000000044e+00,1.268973241857088707e-01
1.060000000000000053e+00,1.293260181924049956e-01
1.070000000000000062e+00,1.317773679512534157e-01
1.080000000000000071e+00,1.342511576180446253e-01
1.090000000000000080e+00,1.367484120479057486e-01
1.100000000000000089e+00,1.392702596371278023e-01
1.110000000000000098e+00,1.418139567922209465e-01
1.120000000000000107e+00,1.443792318100917960e-01
1.130000000000000115e+00,1.469703195050995059e-01
1.140000000000000124e+00,1.495828699514321347e-01
1.150000000000000133e+00,1.522182553296272944e-01
1.160000000000000142e+00,1.548776628299921576e-01
1.169999999999999929e+00,1.575586780276044541e-01
1.179999999999999938e+00,1.602642342645003437e-01
1.189999999999999947e+00,1.629917145427484948e-01
1.199999999999999956e+00,1.657425400289565531e-01
1.209999999999999964e+00,1.685169133761571236e-01
1.219999999999999973e+00,1.713128539997427757e-01
1.229999999999999982e+00,1.741333728059276942e-01
1.239999999999999991e+00,1.769767001336864654e-01
1.249999999999999778e+00,1.798422723180108374e-01
1.260000000000000009e+00,1.827303603405924792e-01
1.270000000000000018e+00,1.856431035217183112e-01
1.280000000000000027e+00,1.885785331166545675e-01
1.290000000000000036e+00,1.915367015806094808e-01
1.300000000000000044e+00,1.945177489997444997e-01
1.310000000000000053e+00,1.975217563836705881e-01
1.320000000000000062e+00,2.005488023948467646e-01
1.330000000000000071e+00,2.035989041804138200e-01
1.340000000000000080e+00,2.066720828856351000e-01
1.350000000000000089e+00,2.097683162379565813e-01
