# q/kF, int w**1 * S(q; w) dw
1.000000000000000021e-02,2.968259887024814426e-14
2.000000000000000042e-02,7.201421024518710747e-13
2.999999999999999889e-02,7.531030731700316528e-12
4.000000000000000083e-02,4.180533741412119341e-11
5.000000000000000278e-02,1.593544604352991836e-10
6.000000000000000472e-02,4.771361095731587868e-10
6.999999999999999278e-02,1.209055500542094027e-09
8.000000000000000167e-02,2.818957686483264168e-09
8.999999999999999667e-02,5.512845704904094032e-09
9.999999999999999167e-02,1.042292672540349074e-08
1.100000000000000006e-01,1.859042204736204434e-08
1.199999999999999956e-01,3.156882055064526493e-08
1.300000000000000044e-01,5.166270068952915043e-08
1.400000000000000133e-01,8.095217274199977433e-08
1.500000000000000222e-01,1.236067738076746615e-07
1.600000000000000033e-01,1.838845276248485951e-07
1.700000000000000122e-01,2.673917363070540077e-07
1.800000000000000211e-01,3.809627990420733774e-07
1.900000000000000300e-01,5.332437953947384013e-07
2.000000000000000111e-01,7.344658730273122561e-07
2.100000000000000200e-01,9.971024471772217761e-07
2.200000000000000011e-01,1.336805248767162649e-06
2.300000000000000100e-01,1.769568560435172336e-06
2.400000000000000189e-01,2.319148337172646769e-06
2.500000000000000000e-01,3.007806246554642494e-06
2.600000000000000089e-01,3.870516301360118798e-06
2.700000000000000178e-01,4.930467618006450698e-06
2.800000000000000266e-01,6.238345077843015459e-06
2.900000000000000355e-01,7.837473810873944453e-06
2.999999999999999889e-01,9.781798729663541931e-06
3.099999999999999978e-01,1.213578433221374987e-05
3.200000000000000067e-01,1.496591459858893434e-05
3.300000000000000155e-01,1.836218145499435568e-05
3.400000000000000244e-01,2.241670030116856650e-05
3.500000000000000333e-01,2.723892541217266561e-05
3.600000000000000422e-01,3.295499618356916444e-05
3.699999999999999400e-01,3.970672153227363510e-05
3.800000000000000600e-01,4.765808422673835316e-05
3.900000000000000133e-01,5.699364954006750581e-05
4.000000000000000222e-01,6.792749063770330540e-05
4.100000000000000311e-01,8.069671517376153524e-05
4.200000000000000400e-01,9.557331975913118890e-05
4.299999999999999933e-01,1.128639197980068097e-04
4.400000000000000022e-01,1.329276403491345265e-04
4.500000000000000111e-01,1.561492403318952391e-04
4.600000000000000200e-01,1.829821635489196777e-04
4.700000000000000289e-01,2.139214840680232961e-04
4.800000000000000377e-01,2.495562189096196056e-04
4.899999999999999911e-01,2.905207281670155119e-04
5.000000000000000000e-01,3.375401391038152692e-04
5.100000000000000089e-01,3.914328005098202581e-04
5.200000000000000178e-01,4.531343961990230815e-04
5.300000000000000266e-01,5.236982180759437635e-04
5.400000000000000355e-01,6.042675690373068781e-04
5.500000000000000444e-01,6.962041391770742342e-04
5.600000000000000533e-01,8.009788310644791031e-04
5.700000000000000622e-01,9.203271332633516065e-04
5.800000000000000711e-01,1.056115044957135285e-03
5.899999999999999689e-01,1.210448561867955627e-03
5.999999999999999778e-01,1.385908730220120197e-03
6.099999999999999867e-01,1.585167180659515082e-03
6.199999999999999956e-01,1.811340724633088602e-03
6.300000000000000044e-01,2.067961556480076967e-03
6.400000000000000133e-01,2.359154766816715185e-03
6.500000000000000222e-01,2.689457738240213017e-03
6.600000000000000311e-01,3.064024900046067885e-03
6.700000000000000400e-01,3.488668167461124719e-03
6.800000000000000488e-01,3.970808335265697299e-03
6.900000000000000577e-01,4.517588040685611463e-03
7.000000000000000666e-01,5.138756272673057277e-03
7.100000000000000755e-01,5.843915999760342962e-03
7.199999999999999734e-01,6.646873249131256614e-03
7.299999999999999822e-01,7.560678724683586940e-03
