# q/kF, int w**2 * S(q; w) dw
1.000000000000000021e-02,2.193180455497717273e-08
2.000000000000000042e-02,3.278549611434636750e-07
2.999999999999999889e-02,1.555047418736413616e-06
4.000000000000000083e-02,4.927377826156011891e-06
5.000000000000000278e-02,1.414063728477130388e-05
6.000000000000000472e-02,4.619644643862154057e-05
6.999999999999999278e-02,1.984594504778803723e-04
8.000000000000000167e-02,3.161714625207557097e-04
8.999999999999999667e-02,1.776319836890686578e-04
9.999999999999999167e-02,1.634189958126941043e-04
1.100000000000000006e-01,2.505245422861182071e-04
1.199999999999999956e-01,4.355322544316249963e-04
1.300000000000000044e-01,4.421802676997106771e-04
1.400000000000000133e-01,4.435993636406183557e-04
1.500000000000000222e-01,5.754721998125247569e-04
1.600000000000000033e-01,6.582667601183935912e-04
1.700000000000000122e-01,7.078591920388654143e-04
1.800000000000000211e-01,8.240710802192192930e-04
1.900000000000000300e-01,9.053718374115654133e-04
2.000000000000000111e-01,1.007406998446841668e-03
2.100000000000000200e-01,1.112637743778186698e-03
2.200000000000000011e-01,1.221250101641646168e-03
2.300000000000000100e-01,1.337208436000825174e-03
2.400000000000000189e-01,1.457617460164314666e-03
2.500000000000000000e-01,1.583596969213550178e-03
2.600000000000000089e-01,1.715403800236190140e-03
2.700000000000000178e-01,1.852358768445709104e-03
2.800000000000000266e-01,1.995160814096800551e-03
2.900000000000000355e-01,2.143518165870559114e-03
2.999999999999999889e-01,2.297553680346737636e-03
3.099999999999999978e-01,2.457351044290372565e-03
3.200000000000000067e-01,2.622940664354686535e-03
3.300000000000000155e-01,2.794379631607218830e-03
3.400000000000000244e-01,2.971729830065838324e-03
3.500000000000000333e-01,3.155052360768873312e-03
3.600000000000000422e-01,3.344410182609479105e-03
3.699999999999999400e-01,3.539868695618391715e-03
3.800000000000000600e-01,3.741495941212915829e-03
3.900000000000000133e-01,3.949362096608876813e-03
4.000000000000000222e-01,4.163540211854725899e-03
4.100000000000000311e-01,4.384105127771827093e-03
4.200000000000000400e-01,4.611134476731880774e-03
4.299999999999999933e-01,4.844708187793093229e-03
4.400000000000000022e-01,5.084910089230133476e-03
4.500000000000000111e-01,5.331824161199265506e-03
