# q/kF, int w**1 * S(q; w) dw
1.000000000000000021e-02,8.801951634207864702e-07
2.000000000000000042e-02,3.119759207551138031e-05
2.999999999999999889e-02,1.163412496147069345e-03
4.000000000000000083e-02,3.367443174682590787e-04
5.000000000000000278e-02,1.780554201695427560e-04
6.000000000000000472e-02,1.651756079003991709e-04
6.999999999999999278e-02,2.237428981368540866e-04
8.000000000000000167e-02,4.573919389200419472e-04
8.999999999999999667e-02,1.264710211768043258e-03
9.999999999999999167e-02,1.450789088616697385e-03
1.100000000000000006e-01,1.137404111204974762e-03
1.199999999999999956e-01,1.507680100411543404e-03
1.300000000000000044e-01,2.179475192327356894e-03
1.400000000000000133e-01,2.179838611639447338e-03
1.500000000000000222e-01,2.545641328826023231e-03
1.600000000000000033e-01,3.016661493737047683e-03
1.700000000000000122e-01,3.275869764842339899e-03
1.800000000000000211e-01,3.761827792442760856e-03
1.900000000000000300e-01,4.138974183193257564e-03
2.000000000000000111e-01,4.616516454297819178e-03
2.100000000000000200e-01,5.071826148918232545e-03
2.200000000000000011e-01,5.577422411205036450e-03
2.300000000000000100e-01,6.090624239628558527e-03
2.400000000000000189e-01,6.634026696862661658e-03
2.500000000000000000e-01,7.198875074222705651e-03
2.600000000000000089e-01,7.786092470890112159e-03
2.700000000000000178e-01,8.397268540548698951e-03
2.800000000000000266e-01,9.031374072607173745e-03
2.900000000000000355e-01,9.688495455141141882e-03
2.999999999999999889e-01,1.036879610324103335e-02
3.099999999999999978e-01,1.107225852574200350e-02
3.200000000000000067e-01,1.179886765481906637e-02
3.300000000000000155e-01,1.254863062967992784e-02
3.400000000000000244e-01,1.332155740999007437e-02
3.500000000000000333e-01,1.411765673319401344e-02
3.600000000000000422e-01,1.493693486261735669e-02
3.699999999999999400e-01,1.577940081332952424e-02
3.800000000000000600e-01,1.664506217290459902e-02
3.900000000000000133e-01,1.753392486224505248e-02
4.000000000000000222e-01,1.844599820199080073e-02
4.100000000000000311e-01,1.938128900449819988e-02
4.200000000000000400e-01,2.033980507539906793e-02
4.299999999999999933e-01,2.132155363109151935e-02
4.400000000000000022e-01,2.232654148198038452e-02
