# q/kF, int w**0 * S(q; w) dw
1.000000000000000194e-02,1.293596476938194314e-05
2.000000000000000389e-02,5.028418256394998894e-05
2.999999999999999889e-02,1.114188640769462479e-04
4.000000000000000777e-02,1.949837858598658697e-04
5.000000000000000278e-02,3.019049511426429738e-04
6.000000000000000472e-02,4.365667989541468673e-04
6.999999999999999278e-02,6.060674598827540125e-04
8.000000000000001554e-02,8.152308598091510816e-04
8.999999999999999667e-02,1.057353397247195017e-03
9.999999999999997780e-02,1.312287927659028458e-03
1.100000000000000006e-01,1.566499981994587051e-03
1.199999999999999956e-01,1.835251631870129553e-03
1.300000000000000044e-01,2.148671635396690125e-03
1.400000000000000133e-01,2.513620086599037233e-03
1.500000000000000222e-01,2.901967554745673097e-03
1.600000000000000311e-01,3.293705653715986795e-03
1.700000000000000122e-01,3.709011436435429802e-03
1.800000000000000211e-01,4.165934124587992310e-03
1.900000000000000022e-01,4.649611363350815256e-03
2.000000000000000111e-01,5.150895671766781911e-03
2.100000000000000200e-01,5.681529224267088674e-03
2.200000000000000011e-01,6.241811080782096177e-03
2.300000000000000377e-01,6.825990393948560934e-03
2.400000000000000189e-01,7.437621703570085167e-03
2.500000000000000000e-01,8.076900209662687957e-03
2.600000000000000089e-01,8.742587453083129623e-03
2.700000000000000178e-01,9.435868102663072521e-03
2.800000000000000266e-01,1.015642403913407515e-02
2.900000000000000355e-01,1.090448091214728764e-02
2.999999999999999889e-01,1.168022735503399488e-02
3.099999999999999978e-01,1.248375893765256255e-02
3.200000000000000622e-01,1.331527339797405202e-02
3.300000000000000155e-01,1.417491371793092904e-02
3.400000000000000244e-01,1.506286215600805001e-02
3.500000000000000888e-01,1.597929171576493654e-02
3.600000000000000422e-01,1.692438926013618145e-02
3.699999999999999956e-01,1.789834567246432681e-02
3.800000000000000044e-01,1.890135986195620038e-02
3.900000000000000133e-01,1.993363769479521846e-02
4.000000000000000222e-01,2.099539235887039335e-02
4.100000000000000311e-01,2.208684459679205458e-02
4.200000000000000400e-01,2.320822277766444383e-02
4.299999999999999378e-01,2.435976311646461182e-02
4.400000000000000022e-01,2.554170984043597700e-02
4.500000000000000111e-01,2.675431536978239294e-02
4.600000000000000755e-01,2.799784051430707563e-02
4.700000000000000289e-01,2.927255466667005521e-02
4.800000000000000377e-01,3.057873601206537520e-02
4.899999999999999911e-01,3.191667174057755824e-02
5.000000000000000000e-01,3.328665826608188938e-02
5.100000000000000089e-01,3.468900145717435796e-02
5.200000000000000178e-01,3.612401687424793284e-02
5.300000000000000266e-01,3.759203001585388615e-02
5.400000000000000355e-01,3.909337657363289031e-02
5.500000000000000444e-01,4.062840269744059235e-02
5.600000000000000533e-01,4.219746526862321739e-02
5.700000000000000622e-01,4.380093218581729286e-02
5.800000000000000711e-01,4.543918265879780954e-02
5.899999999999999689e-01,4.711260751467180596e-02
5.999999999999999778e-01,4.882160951483386496e-02
6.099999999999998757e-01,5.056660368329353450e-02
6.199999999999999956e-01,5.234801764857356654e-02
6.300000000000000044e-01,5.416629199690884550e-02
6.400000000000001243e-01,5.602188063871054585e-02
6.500000000000000222e-01,5.791525118991992099e-02
6.600000000000000311e-01,5.984688536658874097e-02
6.700000000000001510e-01,6.181727939474870176e-02
6.800000000000000488e-01,6.382694443577351107e-02
6.900000000000000577e-01,6.587640702815249216e-02
7.000000000000001776e-01,6.796620954548826532e-02
7.100000000000000755e-01,7.009691067275301835e-02
7.199999999999999734e-01,7.226908590005752531e-02
7.299999999999999822e-01,7.448332803523556589e-02
7.399999999999999911e-01,7.674024773937818122e-02
7.500000000000000000e-01,7.904047408130331076e-02
7.600000000000000089e-01,8.138465510658580981e-02
7.700000000000000178e-01,8.377345844258636542e-02
7.800000000000000266e-01,8.620757192447571493e-02
7.900000000000000355e-01,8.868770422175226154e-02
8.000000000000000444e-01,9.121458554430876553e-02
8.100000000000000533e-01,9.378896829945200520e-02
8.200000000000000622e-01,9.641162786905765891e-02
8.300000000000000711e-01,9.908336330791844837e-02
8.400000000000000799e-01,1.018049982021900224e-01
8.499999999999999778e-01,1.045773814133155316e-01
8.599999999999998757e-01,1.074013879928235327e-01
8.699999999999999956e-01,1.102779200609817489e-01
8.800000000000000044e-01,1.132079076824398373e-01
8.900000000000001243e-01,1.161923098998505488e-01
9.000000000000000222e-01,1.192321157312102725e-01
9.100000000000000311e-01,1.223283451725510618e-01
9.200000000000001510e-01,1.254820503110762597e-01
9.300000000000000488e-01,1.286943164959392094e-01
9.400000000000000577e-01,1.319662635251142302e-01
9.500000000000001776e-01,1.352990468746529951e-01
9.600000000000000755e-01,1.386938589940189259e-01
9.699999999999999734e-01,1.421519306683854678e-01
9.799999999999999822e-01,1.456745324423835697e-01
9.899999999999999911e-01,1.492629761056690763e-01
1.000000000000000000e+00,1.529186162449833464e-01
1.010000000000000009e+00,1.566428518675556381e-01
1.020000000000000018e+00,1.604371281012157424e-01
1.030000000000000027e+00,1.643029379761758169e-01
1.040000000000000036e+00,1.682418242946610853e-01
1.050000000000000044e+00,1.722553815944367905e-01
1.060000000000000053e+00,1.763452582084484022e-01
1.070000000000000062e+00,1.805131584133642386e-01
1.080000000000000071e+00,1.847608446560086992e-01
1.090000000000000080e+00,1.890901398809134715e-01
1.100000000000000089e+00,1.935029300571978195e-01
1.110000000000000098e+00,1.980011669899158777e-01
1.120000000000000107e+00,2.025868712133022109e-01
1.130000000000000115e+00,2.072621345199560094e-01
1.140000000000000124e+00,2.120291225274240632e-01
1.150000000000000355e+00,2.168900786987280060e-01
1.160000000000000142e+00,2.218473288167623070e-01
1.169999999999999929e+00,2.269032826415555426e-01
1.179999999999999938e+00,2.320604367622277620e-01
1.189999999999999947e+00,2.373213830394723667e-01
1.199999999999999956e+00,2.426888100464117959e-01
1.209999999999999964e+00,2.481655036121198921e-01
1.219999999999999751e+00,2.537543617921071415e-01
1.229999999999999982e+00,2.594583900906266560e-01
1.239999999999999991e+00,2.652807087023659194e-01
1.250000000000000000e+00,2.712245687803432892e-01
1.260000000000000009e+00,2.772933359307027668e-01
1.270000000000000018e+00,2.834905279322472715e-01
1.280000000000000249e+00,2.898197859732905002e-01
1.290000000000000036e+00,2.962849192189723202e-01
1.300000000000000044e+00,3.028898747556607041e-01
1.310000000000000053e+00,3.096387864428575831e-01
1.320000000000000062e+00,3.165359367664957180e-01
1.330000000000000071e+00,3.235858266172955133e-01
1.340000000000000302e+00,3.307931054602304410e-01
1.350000000000000089e+00,3.381626873330260130e-01
1.360000000000000098e+00,3.456996365929015380e-01
1.370000000000000107e+00,3.534093085013438884e-01
1.380000000000000115e+00,3.612972745084556681e-01
1.390000000000000124e+00,3.693693324557887903e-01
1.400000000000000355e+00,3.776316542424680289e-01
1.410000000000000142e+00,3.860905844475181481e-01
1.419999999999999929e+00,3.947528239406936090e-01
1.429999999999999938e+00,4.036255049436127118e-01
