# q/kF, int w**0 * S(q; w) dw
5.000000000000000278e-02,7.616689184191217412e-10
5.791583166332665150e-02,1.590625001336729221e-09
6.583166332665331411e-02,3.023235956593028541e-09
7.374749498997995589e-02,5.343508444512612245e-09
8.166332665330661156e-02,8.915253795065631664e-09
8.957915831663328110e-02,1.419210125624646827e-08
9.749498997995992289e-02,2.172647517882244394e-08
1.054108216432865786e-01,3.218705692250456251e-08
1.133266533066132342e-01,4.636030828653428402e-08
1.212424849699398899e-01,6.517939885418254590e-08
1.291583166332665455e-01,8.972182442976229387e-08
1.370741482965932012e-01,1.212201029808726454e-07
1.449899799599198569e-01,1.611052004398806438e-07
1.529058116232465125e-01,2.109668928955884668e-07
1.608216432865731682e-01,2.726420839137983312e-07
1.687374749498998239e-01,3.481566786336530479e-07
1.766533066132264795e-01,4.398139125271933281e-07
1.845691382765531630e-01,5.501294634053592381e-07
1.924849699398797909e-01,6.819307475278113515e-07
2.004008016032064465e-01,8.383777886917605750e-07
2.083166332665331022e-01,1.022841154706076047e-06
2.162324649298597301e-01,1.239157079950022603e-06
2.241482965931864413e-01,1.491423392206299711e-06
2.320641282565130692e-01,1.784182045524424342e-06
2.399799599198396971e-01,2.122344715816971843e-06
2.478957915831663250e-01,2.511392504348593996e-06
2.558116232464929807e-01,2.956990079988323052e-06
2.637274549098196363e-01,3.465706175376367414e-06
2.716432865731462920e-01,4.044284526578264689e-06
2.795591182364729477e-01,4.700071310567958898e-06
2.874749498997996033e-01,5.441417939679045209e-06
2.953907815631262590e-01,6.276551425289088585e-06
3.033066132264529147e-01,7.214969361881349307e-06
3.112224448897795703e-01,8.266498554550518068e-06
3.191382765531062260e-01,9.442406553272728471e-06
3.270541082164328817e-01,1.075370991003088685e-05
3.349699398797595373e-01,1.221286045684839764e-05
3.428857715430861930e-01,1.383305548980937170e-05
3.508016032064128487e-01,1.562825063004166703e-05
3.587174348697395043e-01,1.761444574793394647e-05
3.666332665330661600e-01,1.980674961650362887e-05
3.745490981963928157e-01,2.222239517410167837e-05
3.824649298597195268e-01,2.488045730105207989e-05
3.903807615230461270e-01,2.779967251586958131e-05
3.982965931863727826e-01,3.100034016759065726e-05
4.062124248496994383e-01,3.450597010287823237e-05
4.141282565130260940e-01,3.833915950264101452e-05
4.220440881763526941e-01,4.252435710222919721e-05
4.299599198396792943e-01,4.708791290703479585e-05
4.378757515030060055e-01,5.205788029123602304e-05
4.457915831663327166e-01,5.746324277133283743e-05
4.537074148296593168e-01,6.333584575407895606e-05
