# q/kF, int w**1 * S(q; w) dw
1.000000000000000194e-02,5.116734169322755733e-10
2.000000000000000389e-02,7.094153512341093678e-09
2.999999999999999889e-02,3.031933916082656978e-08
4.000000000000000777e-02,8.026177097006936035e-08
5.000000000000000278e-02,1.719522684497763441e-07
6.000000000000000472e-02,3.446557807080599955e-07
6.999999999999999278e-02,7.152837153944946496e-07
8.000000000000001554e-02,1.645424348238169329e-06
8.999999999999999667e-02,3.922942306551623538e-06
9.999999999999997780e-02,6.103795937502129484e-06
1.100000000000000006e-01,5.516885673616955589e-06
1.199999999999999956e-01,5.076230090998386177e-06
1.300000000000000044e-01,5.703464000156367752e-06
1.400000000000000133e-01,7.250249231110147342e-06
1.500000000000000222e-01,8.971618153609484139e-06
1.600000000000000311e-01,1.014273542597540626e-05
1.700000000000000122e-01,1.114985329225625642e-05
1.800000000000000211e-01,1.245008373258211777e-05
1.900000000000000022e-01,1.395678427797992942e-05
2.000000000000000111e-01,1.549061014951347290e-05
2.100000000000000200e-01,1.706019200924599602e-05
2.200000000000000011e-01,1.871686245607994686e-05
2.300000000000000377e-01,2.045992576043362564e-05
2.400000000000000189e-01,2.227877582813867033e-05
2.500000000000000000e-01,2.417356537178539600e-05
2.600000000000000089e-01,2.614598064332842710e-05
2.700000000000000178e-01,2.819603244387388724e-05
2.800000000000000266e-01,3.032356406692015346e-05
2.900000000000000355e-01,3.252862107907269709e-05
2.999999999999999889e-01,3.481126621608897082e-05
3.099999999999999978e-01,3.717153928136251344e-05
3.200000000000000622e-01,3.960946899673303053e-05
3.300000000000000155e-01,4.212507150208288074e-05
3.400000000000000244e-01,4.471834476637460293e-05
3.500000000000000888e-01,4.738926486854825356e-05
3.600000000000000422e-01,5.013778354616573287e-05
3.699999999999999956e-01,5.296382791397801653e-05
3.800000000000000044e-01,5.586730183878191357e-05
3.900000000000000133e-01,5.884808941793649820e-05
4.000000000000000222e-01,6.190606023438993124e-05
4.100000000000000311e-01,6.504107608495484055e-05
4.200000000000000400e-01,6.825299861036721852e-05
4.299999999999999378e-01,7.154169662740067406e-05
4.400000000000000022e-01,7.490705421459847445e-05
4.500000000000000111e-01,7.834897615333058767e-05
4.600000000000000755e-01,8.186739344302615884e-05
4.700000000000000289e-01,8.546226640582002781e-05
4.800000000000000377e-01,8.913358614452576733e-05
4.899999999999999911e-01,9.288137422978993214e-05
5.000000000000000000e-01,9.670568109540563677e-05
5.100000000000000089e-01,1.006065829828827179e-04
5.200000000000000178e-01,1.045841782267189059e-04
5.300000000000000266e-01,1.086385828788245241e-04
5.400000000000000355e-01,1.127699268653013104e-04
5.500000000000000444e-01,1.169783481243165277e-04
5.600000000000000533e-01,1.212639889790190613e-04
5.700000000000000622e-01,1.256269934750442485e-04
5.800000000000000711e-01,1.300675014279764109e-04
5.899999999999999689e-01,1.345856477914964152e-04
5.999999999999999778e-01,1.391815607825209729e-04
6.099999999999998757e-01,1.438553566973662756e-04
6.199999999999999956e-01,1.486071425895234223e-04
6.300000000000000044e-01,1.534370140500840687e-04
6.400000000000001243e-01,1.583450554303655411e-04
6.500000000000000222e-01,1.633313371472407474e-04
6.600000000000000311e-01,1.683959188563674070e-04
6.700000000000001510e-01,1.735388487617444721e-04
6.800000000000000488e-01,1.787601641245834471e-04
6.900000000000000577e-01,1.840598919069190691e-04
7.000000000000001776e-01,1.894380509998538876e-04
7.100000000000000755e-01,1.948946502800027319e-04
7.199999999999999734e-01,2.004296893022303812e-04
7.299999999999999822e-01,2.060431610408898170e-04
7.399999999999999911e-01,2.117350523965182542e-04
7.500000000000000000e-01,2.175053519039004952e-04
7.600000000000000089e-01,2.233540276603881026e-04
7.700000000000000178e-01,2.292810528398795962e-04
7.800000000000000266e-01,2.352864031371342402e-04
7.900000000000000355e-01,2.413700310081419919e-04
8.000000000000000444e-01,2.475319137991056104e-04
8.100000000000000533e-01,2.537719945140571730e-04
8.200000000000000622e-01,2.600902488437361834e-04
8.300000000000000711e-01,2.664866132272937830e-04
8.400000000000000799e-01,2.729610635080039274e-04
8.499999999999999778e-01,2.795135377669876299e-04
8.599999999999998757e-01,2.861439895466813999e-04
8.699999999999999956e-01,2.928523878601102613e-04
8.800000000000000044e-01,2.996386672309363209e-04
8.900000000000001243e-01,3.065027789546298032e-04
9.000000000000000222e-01,3.134446948400083552e-04
9.100000000000000311e-01,3.204643567195884519e-04
9.200000000000001510e-01,3.275617129293993571e-04
9.300000000000000488e-01,3.347367175845763153e-04
9.400000000000000577e-01,3.419893249664135958e-04
9.500000000000001776e-01,3.493194969347920972e-04
9.600000000000000755e-01,3.567271960745254733e-04
9.699999999999999734e-01,3.642123690131235402e-04
