# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,1.000019997185295662e+00,-3.767801175502683009e-07
1.059529764882441265e-02,1.000022423136882832e+00,-1.148592232436130131e-07
1.119059529764882509e-02,1.000025075155558163e+00,2.006429431489209227e-07
1.178589294647323753e-02,1.000027714961709835e+00,-1.379781453536566005e-07
1.238119059529764823e-02,1.000030438020781176e+00,-1.005502414663794752e-08
1.297648824412206067e-02,1.000033497126883830e+00,-7.983731298288888825e-08
1.357178589294647311e-02,1.000036680730128635e+00,5.535856406613248075e-08
1.416708354177088555e-02,1.000039900238873569e+00,-1.435866947563368967e-07
1.476238119059529799e-02,1.000043375608749008e+00,2.319207126344480230e-08
1.535767883941971043e-02,1.000046894523670238e+00,1.135128557816500328e-07
1.595297648824412287e-02,1.000050631880318619e+00,1.225215318090278060e-07
1.654827413706853531e-02,1.000054499850786316e+00,3.559086725335447454e-08
1.714357178589294775e-02,1.000058458721843069e+00,-8.405950002732255557e-08
1.773886943471736019e-02,1.000062611982386995e+00,7.373246457831327078e-11
1.833416708354176916e-02,1.000066858055922658e+00,-4.276168175110228731e-08
1.892946473236618160e-02,1.000071292794777911e+00,-4.894329630467098013e-08
1.952476238119059404e-02,1.000075848990757299e+00,-1.712756803051718180e-08
2.012006003001500648e-02,1.000080551085861247e+00,1.220130230183968933e-08
2.071535767883941892e-02,1.000085388389420071e+00,-5.116109758063203117e-10
2.131065532766383136e-02,1.000090374651208425e+00,-1.779299729776084860e-08
2.190595297648824380e-02,1.000095482377633349e+00,-2.315590164059244671e-08
2.250125062531265624e-02,1.000100757397105466e+00,1.841097796440038792e-08
2.309654827413706868e-02,1.000106159231898273e+00,3.398904269147351029e-09
2.369184592296148112e-02,1.000111700868381970e+00,-2.749606542451487753e-09
2.428714357178589356e-02,1.000117387655380163e+00,8.803229256670874747e-10
2.488244122061030600e-02,1.000123216540176108e+00,-2.662666753749931559e-09
2.547773886943471844e-02,1.000129186761436584e+00,3.784117685867726405e-09
2.607303651825913088e-02,1.000135298321672472e+00,-3.654847535727867063e-10
2.666833416708354332e-02,1.000141549695841015e+00,3.424227235093724175e-09
2.726363181590795576e-02,1.000147940886544129e+00,-3.710980411852915495e-10
2.785892946473236820e-02,1.000154478006971770e+00,-1.837124452563898558e-09
