# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,9.999883092320838163e-01,-2.658685955060140986e-05
1.149574787393696854e-02,9.999883856015068240e-01,4.218055426440093958e-06
1.299149574787393686e-02,9.999816681465641954e-01,1.157143086800136037e-06
1.448724362181090519e-02,9.999753967312134950e-01,-7.669941897552268740e-06
1.598299149574787525e-02,9.999729376675527970e-01,5.142643909115212617e-07
1.747873936968484185e-02,9.999675338502630462e-01,-1.034144793109414783e-06
1.897448724362181191e-02,9.999618734662456543e-01,1.145732202684785080e-06
2.047023511755877850e-02,9.999554738777997054e-01,2.557158543690668778e-07
2.196598299149574857e-02,9.999488971590663189e-01,6.938904550287835935e-07
2.346173086543271863e-02,9.999414407425117890e-01,-6.774677339417443857e-07
2.495747873936968522e-02,9.999338988518136073e-01,1.165360560307414826e-07
2.645322661330665182e-02,9.999257949696306325e-01,2.628090472456949422e-08
2.794897448724362188e-02,9.999171352184832440e-01,4.037331768692128584e-08
2.944472236118059194e-02,9.999080295766472615e-01,9.139626404469811200e-08
3.094047023511756200e-02,9.998984719470435101e-01,1.040137891156861550e-08
3.243621810905452513e-02,9.998884195793951157e-01,-3.357425025139229182e-08
3.393196598299149519e-02,9.998778969241550740e-01,-3.560346220958656968e-08
3.542771385692846525e-02,9.998668978870721702e-01,-2.169408121766449986e-08
3.692346173086543532e-02,9.998554224836431192e-01,7.279022449556234053e-08
3.841920960480240538e-02,9.998434646213040233e-01,6.550919227898132864e-09
3.991495747873936850e-02,9.998310548604788517e-01,2.148629786011202601e-08
4.141070535267633856e-02,9.998181626748282591e-01,1.251200631181774097e-08
4.290645322661330863e-02,9.998047819742706954e-01,-6.460359684078947990e-09
4.440220110055027869e-02,9.997909372119160309e-01,-7.653265213695921501e-09
4.589794897448724875e-02,9.997766284068316800e-01,1.280534454647293760e-08
4.739369684842421881e-02,9.997618372539495146e-01,-2.115932483346661127e-09
4.888944472236118194e-02,9.997465698826217828e-01,-9.388715893597943993e-10
5.038519259629815200e-02,9.997308385305988532e-01,1.245153328265011798e-08
5.188094047023512206e-02,9.997146248956327863e-01,-1.244012234175334117e-08
5.337668834417209213e-02,9.996979473246090375e-01,1.144611873755289322e-08
5.487243621810905525e-02,9.996807875171999092e-01,-1.107613286252280100e-08
5.636818409204602531e-02,9.996631577133655577e-01,-8.863877671747937234e-09
5.786393196598299538e-02,9.996450579377603729e-01,-6.460734753092954606e-09
5.935967983991996544e-02,9.996264882157025466e-01,1.513892437549359710e-09
6.085542771385693550e-02,9.996074424658295543e-01,1.826413969869717613e-09
6.235117558779389862e-02,9.995879207151370238e-01,-2.989389378861658734e-09
6.384692346173086175e-02,9.995679290984073040e-01,-3.413591142842530186e-09
6.534267133566783181e-02,9.995474676436271189e-01,9.246713176100910177e-10
6.683841920960480187e-02,9.995265302725842016e-01,-1.809811849568031963e-09
6.833416708354177194e-02,9.995051231217085830e-01,-1.121660778426997357e-09
6.982991495747874200e-02,9.994832401143805001e-01,-7.140204189299169225e-09
7.132566283141571206e-02,9.994608934945844458e-01,2.265710071198070333e-09
7.282141070535266825e-02,9.994380710805602641e-01,4.926308627533655143e-09
7.431715857928963831e-02,9.994147729046973794e-01,-1.271241597017919738e-09
7.581290645322660837e-02,9.993910051061154487e-01,-5.439348874819993807e-09
7.730865432716357843e-02,9.993667677181243825e-01,-4.693943999466485936e-09
7.880440220110054850e-02,9.993420607746966722e-01,5.432729657984047575e-10
8.030015007503751856e-02,9.993168843104661692e-01,6.952103478084581612e-09
8.179589794897448862e-02,9.992912322552776061e-01,4.715804435173717646e-09
8.329164582291145869e-02,9.992651107508558894e-01,4.363472765482060017e-09
8.478739369684842875e-02,9.992385198338288310e-01,6.619436294029885661e-09
8.628314157078538493e-02,9.992114534365129641e-01,-7.296731922024601644e-10
8.777888944472235500e-02,9.991839238069734064e-01,5.908223044157831612e-09
8.927463731865932506e-02,9.991559187740443049e-01,2.422584512023329432e-09
9.077038519259629512e-02,9.991274444819843170e-01,6.863813574431143345e-11
9.226613306653326518e-02,9.990985009707356035e-01,-5.225133775600968317e-10
9.376188094047023525e-02,9.990690882809041273e-01,-4.815328235320198981e-10
9.525762881440720531e-02,9.990392064537543249e-01,9.180055328086332045e-10
9.675337668834417537e-02,9.990088555312125473e-01,2.241655128588770225e-09
9.824912456228114543e-02,9.989780355558658398e-01,4.345475152865114872e-09
9.974487243621810162e-02,9.989467435192719291e-01,-3.968259013337545626e-11
1.012406203101550717e-01,9.989149855688169710e-01,1.643106738116736889e-09
1.027363681840920417e-01,9.988827586972844896e-01,3.084840723133855405e-09
1.042321160580290118e-01,9.988500629499034167e-01,3.432543778596186099e-09
1.057278639319659819e-01,9.988168983725631556e-01,3.086828885585488856e-09
1.072236118059029519e-01,9.987832650118133593e-01,1.530943643082952985e-09
1.087193596798399220e-01,9.987491629148649297e-01,-1.842584775674166812e-09
1.102151075537768921e-01,9.987145982315699388e-01,5.260861776199923205e-09
1.117108554277138621e-01,9.986795588062782336e-01,-2.009273452900951664e-09
1.132066033016508183e-01,9.986440568919320304e-01,4.671938604185591251e-10
1.147023511755877884e-01,9.986080864363848786e-01,6.282543528422579763e-11
