# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,1.000019997185295662e+00,-3.766120634579320588e-07
1.059529764882441265e-02,1.000022423136882832e+00,-1.146571376734261195e-07
1.119059529764882509e-02,1.000025075155558163e+00,2.008828693695025996e-07
1.178589294647323753e-02,1.000027714961709835e+00,-1.376689021427071071e-07
1.238119059529764823e-02,1.000030438020781176e+00,-9.684523790889344167e-09
1.297648824412206067e-02,1.000033497126883830e+00,-7.938700586904210547e-08
1.357178589294647311e-02,1.000036680730128635e+00,5.588998889121957470e-08
1.416708354177088555e-02,1.000039900238873569e+00,-1.429442414404821069e-07
1.476238119059529799e-02,1.000043375608749008e+00,2.393855326866097047e-08
1.535767883941971043e-02,1.000046894523670238e+00,1.143813706301732055e-07
1.595297648824412287e-02,1.000050631880318619e+00,1.235327306638364746e-07
1.654827413706853531e-02,1.000054499850786316e+00,3.676904206096197704e-08
1.714357178589294775e-02,1.000058458721843069e+00,-8.269235990008258321e-08
1.773886943471736019e-02,1.000062610836765398e+00,-1.370480470233083441e-08
1.833416708354176916e-02,1.000066876004070515e+00,9.273587933428130632e-09
1.892946473236618160e-02,1.000071290885395037e+00,-3.849863347637184402e-08
1.952476238119059404e-02,1.000075861592760296e+00,3.738409130259180511e-08
2.012006003001500648e-02,1.000080540011329289e+00,-9.062719322852253768e-09
2.071535767883941892e-02,1.000085394881421896e+00,2.769168806954666969e-08
2.131065532766383136e-02,1.000090366631643191e+00,1.069444641429869009e-08
2.190595297648824380e-02,1.000095485814609608e+00,-6.709420258616866436e-10
2.250125062531265624e-02,1.000100747086130504e+00,-1.687202892434608081e-08
2.309654827413706868e-02,1.000106154649218482e+00,-3.640387246393813171e-11
2.369184592296148112e-02,1.000111701250274265e+00,6.218468040890855362e-11
2.428714357178589356e-02,1.000117380399390354e+00,-4.378794852904709063e-09
2.488244122061030600e-02,1.000123212339315337e+00,9.375600608563400477e-10
2.547773886943471844e-02,1.000129180269158757e+00,-2.127196756681822355e-09
2.607303651825913088e-02,1.000135294120760188e+00,-3.736683117934617078e-09
2.666833416708354332e-02,1.000141547022515676e+00,9.266667771098705963e-09
2.726363181590795576e-02,1.000147937449390678e+00,-2.626950433487459186e-09
2.785892946473236820e-02,1.000154473042163428e+00,3.760908498390357327e-09
2.845422711355678064e-02,1.000161148456910176e+00,-1.781896454141776587e-09
2.904952476238119308e-02,1.000167965987889040e+00,3.519378030566453297e-09
2.964482241120560552e-02,1.000174924874154492e+00,-6.140069834400460385e-09
3.024012006003001796e-02,1.000182027410146057e+00,-2.212269006240148585e-10
