# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,1.000019997185295662e+00,-3.766226264190208894e-07
1.059529764882441265e-02,1.000022423136882832e+00,-1.146607477853223145e-07
1.119059529764882509e-02,1.000025075155558163e+00,2.008899251393359274e-07
1.178589294647323753e-02,1.000027714961709835e+00,-1.376742657654972655e-07
1.238119059529764823e-02,1.000030438020781176e+00,-9.684940183163348593e-09
1.297648824412206067e-02,1.000033497126883830e+00,-7.939075530316586082e-08
1.357178589294647311e-02,1.000036680730128635e+00,5.589287632723483719e-08
1.416708354177088555e-02,1.000039900238873569e+00,-1.429522884510703571e-07
1.476238119059529799e-02,1.000043375608749008e+00,2.394001652472610762e-08
1.535767883941971043e-02,1.000046894523670238e+00,1.143889375443407365e-07
1.595297648824412287e-02,1.000050631880318619e+00,1.235415488798352612e-07
1.654827413706853531e-02,1.000054499850786316e+00,3.677186632966567004e-08
1.714357178589294775e-02,1.000058458721843069e+00,-8.269917683989544539e-08
1.773886943471736019e-02,1.000062610836765398e+00,-1.370601432348905911e-08
1.833416708354176916e-02,1.000066876004070515e+00,9.274462309249997816e-09
1.892946473236618160e-02,1.000071290885395037e+00,-3.850250296366652947e-08
1.952476238119059404e-02,1.000075861592760296e+00,3.738808884712340634e-08
2.012006003001500648e-02,1.000080540011329289e+00,-9.063748418469684276e-09
2.071535767883941892e-02,1.000085394881421896e+00,2.769502138733060168e-08
2.131065532766383136e-02,1.000090366631643191e+00,1.069580879420328756e-08
2.190595297648824380e-02,1.000095485814609608e+00,-6.710323408043449365e-10
2.250125062531265624e-02,1.000100747086130504e+00,-1.687442519049398015e-08
2.309654827413706868e-02,1.000106154649218482e+00,-3.640932000337215868e-11
2.369184592296148112e-02,1.000111701250274265e+00,6.219447179489634436e-11
2.428714357178589356e-02,1.000117380399390354e+00,-4.379519413788556531e-09
2.488244122061030600e-02,1.000123212339315337e+00,9.377228993301400806e-10
2.547773886943471844e-02,1.000129180269158757e+00,-2.127584108890800962e-09
2.607303651825913088e-02,1.000135294120760188e+00,-3.737395726233216919e-09
2.666833416708354332e-02,1.000141547022515676e+00,9.268516620863918598e-09
2.726363181590795576e-02,1.000147937449390678e+00,-2.627498218998880475e-09
2.785892946473236820e-02,1.000154473042163428e+00,3.761727374040902677e-09
2.845422711355678064e-02,1.000161148456910176e+00,-1.782301195518697857e-09
2.904952476238119308e-02,1.000167965987889040e+00,3.520211233620785110e-09
2.964482241120560552e-02,1.000174924874154492e+00,-6.141583686058993408e-09
3.024012006003001796e-02,1.000182027410146057e+00,-2.212836580639532258e-10
3.083541770885443040e-02,1.000189268633928874e+00,5.602418529093711832e-11
3.143071535767884284e-02,1.000196652367734140e+00,-2.682289945710180683e-10
3.202601300650325528e-02,1.000204179760476153e+00,2.926824671511951692e-09
3.262131065532766772e-02,1.000211846996082121e+00,1.354137690867673882e-09
3.321660830415208016e-02,1.000219656369342180e+00,1.235315960634864248e-09
3.381190595297649260e-02,1.000227606355823085e+00,-1.472415078751509802e-09
3.440720360180089810e-02,1.000235699250487276e+00,-5.002356306960109578e-10
3.500250125062531054e-02,1.000243933529016305e+00,8.004271689898700970e-10
3.559779889944972298e-02,1.000252310722659521e+00,5.386212587055183576e-10
3.619309654827413542e-02,1.000260827779403172e+00,-7.850089467353883389e-10
3.678839419709854786e-02,1.000269486994505908e+00,-1.543505989687332451e-09
3.738369184592296030e-02,1.000278289135547727e+00,-3.508551227326961969e-10
3.797898949474737273e-02,1.000287232678448435e+00,8.314694488475992205e-10
3.857428714357178517e-02,1.000296318390901718e+00,3.824540684149724903e-11
3.916958479239619761e-02,1.000305546276760271e+00,2.189713521616454686e-09
3.976488244122061005e-02,1.000314914812064027e+00,5.476841202778361022e-11
4.036018009004502249e-02,1.000324427056518140e+00,7.571954174778738889e-11
4.095547773886943493e-02,1.000334080340371523e+00,-6.978750910491272790e-11
4.155077538769384737e-02,1.000343875431644269e+00,-3.006506155145416415e-11
4.214607303651825981e-02,1.000353813480428622e+00,3.932775216597406143e-10
4.274137068534267225e-02,1.000363892963016532e+00,-3.853315444501959064e-10
4.333666833416708469e-02,1.000374115411623244e+00,1.170563757035836261e-09
4.393196598299149713e-02,1.000384479684625516e+00,-4.883715654102616099e-11
4.452726363181590957e-02,1.000394985786409618e+00,2.761380013538428102e-11
4.512256128064032201e-02,1.000405634867428173e+00,-3.436009254897954241e-10
4.571785892946473445e-02,1.000416425404198950e+00,-6.606117874952132173e-10
4.631315657828914689e-02,1.000427359311330200e+00,-7.378009314606969000e-11
4.690845422711355933e-02,1.000438435065439613e+00,-2.058420101036517477e-10
4.750375187593797177e-02,1.000449653817273132e+00,8.320263367167514058e-10
4.809904952476238421e-02,1.000461014043525498e+00,6.352585124602684501e-11
4.869434717358679665e-02,1.000472517277103179e+00,-4.211235804518764263e-10
4.928964482241120909e-02,1.000484163522916248e+00,4.126879948884720761e-10
4.988494247123562153e-02,1.000495952021861923e+00,6.644038652581229019e-10
5.048024012006003397e-02,1.000507882778945534e+00,-1.080806555364688393e-10
5.107553776888444641e-02,1.000519956563324042e+00,3.634198497692864294e-10
5.167083541770885885e-02,1.000532172616050985e+00,-7.326632633919415514e-10
5.226613306653327129e-02,1.000544531706423212e+00,-8.960725494944198420e-10
5.286143071535768373e-02,1.000557033839717613e+00,-1.038993335811255618e-10
5.345672836418209617e-02,1.000569679021272140e+00,6.973669419707561122e-10
5.405202601300650861e-02,1.000582466492347500e+00,4.719837853883747027e-10
5.464732366183092105e-02,1.000595397022522981e+00,4.286265786745958002e-10
5.524262131065533349e-02,1.000608470235240688e+00,-4.540612330572457076e-11
5.583791895947974593e-02,1.000621686900237339e+00,2.627204009897354291e-10
5.643321660830415837e-02,1.000635046641082493e+00,6.518110495790096014e-10
5.702851425712857081e-02,1.000648548699294427e+00,-2.543254495890323597e-10
5.762381190595298325e-02,1.000662194609005740e+00,-7.870504248330691026e-11
5.821910955477738875e-02,1.000675983611866826e+00,3.794498049103366874e-11
5.881440720360180119e-02,1.000689915713768086e+00,1.289768292167536856e-11
5.940970485242621363e-02,1.000703990920660313e+00,-2.851430203065774549e-10
6.000500250125062607e-02,1.000718210002797370e+00,4.129352415560561502e-10
6.060030015007503851e-02,1.000732571819907823e+00,6.469280666721033413e-11
6.119559779889945095e-02,1.000747077142374097e+00,-3.295013151216608094e-10
6.179089544772386339e-02,1.000761726358546877e+00,1.931576010250069234e-10
6.238619309654827583e-02,1.000776518710433161e+00,2.077482630369331673e-10
6.298149074537268133e-02,1.000791454968649630e+00,5.597772245735654906e-10
6.357678839419710071e-02,1.000806534375304535e+00,6.471212454783881185e-11
6.417208604302150621e-02,1.000821757701160664e+00,2.037947588462430107e-10
6.476738369184592559e-02,1.000837124188426852e+00,-6.135310037791442607e-10
6.536268134067033109e-02,1.000852635372355248e+00,3.946658555520343725e-10
6.595797898949475047e-02,1.000868289730936445e+00,2.688715916576711930e-11
6.655327663831915597e-02,1.000884088035226993e+00,-1.429660834162405081e-10
6.714857428714357535e-02,1.000900030292014797e+00,-3.555118421871838501e-10
6.774387193596798085e-02,1.000916116508149711e+00,-4.083391402787128754e-10
6.833916958479240022e-02,1.000932347072745809e+00,8.016876051897270372e-11
6.893446723361680573e-02,1.000948721228380744e+00,-3.024285266661763671e-10
6.952976488244122510e-02,1.000965240128713685e+00,5.549395387660639369e-10
7.012506253126563061e-02,1.000981902252000788e+00,-6.172202748899735525e-10
