# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,9.999883519994604564e-01,-1.283435139498578792e-05
1.149574787393696854e-02,9.999899863051781024e-01,-9.898151960729961729e-06
1.299149574787393686e-02,9.999876493969209745e-01,3.512127933258391434e-06
1.448724362181090519e-02,9.999834002050399517e-01,7.460591761043746559e-07
1.598299149574787525e-02,9.999802812931239959e-01,1.107492749397031916e-06
1.747873936968484185e-02,9.999755739196938276e-01,-7.515237008259846256e-07
1.897448724362181191e-02,9.999716974571616346e-01,5.348307284824828038e-07
2.047023511755877850e-02,9.999670084524965308e-01,7.706352592729004414e-07
2.196598299149574857e-02,9.999617818405348579e-01,-8.733648337866382958e-08
2.346173086543271863e-02,9.999563719741385581e-01,1.617388670771546005e-07
2.495747873936968522e-02,9.999507055439449399e-01,3.834874316988034518e-07
2.645322661330665182e-02,9.999444465414252248e-01,-1.892289638316668743e-07
2.794897448724362188e-02,9.999381020480808679e-01,-1.797500892575243370e-07
2.944472236118059194e-02,9.999312994014607492e-01,6.335060653839265301e-08
3.094047023511756200e-02,9.999241119211720319e-01,1.298117680015309857e-08
3.243621810905452513e-02,9.999165945978202297e-01,-1.091328183377981821e-08
3.393196598299149519e-02,9.999087413296208204e-01,-1.736215482495140350e-08
3.542771385692846525e-02,9.999005337971738072e-01,9.343815776663432002e-08
3.692346173086543532e-02,9.998919475730085882e-01,-5.512792000672563353e-09
3.841920960480240538e-02,9.998830254294942543e-01,-1.919941983175021960e-08
3.991495747873936850e-02,9.998737551576901694e-01,7.558799919316069338e-09
4.141070535267633856e-02,9.998640878963276357e-01,-9.378925858172237895e-09
4.290645322661330863e-02,9.998541091798942571e-01,3.512768964597522762e-10
4.440220110055027869e-02,9.998437640390140935e-01,1.134362204169291792e-08
4.589794897448724875e-02,9.998330708109413045e-01,-2.248333741405881073e-09
4.739369684842421881e-02,9.998220172895145863e-01,1.405931282505433707e-08
4.888944472236118194e-02,9.998106034865553715e-01,-5.554562809706460281e-09
5.038519259629815200e-02,9.997988477396807516e-01,3.555622796191924986e-09
5.188094047023512206e-02,9.997867317356488037e-01,3.197431208690296609e-10
5.337668834417209213e-02,9.997742615957529999e-01,-1.445953579093388934e-09
5.487243621810905525e-02,9.997614434413685247e-01,2.435277979273569146e-09
5.636818409204602531e-02,9.997482650694281547e-01,-5.242061673627062274e-09
5.786393196598299538e-02,9.997347387102261118e-01,4.721305568722294659e-09
5.935967983991996544e-02,9.997208521617608756e-01,-7.827683168315518915e-09
6.085542771385693550e-02,9.997066237626764940e-01,6.654428896801804395e-09
6.235117558779389862e-02,9.996920290961256450e-01,-6.904132598961607320e-09
6.384692346173086175e-02,9.996770926089967313e-01,3.740127652029920314e-09
6.534267133566783181e-02,9.996617959935429898e-01,7.470336571558012153e-10
6.683841920960480187e-02,9.996461453737324199e-01,-3.640046264408173640e-09
6.833416708354177194e-02,9.996301468735364626e-01,1.261902693450140086e-09
6.982991495747874200e-02,9.996137944021793453e-01,3.822264726949251785e-09
7.132566283141571206e-02,9.995970879769149331e-01,6.069459490554229881e-09
7.282141070535266825e-02,9.995800276153737896e-01,2.115455921547495358e-09
7.431715857928963831e-02,9.995626133355621779e-01,-2.201111515276457708e-09
7.581290645322660837e-02,9.995448512628151150e-01,2.891885508837707102e-09
7.730865432716357843e-02,9.995267353087182727e-01,5.302261407713626180e-09
7.880440220110054850e-02,9.995082654923993504e-01,4.458537095075597872e-09
8.030015007503751856e-02,9.994894418333617470e-01,7.328891937774850308e-10
8.179589794897448862e-02,9.994702704579907504e-01,5.301628025478065120e-09
8.329164582291145869e-02,9.994507391734102075e-01,-5.805823599658243739e-09
8.478739369684842875e-02,9.994308663194123588e-01,4.712626733294193231e-09
8.628314157078538493e-02,9.994106335978266697e-01,-1.038374275452733238e-09
8.777888944472235500e-02,9.993900532424438987e-01,1.389929837891620314e-09
8.927463731865932506e-02,9.993691191687367192e-01,-9.241984955109756647e-11
9.077038519259629512e-02,9.993478313988255479e-01,-6.279078812454500959e-09
9.226613306653326518e-02,9.993261960608472716e-01,-4.141716525296489007e-09
9.376188094047023525e-02,9.993042101245200870e-01,-6.805578323116717438e-11
9.525762881440720531e-02,9.992818736128818990e-01,4.716894652645401837e-09
9.675337668834417537e-02,9.992591834967200493e-01,4.425767530236269324e-09
9.824912456228114543e-02,9.992361398000197958e-01,-4.792348740066240284e-10
9.974487243621810162e-02,9.992127486520989699e-01,1.422103101944566000e-09
1.012406203101550717e-01,9.991890039724470318e-01,-2.034988177968034526e-09
1.027363681840920417e-01,9.991649118908381144e-01,5.045185380583126683e-10
1.042321160580290118e-01,9.991404663277843046e-01,-2.458768966207150597e-09
1.057278639319659819e-01,9.991156734135077100e-01,6.423972465086457141e-10
1.072236118059029519e-01,9.990905270695521478e-01,-2.387908537571026718e-09
1.087193596798399220e-01,9.990650334265785970e-01,2.137788834841951787e-10
1.102151075537768921e-01,9.990391864071713757e-01,-3.884812027621340089e-09
