# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,1.000023577425692478e+00,1.529900949786944969e-06
1.059529764882441265e-02,1.000026168349736011e+00,-6.718584622001982107e-07
1.119059529764882509e-02,1.000029309161154067e+00,5.497414980637274558e-07
1.178589294647323753e-02,1.000032486641262208e+00,4.006952850896791672e-07
1.238119059529764823e-02,1.000035811530963992e+00,-3.985607105847941522e-08
1.297648824412206067e-02,1.000039331182999369e+00,1.234822440305733153e-07
1.357178589294647311e-02,1.000042921874608970e+00,-4.694603572072421493e-09
1.416708354177088555e-02,1.000046793633935671e+00,-1.389026363587294774e-07
1.476238119059529799e-02,1.000050850996803131e+00,5.207263107937391958e-08
1.535767883941971043e-02,1.000055031338592748e+00,1.313338645673314842e-07
1.595297648824412287e-02,1.000059344589518728e+00,7.533266762725191219e-09
1.654827413706853531e-02,1.000063871708621654e+00,-1.506867399833053060e-08
1.714357178589294775e-02,1.000068553126109094e+00,-7.811120419201975455e-09
1.773886943471736019e-02,1.000073407938012027e+00,1.388976402264884195e-08
1.833416708354176916e-02,1.000078384211197990e+00,-2.632397316362170779e-08
1.892946473236618160e-02,1.000083578945368590e+00,-2.455544316648078655e-09
1.952476238119059404e-02,1.000088908893279172e+00,-1.561459711853581320e-09
2.012006003001500648e-02,1.000094428284817649e+00,-2.243059887631336917e-08
2.071535767883941892e-02,1.000100098934320503e+00,-6.171846034799848513e-09
2.131065532766383136e-02,1.000105931537252468e+00,-2.235064104828498905e-09
2.190595297648824380e-02,1.000111932970476403e+00,7.482419432831624154e-09
2.250125062531265624e-02,1.000118101709426055e+00,-2.438168070059785671e-09
2.309654827413706868e-02,1.000124439284755473e+00,1.496276016475581292e-09
2.369184592296148112e-02,1.000130936534066928e+00,-4.706148856836224632e-09
2.428714357178589356e-02,1.000137602626084199e+00,2.012069991300605254e-09
2.488244122061030600e-02,1.000144435272729337e+00,2.964780760879936793e-09
2.547773886943471844e-02,1.000151431422134252e+00,1.076926164027087886e-08
2.607303651825913088e-02,1.000158593369158799e+00,-2.746241386839254794e-09
2.666833416708354332e-02,1.000165921117336376e+00,-1.237347636121730409e-10
2.726363181590795576e-02,1.000173414670283423e+00,-2.955962437274756597e-09
2.785892946473236820e-02,1.000181074031698314e+00,3.090009087741448935e-10
2.845422711355678064e-02,1.000188899205362025e+00,2.620574512759555390e-09
2.904952476238119308e-02,1.000196891722832770e+00,1.658931277505768688e-09
2.964482241120560552e-02,1.000205047768825795e+00,3.413071264678691444e-09
3.024012006003001796e-02,1.000213371930472217e+00,-1.848007198764794195e-09
3.083541770885443040e-02,1.000221861156475489e+00,6.558389271871622683e-10
3.143071535767884284e-02,1.000230513923265230e+00,-8.194644557745796956e-09
3.202601300650325528e-02,1.000239337109970705e+00,-1.183271721234820801e-09
3.262131065532766772e-02,1.000248324609983586e+00,-8.587936959976187045e-10
3.321660830415208016e-02,1.000257477191597300e+00,-4.918218413088106505e-10
