# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,9.999882970128329829e-01,1.140931452900112470e-05
1.149574787393696854e-02,9.999787997115294758e-01,4.284895835297700503e-07
1.299149574787393686e-02,9.999775686481409132e-01,3.080715803350806149e-06
1.448724362181090519e-02,9.999703319593645778e-01,-5.799821209968191800e-06
1.598299149574787525e-02,9.999643538684208632e-01,-1.650165732697196831e-07
1.747873936968484185e-02,9.999581069992872218e-01,-1.145367252665489093e-06
1.897448724362181191e-02,9.999502961706374649e-01,-1.775983518388604583e-07
2.047023511755877850e-02,9.999422104835283820e-01,6.668547850641976981e-07
2.196598299149574857e-02,9.999334772789499892e-01,7.142802466544497429e-07
2.346173086543271863e-02,9.999238949692286216e-01,-1.442429255062289192e-07
2.495747873936968522e-02,9.999139584200378295e-01,4.585453022597780082e-08
2.645322661330665182e-02,9.999034538233297909e-01,1.227678921249317844e-07
2.794897448724362188e-02,9.998920879629880076e-01,3.516788785131851015e-09
2.944472236118059194e-02,9.998802884952593395e-01,5.665545208146091075e-08
3.094047023511756200e-02,9.998677988617669099e-01,-2.839125700149758580e-08
3.243621810905452513e-02,9.998547046113464010e-01,-1.165423032756031330e-08
3.393196598299149519e-02,9.998410302023410523e-01,4.853242697572720668e-08
3.542771385692846525e-02,9.998266718111037399e-01,-1.152215757850435015e-09
3.692346173086543532e-02,9.998117516379653180e-01,5.132850432376339193e-08
3.841920960480240538e-02,9.997961902975883719e-01,6.342671086415236620e-08
3.991495747873936850e-02,9.997800000362675465e-01,-7.678911788964645137e-09
4.141070535267633856e-02,9.997632053172925692e-01,-6.287247780564637015e-09
4.290645322661330863e-02,9.997458000625898400e-01,-7.049592320064533373e-10
4.440220110055027869e-02,9.997277659794668869e-01,-7.452176406461100626e-09
4.589794897448724875e-02,9.997091214254545388e-01,-4.836972417834791594e-09
4.739369684842421881e-02,9.996898603264989802e-01,-1.276903456719424968e-09
4.888944472236118194e-02,9.996699827178698872e-01,1.462422290370545883e-08
5.038519259629815200e-02,9.996494886359769128e-01,2.440713644272449265e-08
5.188094047023512206e-02,9.996283659034028712e-01,-1.767509874354767060e-09
5.337668834417209213e-02,9.996066328816846092e-01,-1.711488027097790254e-09
5.487243621810905525e-02,9.995842835030516182e-01,-1.129866579481283323e-09
5.636818409204602531e-02,9.995613178084864492e-01,-2.607390585825036198e-09
5.786393196598299538e-02,9.995377358401121848e-01,3.649969326366864008e-09
5.935967983991996544e-02,9.995135376411913297e-01,1.789722238184346361e-09
6.085542771385693550e-02,9.994887232561260326e-01,6.261459810339046224e-09
6.235117558779389862e-02,9.994632866239571145e-01,-1.991008135762503566e-09
6.384692346173086175e-02,9.994372338981819537e-01,-8.252510675081570224e-09
6.534267133566783181e-02,9.994105712328198443e-01,-1.697540101220259883e-09
6.683841920960480187e-02,9.993832864643015235e-01,-3.439984960338277698e-09
6.833416708354177194e-02,9.993553857490873327e-01,-6.050326382966448075e-09
6.982991495747874200e-02,9.993268752441134550e-01,3.718968625307911372e-09
7.132566283141571206e-02,9.992977427902163257e-01,1.436728515000557481e-09
7.282141070535266825e-02,9.992679945467837221e-01,3.546339067074569648e-09
7.431715857928963831e-02,9.992376305684812499e-01,4.512962031458620763e-09
7.581290645322660837e-02,9.992066448061446282e-01,-6.123250679367921985e-09
7.730865432716357843e-02,9.991750495268432175e-01,-3.991270251374308567e-09
7.880440220110054850e-02,9.991428386834999564e-01,-1.255278218646435108e-09
8.030015007503751856e-02,9.991100123353313656e-01,3.585829064370328699e-09
8.179589794897448862e-02,9.990765644385054545e-01,-2.968917151688771155e-09
8.329164582291145869e-02,9.990425072630969572e-01,2.024922909682648446e-09
8.478739369684842875e-02,9.990078286635681870e-01,-5.351996211434858920e-09
8.628314157078538493e-02,9.989725409114519339e-01,1.654822940017518802e-09
8.777888944472235500e-02,9.989366318643161380e-01,-3.874006293600580888e-09
8.927463731865932506e-02,9.989001137951191156e-01,3.375001191876169453e-09
9.077038519259629512e-02,9.988629745645646318e-01,-7.676179726925653690e-10
9.226613306653326518e-02,9.988252203443279686e-01,-5.310075776799797596e-09
9.376188094047023525e-02,9.987868573063164446e-01,2.695169916087462136e-09
9.525762881440720531e-02,9.987478733159912414e-01,-5.091556538816597817e-10
9.675337668834417537e-02,9.987082745477657841e-01,-4.296712700175389355e-09
9.824912456228114543e-02,9.986680671762395711e-01,4.514241256952365265e-09
