# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,1.000033891236817851e+00,-7.403264135064090475e-07
1.059529764882441265e-02,1.000037975277854763e+00,-4.906907067336874206e-07
1.119059529764882509e-02,1.000042669557564379e+00,2.795307035841076981e-07
1.178589294647323753e-02,1.000047124046286262e+00,-3.074290630955544582e-07
1.238119059529764823e-02,1.000052015413640971e+00,1.824173502251724170e-07
1.297648824412206067e-02,1.000057090866954157e+00,6.222857007465164356e-08
1.357178589294647311e-02,1.000062412272481938e+00,-2.414513329274114994e-07
1.416708354177088555e-02,1.000068092669211151e+00,6.351366332868479958e-08
1.476238119059529799e-02,1.000073905227847559e+00,1.436007729394006560e-07
1.535767883941971043e-02,1.000079990482444003e+00,-3.451734187365218531e-08
1.595297648824412287e-02,1.000086333162619079e+00,-7.099493148920997596e-08
1.654827413706853531e-02,1.000092867589061463e+00,-4.074233528328364380e-08
1.714357178589294775e-02,1.000099683890834257e+00,1.782050618182040787e-09
1.773886943471736019e-02,1.000106735483084819e+00,1.942832184020915065e-08
1.833416708354176916e-02,1.000114026953441870e+00,8.311239285685445566e-08
1.892946473236618160e-02,1.000121549141611110e+00,1.578677766289615978e-08
1.952476238119059404e-02,1.000129311218295847e+00,-3.742653209570789841e-08
2.012006003001500648e-02,1.000137301731994999e+00,-2.200194737511651180e-08
2.071535767883941892e-02,1.000145563079475108e+00,4.013855914308805950e-11
2.131065532766383136e-02,1.000154047910885247e+00,6.275700070723645158e-09
2.190595297648824380e-02,1.000162772654009213e+00,8.579856825008391752e-09
2.250125062531265624e-02,1.000171736551239698e+00,-1.450519881984746131e-08
2.309654827413706868e-02,1.000180951066462764e+00,-9.909572940003387720e-09
2.369184592296148112e-02,1.000190401693555664e+00,-6.928637885650346107e-09
2.428714357178589356e-02,1.000200096841487918e+00,3.350513422262224594e-09
2.488244122061030600e-02,1.000210023913685520e+00,-9.616418772395719699e-11
2.547773886943471844e-02,1.000220195138814772e+00,-9.823200919356622762e-09
2.607303651825913088e-02,1.000230607850713493e+00,-9.880118057026265888e-09
2.666833416708354332e-02,1.000241263584621620e+00,4.844570633544263438e-09
2.726363181590795576e-02,1.000252158528807112e+00,6.459058510266402209e-09
2.785892946473236820e-02,1.000263293454923152e+00,5.915264056355342126e-09
2.845422711355678064e-02,1.000274669134828542e+00,1.986522057961792184e-09
2.904952476238119308e-02,1.000286287104502181e+00,7.599079143716380713e-09
2.964482241120560552e-02,1.000298144316637883e+00,4.459469571393982196e-09
3.024012006003001796e-02,1.000310240779682891e+00,-1.473047461786336912e-09
3.083541770885443040e-02,1.000322581085896667e+00,1.393082982303894617e-09
