# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,9.999883092320838163e-01,-2.657252778979580441e-05
1.149574787393696854e-02,9.999883856015068240e-01,4.236967887759767721e-06
1.299149574787393686e-02,9.999816681465641954e-01,1.181259400756229664e-06
1.448724362181090519e-02,9.999753967312134950e-01,-7.640005238558655773e-06
1.598299149574787525e-02,9.999729376675527970e-01,5.506296811061968175e-07
1.747873936968484185e-02,9.999675338502630462e-01,-9.907484760255833380e-07
1.897448724362181191e-02,9.999618673568184679e-01,3.489301948444315013e-07
2.047023511755877850e-02,9.999555288623342975e-01,1.090873925761414828e-07
2.196598299149574857e-02,9.999487322065119255e-01,5.968855221779544772e-07
2.346173086543271863e-02,9.999414896171082701e-01,1.170741847512916477e-07
2.495747873936968522e-02,9.999339355075059776e-01,1.665180676403944827e-07
2.645322661330665182e-02,9.999257216590367037e-01,1.239850990316096251e-07
2.794897448724362188e-02,9.999171107818957127e-01,-1.099716111684408714e-07
2.944472236118059194e-02,9.999079440490939996e-01,-1.748249084846468572e-07
3.094047023511756200e-02,9.998983742021818610e-01,-2.374434741697780825e-08
3.243621810905452513e-02,9.998883279445205385e-01,3.854600279517551284e-08
3.393196598299149519e-02,9.998778236170736688e-01,9.631968639229850930e-09
3.542771385692846525e-02,9.998668123630398696e-01,-1.717631586480480582e-08
3.692346173086543532e-02,9.998553369605928109e-01,4.721090705948877014e-08
3.841920960480240538e-02,9.998433729905348288e-01,6.805699740043053366e-09
3.991495747873936850e-02,9.998309387961737960e-01,-6.196699298133122115e-09
4.141070535267633856e-02,9.998180405034277074e-01,7.334491627171797101e-09
4.290645322661330863e-02,9.998046659130188640e-01,7.191612487842593716e-09
4.440220110055027869e-02,9.997908089354072825e-01,-4.172757045441984047e-09
4.589794897448724875e-02,9.997764879154644735e-01,1.575636820033724866e-08
4.739369684842421881e-02,9.997616967646610897e-01,9.447482117520439741e-09
4.888944472236118194e-02,9.997464232873095602e-01,1.202895634479545969e-09
5.038519259629815200e-02,9.997306736133653171e-01,-4.081143833670561166e-09
5.188094047023512206e-02,9.997144599810742216e-01,6.057702267286715509e-09
5.337668834417209213e-02,9.996977640891592243e-01,-2.540005679909650358e-09
5.487243621810905525e-02,9.996805981771168526e-01,-1.000191210829825036e-08
5.636818409204602531e-02,9.996629622689476857e-01,-6.131962763876935436e-09
5.786393196598299538e-02,9.996448563893153283e-01,-2.781937946403614096e-09
5.935967983991996544e-02,9.996262744560904245e-01,4.646235601152630397e-09
6.085542771385693550e-02,9.996072164956062434e-01,1.618203674610181612e-09
6.235117558779389862e-02,9.995876886421009022e-01,1.964471211561492575e-09
6.384692346173086175e-02,9.995676909229066487e-01,6.352196915228196026e-09
6.534267133566783181e-02,9.995472172590337268e-01,1.645908809500458834e-09
6.683841920960480187e-02,9.995262737863765956e-01,4.521892335094905477e-09
6.833416708354177194e-02,9.995048544275326741e-01,-1.193182391967801989e-09
6.982991495747874200e-02,9.994829653194872154e-01,-1.044336995654256942e-09
7.132566283141571206e-02,9.994606064929024702e-01,1.076187150295565725e-10
7.282141070535266825e-02,9.994377718727726068e-01,-2.890284357188882994e-09
7.431715857928963831e-02,9.994144675976943670e-01,-4.227471030299565444e-09
7.581290645322660837e-02,9.993906937003251834e-01,-3.826395132684360278e-09
7.730865432716357843e-02,9.993664502139842920e-01,6.361004216256787529e-10
7.880440220110054850e-02,9.993417310668969433e-01,-4.782388895456113391e-09
8.030015007503751856e-02,9.993165423997659724e-01,-5.649096498450336663e-09
8.179589794897448862e-02,9.992908842479039100e-01,-4.770632287503513244e-09
8.329164582291145869e-02,9.992647566472860898e-01,-2.594198301730278488e-09
8.478739369684842875e-02,9.992381596345486505e-01,2.115197820464121636e-09
8.628314157078538493e-02,9.992110871420192275e-01,-4.195941827626485441e-09
8.777888944472235500e-02,9.991835514177663802e-01,3.629808238139822918e-09
8.927463731865932506e-02,9.991555402906374672e-01,4.013641765566584610e-10
9.077038519259629512e-02,9.991270599048974743e-01,-2.422050531068017980e-09
9.226613306653326518e-02,9.990981103004979991e-01,-3.891987885450336054e-09
9.376188094047023525e-02,9.990686915180524430e-01,-5.759890228977978691e-09
9.525762881440720531e-02,9.990388097027697034e-01,4.759312995374012590e-09
9.675337668834417537e-02,9.990084526885283367e-01,2.469094530630454230e-09
9.824912456228114543e-02,9.989776266220421475e-01,1.895487893767514812e-10
9.974487243621810162e-02,9.989463315465682003e-01,-3.244219755734653053e-09
1.012406203101550717e-01,9.989145736092108763e-01,3.971216865559424581e-09
1.027363681840920417e-01,9.988823406479746536e-01,-2.313593131594674514e-09
1.042321160580290118e-01,9.988496449142768574e-01,1.376172193750115796e-09
1.057278639319659819e-01,9.988164803508162715e-01,3.300264742007392354e-09
1.072236118059029519e-01,9.987828470041427709e-01,2.736349860165269614e-09
1.087193596798399220e-01,9.987487449214665913e-01,-8.518309925115287988e-10
1.102151075537768921e-01,9.987141802526374734e-01,4.565361381212931727e-09
1.117108554277138621e-01,9.986791408420103711e-01,-5.908282875540800219e-09
1.132066033016508183e-01,9.986436450440773216e-01,4.395809663698425928e-09
1.147023511755877884e-01,9.986076746033643037e-01,-1.938142798466606652e-09
1.161980990495247584e-01,9.985712417732632851e-01,-5.309809773222109918e-10
1.176938469234617285e-01,9.985343405033659803e-01,-4.083529201321402018e-09
1.191895947973986986e-01,9.984969769461540245e-01,-8.352123903926790257e-10
1.206853426713356686e-01,9.984591450529662904e-01,-3.377329640665044122e-09
1.221810905452726387e-01,9.984208509771337337e-01,2.358890751906516523e-10
1.236768384192096087e-01,9.983820886717527099e-01,-2.658388927837709708e-09
1.251725862931465927e-01,9.983428642909923934e-01,-1.432548194951932177e-10
1.266683341670835350e-01,9.983031717897181689e-01,-4.941485491841423605e-09
1.281640820410205051e-01,9.982630173229252168e-01,-5.210802436851236444e-09
1.296598299149574751e-01,9.982224009462709047e-01,-1.472518686023634594e-09
1.311555777888944452e-01,9.981813196666710075e-01,-1.287269396109450383e-12
1.326513256628314152e-01,9.981397735414425654e-01,-1.356867536686604901e-09
1.341470735367683853e-01,9.980977656776824913e-01,1.285347809307200645e-10
1.356428214107053554e-01,9.980552961336204287e-01,4.073751378519181541e-09
1.371385692846423254e-01,9.980123588703825321e-01,-2.304819182387130726e-09
1.386343171585792955e-01,9.979689661432320502e-01,5.322979571990674358e-09
1.401300650325162656e-01,9.979251058170981459e-01,1.656564694684816934e-09
1.416258129064532356e-01,9.978807840505273807e-01,-1.235685874075880466e-09
1.431215607803902057e-01,9.978360009049597190e-01,-3.941703682919540590e-09
1.446173086543271757e-01,9.977907625388792168e-01,5.324124140839863205e-09
1.461130565282641458e-01,9.977450568219186078e-01,1.741426557852185248e-09
1.476088044022011159e-01,9.976988899141181477e-01,-3.041295782303005709e-09
1.491045522761380859e-01,9.976522679750436939e-01,2.631956645345540146e-09
1.506003001500750560e-01,9.976051788779127794e-01,-5.947114016826523927e-09
1.520960480240120261e-01,9.975576348788488534e-01,-4.992212024952482914e-09
1.535917958979489961e-01,9.975096360428941100e-01,5.009937358375290301e-09
1.550875437718859662e-01,9.974611702468940688e-01,-7.193577518396234109e-10
1.565832916458229362e-01,9.974122497471451521e-01,1.546741224028683118e-09
1.580790395197599063e-01,9.973628685167581498e-01,-7.809342523197415060e-10
1.595747873936968764e-01,9.973130327177011090e-01,3.953187960138743092e-09
1.610705352676338187e-01,9.972627363249424448e-01,3.052814569132810539e-09
1.625662831415707887e-01,9.972119794082053845e-01,-4.062289952253092776e-09
1.640620310155077588e-01,9.971607681304424098e-01,-5.700354866391835737e-09
1.655577788894447289e-01,9.971091025617113690e-01,-2.399007299264126829e-09
1.670535267633816989e-01,9.970569827726905032e-01,5.218383228104863085e-09
1.685492746373186690e-01,9.970044027430347011e-01,4.600719427062352794e-09
1.700450225112556391e-01,9.969513625456298822e-01,-4.953489076036759785e-09
1.715407703851926091e-01,9.968978744359978661e-01,3.685446921440674062e-10
1.730365182591295792e-01,9.968439263049884147e-01,-4.309348103382921406e-09
1.745322661330665492e-01,9.967895304080673924e-01,4.784273084759280158e-09
1.760280140070035193e-01,9.967346746386310796e-01,2.708060916145921733e-09
1.775237618809404894e-01,9.966793651623921946e-01,1.053219865662786869e-09
1.790195097548774594e-01,9.966236020550069963e-01,-7.530875564784529940e-10
1.805152576288144295e-01,9.965673853927516923e-01,-3.302918970553441078e-09
1.820110055027513996e-01,9.965107213411747988e-01,4.942524555752675352e-09
1.835067533766883696e-01,9.964535978001349825e-01,-9.160419070954940401e-10
1.850025012506253397e-01,9.963960270247230744e-01,2.777437236138889216e-09
1.864982491245623097e-01,9.963380030050272840e-01,3.314585514869510815e-09
1.879939969984992520e-01,9.962795258204095727e-01,3.263344403710935047e-11
1.894897448724362221e-01,9.962206016377449513e-01,4.456549815268518527e-09
1.909854927463731922e-01,9.961612244500149815e-01,3.809791689244999803e-09
1.924812406203101622e-01,9.961013943384274816e-01,-2.533733889786325451e-09
1.939769884942471323e-01,9.960411174706162996e-01,-3.090087007829006730e-09
1.954727363681841024e-01,9.959803939279163743e-01,1.467738630767065714e-09
1.969684842421210724e-01,9.959192177071990448e-01,-1.640007693890717065e-09
1.984642321160580425e-01,9.958575949768189162e-01,-9.327673187399966455e-10
1.999599799899950126e-01,9.957955258199232551e-01,2.896851959850519803e-09
2.014557278639319826e-01,9.957330042363212730e-01,-2.930050298097563506e-09
2.029514757378689527e-01,9.956700424786202319e-01,5.119749948549400875e-09
2.044472236118059227e-01,9.956066284642769437e-01,2.153877176275239059e-09
2.059429714857428928e-01,9.955427683627878777e-01,-4.415938141061227376e-10
2.074387193596798629e-01,9.954784622603081168e-01,-3.341034575127552286e-09
2.089344672336168329e-01,9.954137163255918352e-01,4.836459244657423473e-09
2.104302151075538030e-01,9.953485184815938913e-01,-8.236388924917729028e-10
2.119259629814907731e-01,9.952828809798692777e-01,3.171092732081313826e-09
2.134217108554277431e-01,9.952167978269591542e-01,3.977106086192164921e-09
2.149174587293647132e-01,9.951502691120048816e-01,8.759506721077580951e-10
2.164132066033016555e-01,9.950833010047425153e-01,5.218340873206060177e-09
2.179089544772386255e-01,9.950158875146948301e-01,4.174175445680307694e-09
2.194047023511755956e-01,9.949480287327902017e-01,-3.026205531484980462e-09
2.209004502251125657e-01,9.948797308293153563e-01,-5.029791005556076808e-09
2.223961980990495357e-01,9.948109938951396058e-01,-2.604113055429627351e-09
2.238919459729865058e-01,9.947418180217136863e-01,3.461409341293227714e-09
2.253876938469234759e-01,9.946721972235695874e-01,3.239628849068870345e-10
2.268834417208604459e-01,9.946021376716731588e-01,-7.269256482845561914e-10
2.283791895947974160e-01,9.945316394592260689e-01,-4.755184760910127203e-10
2.298749374687343860e-01,9.944607026800098559e-01,2.774354502332015735e-10
2.313706853426713561e-01,9.943893274283864825e-01,7.239378283278213409e-10
2.328664332166083262e-01,9.943175137992980028e-01,6.282475813007956943e-11
2.343621810905452962e-01,9.942452618882664517e-01,-2.538166879986091260e-09
2.358579289644822663e-01,9.941725778658582202e-01,4.192701500258357322e-09
2.373536768384192364e-01,9.940994496793759128e-01,-4.748972437063730203e-09
2.388494247123562064e-01,9.940258926113516580e-01,7.029964003346515832e-12
2.403451725862931765e-01,9.939519006844722560e-01,5.526596482544306190e-09
2.418409204602301465e-01,9.938774709601266855e-01,4.928957445048292871e-09
2.433366683341670889e-01,9.938026035372949929e-01,-2.646547641161042659e-09
2.448324162081040589e-01,9.937273076231772917e-01,4.056335884854664879e-11
2.463281640820410290e-01,9.936515772445342343e-01,4.798675559091155504e-11
2.478239119559779990e-01,9.935754155367919616e-01,2.527248138443503672e-09
2.493196598299149691e-01,9.934988165294538209e-01,-5.473918836367744730e-09
2.508154077038519114e-01,9.934217924641753905e-01,-7.103534059538569151e-10
2.523111555777888815e-01,9.933443373711151603e-01,3.832353425456604279e-09
2.538069034517258515e-01,9.932664452828723345e-01,-4.793049848981876800e-09
2.553026513256628216e-01,9.931881284399699528e-01,-3.393388523169310285e-09
2.567983991995997917e-01,9.931093808756525920e-01,-4.943023053868645037e-09
2.582941470735367617e-01,9.930302087606888151e-01,1.675439320175992629e-09
2.597898949474737318e-01,9.929506061303844389e-01,3.472547678430004965e-09
2.612856428214107019e-01,9.928705730890947656e-01,-4.926827670463803267e-10
2.627813906953476719e-01,9.927901158078011878e-01,8.778939195240128168e-10
2.642771385692846420e-01,9.927092283249241422e-01,-5.417143677919508850e-09
2.657728864432216120e-01,9.926279228766518026e-01,3.733028123970245030e-09
2.672686343171585821e-01,9.925461874374125193e-01,3.280594365270150619e-09
2.687643821910955522e-01,9.924640281784191664e-01,4.277007414409670626e-09
2.702601300650325222e-01,9.923814452058485891e-01,5.737302998079780603e-09
2.717558779389694923e-01,9.922984325633414926e-01,-5.366331133049325936e-09
2.732516258129064624e-01,9.922150055161131910e-01,4.349581562294599648e-11
2.747473736868434324e-01,9.921311520455540212e-01,-3.106567440436636930e-09
2.762431215607804025e-01,9.920468813531003738e-01,2.203867566825961466e-09
2.777388694347173725e-01,9.919621874850587107e-01,2.922683384532373052e-09
2.792346173086543426e-01,9.918770705508506147e-01,-1.976729357156988196e-09
2.807303651825913127e-01,9.917915367204364063e-01,-1.522677653879741392e-09
2.822261130565282827e-01,9.917055861027498365e-01,3.239408897668184207e-09
2.837218609304652528e-01,9.916192127483001162e-01,-7.699310516995047842e-10
2.852176088044022229e-01,9.915324228270787632e-01,-2.594882646106234266e-09
2.867133566783391929e-01,9.914452164496027065e-01,-3.312927112681393434e-09
2.882091045522761630e-01,9.913575937269131222e-01,-3.998100100901953716e-09
2.897048524262131330e-01,9.912695547705763222e-01,-5.747918431747928975e-09
2.912006003001501031e-01,9.911811057489678944e-01,2.353008385555683874e-09
2.926963481740870732e-01,9.910922346615879119e-01,-4.816181748879878283e-09
2.941920960480240432e-01,9.910029537336022543e-01,-4.354500612274105035e-09
2.956878439219610133e-01,9.909132630770328687e-01,2.605740518062521714e-09
2.971835917958979834e-01,9.908231567503018589e-01,2.943927616505258209e-09
2.986793396698349534e-01,9.907326348681017025e-01,-4.481766749718166456e-09
3.001750875437719235e-01,9.906417096516582088e-01,3.178800592282469414e-09
3.016708354177088935e-01,9.905503691084708295e-01,7.796993013931220679e-10
3.031665832916458636e-01,9.904586194066758997e-01,-8.499947030767835161e-10
3.046623311655828337e-01,9.903664606613571397e-01,-2.878917565642990269e-09
3.061580790395198037e-01,9.902738990388708640e-01,5.499407977347216714e-09
3.076538269134567738e-01,9.901809225532087755e-01,-8.783267385782514349e-10
3.091495747873937439e-01,9.900875434219408300e-01,7.666998176983309377e-10
3.106453226613307139e-01,9.899937557113973607e-01,-2.754622746667664225e-09
3.121410705352676285e-01,9.898995655876751121e-01,-6.791828378224045010e-10
3.136368184092045985e-01,9.898049731671568763e-01,5.769311136446281041e-09
3.151325662831415686e-01,9.897099725193779785e-01,3.386549172077669951e-09
3.166283141570785387e-01,9.896145698102024602e-01,2.906774857487064199e-09
3.181240620310155087e-01,9.895187651574910426e-01,3.081387761120906033e-09
3.196198099049524788e-01,9.894225586795939442e-01,2.652192553294726250e-09
3.211155577788894488e-01,9.893259504953507699e-01,3.585092122742745010e-10
3.226113056528264189e-01,9.892289407240899557e-01,-5.078848919960286066e-09
3.241070535267633890e-01,9.891315355294469924e-01,-2.983800987175279166e-09
3.256028014007003590e-01,9.890337350299408525e-01,5.350180406274566490e-09
3.270985492746373291e-01,9.889355272593126633e-01,-5.288027312779354361e-09
3.285942971485742992e-01,9.888369304667095072e-01,-3.493709726037134500e-10
3.300900450225112692e-01,9.887379326874292662e-01,-5.054444870059302390e-09
3.315857928964482393e-01,9.886385461253452966e-01,3.161377680072993003e-09
3.330815407703852093e-01,9.885387588191103525e-01,-9.325025859809496344e-10
3.345772886443221794e-01,9.884385829711238580e-01,5.205853951663872341e-09
3.360730365182591495e-01,9.883380066234134231e-01,-3.663540314014989401e-09
3.375687843921961195e-01,9.882370419768838898e-01,-5.024831254710412561e-09
3.390645322661330896e-01,9.881356891524706310e-01,-2.580044925099664338e-10
3.405602801400700597e-01,9.880339422344270872e-01,-2.681837598888326720e-09
3.420560280140070297e-01,9.879318073829886915e-01,-1.757478668766516423e-09
3.435517758879439998e-01,9.878292847204687144e-01,1.108267862051447955e-09
3.450475237618809699e-01,9.877263743696369502e-01,4.502085812311740124e-09
3.465432716358179399e-01,9.876230704190824827e-01,-4.919919589290650168e-09
3.480390195097549100e-01,9.875193850623966707e-01,-4.745883441821573485e-09
3.495347673836918800e-01,9.874153184218228407e-01,3.577149896102470710e-09
3.510305152576288501e-01,9.873108585545693483e-01,-5.236391626099484386e-09
3.525262631315658202e-01,9.872060236838939851e-01,3.097298586077712785e-09
3.540220110055027902e-01,9.871008018685349938e-01,3.277167957971652819e-09
3.555177588794397603e-01,9.869951992652536976e-01,5.734470975428591485e-09
3.570135067533767304e-01,9.868892099683402863e-01,-2.927075783266065167e-09
3.585092546273137004e-01,9.867828461636878323e-01,-4.022699171886518459e-10
3.600050025012506705e-01,9.866761019458200055e-01,-1.064827984832609794e-10
3.615007503751876405e-01,9.865689774405186352e-01,-3.559836006809970722e-09
3.629964982491246106e-01,9.864614788015712010e-01,-3.998340214018499430e-10
3.644922461230615807e-01,9.863536001267548814e-01,-4.062328345556568415e-09
3.659879939969984952e-01,9.862453475694132887e-01,-4.207403579385671149e-09
3.674837418709354653e-01,9.861367212550904426e-01,-2.400858425917953587e-09
3.689794897448724353e-01,9.860277213097558002e-01,-2.163246235618371719e-10
3.704752376188094054e-01,9.859183478598028127e-01,7.623262019974862085e-10
3.719709854927463755e-01,9.858086010320495918e-01,-1.058712481523840853e-09
