# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,9.999883092320838163e-01,-3.113529879773603738e-05
1.149574787393696854e-02,9.999918313898634725e-01,6.443305889018824751e-06
1.299149574787393686e-02,9.999853338564863581e-01,4.725556911277693176e-06
1.448724362181090519e-02,9.999831130402790924e-01,4.473411742663014033e-06
1.598299149574787525e-02,9.999785767201366804e-01,-1.028763042560071716e-06
1.747873936968484185e-02,9.999745291801220848e-01,-1.663509246293617740e-06
1.897448724362181191e-02,9.999697851769516754e-01,9.996548903199982329e-07
2.047023511755877850e-02,9.999651939323040972e-01,-2.088640328317505608e-07
2.196598299149574857e-02,9.999597840474481192e-01,-3.940435250909398680e-07
2.346173086543271863e-02,9.999541053791599632e-01,-2.495829375322835529e-07
2.495747873936968522e-02,9.999481273852228735e-01,7.832788490376525637e-08
2.645322661330665182e-02,9.999416667916662949e-01,-1.045867402522957830e-07
2.794897448724362188e-02,9.999349374320211092e-01,-6.936403023747996844e-08
2.944472236118059194e-02,9.999277865809484966e-01,4.885407759429580237e-08
3.094047023511756200e-02,9.999202570116026978e-01,-2.903937550142482365e-08
3.243621810905452513e-02,9.999123853872243783e-01,-2.498669896962681201e-08
3.393196598299149519e-02,9.999041228430564088e-01,-3.747855754292360358e-08
3.542771385692846525e-02,9.998955243699929607e-01,9.962047988691471785e-08
3.692346173086543532e-02,9.998865166687451733e-01,2.567513217817670722e-09
3.841920960480240538e-02,9.998771302948661344e-01,1.654172222102231313e-08
3.991495747873936850e-02,9.998674080210002701e-01,7.148985689617159070e-09
4.141070535267633856e-02,9.998572948774979707e-01,-1.049757079144856673e-08
4.290645322661330863e-02,9.998468153110826595e-01,3.070354390514862364e-08
4.440220110055027869e-02,9.998359571157643400e-01,-2.329390978254459421e-08
4.589794897448724875e-02,9.998247508468532940e-01,-2.192360146451558243e-09
4.739369684842421881e-02,9.998131598646067264e-01,-1.007239503071417830e-08
4.888944472236118194e-02,9.998012086161948142e-01,4.595792652747344256e-09
5.038519259629815200e-02,9.997888848975885479e-01,2.586960183252480686e-09
5.188094047023512206e-02,9.997761948307613000e-01,1.362725174027487290e-09
5.337668834417209213e-02,9.997631323212754495e-01,2.735935691908019878e-09
5.487243621810905525e-02,9.997497095999501315e-01,-2.908144905233976393e-09
5.636818409204602531e-02,9.997359144649766716e-01,-2.878284233890106897e-09
5.786393196598299538e-02,9.997217560936556557e-01,9.007714870036337725e-11
5.935967983991996544e-02,9.997072283933671200e-01,-3.776451400434815920e-09
6.085542771385693550e-02,9.996923405418366437e-01,9.122201761394361170e-09
6.235117558779389862e-02,9.996770803395396143e-01,4.060104925567788755e-09
6.384692346173086175e-02,9.996614539110481035e-01,-5.554198915496944403e-09
6.534267133566783181e-02,9.996454673809659353e-01,2.611494386958624556e-10
6.683841920960480187e-02,9.996291146589877386e-01,2.847243701091746187e-09
6.833416708354177194e-02,9.996123957629592383e-01,-1.812155019460182160e-09
6.982991495747874200e-02,9.995953168183849824e-01,1.689468244326514196e-09
7.132566283141571206e-02,9.995778717364471877e-01,3.854892389854070667e-09
7.282141070535266825e-02,9.995600605361908420e-01,-6.606756934540680397e-09
7.431715857928963831e-02,9.995418893440015662e-01,-6.408040025714160587e-09
7.581290645322660837e-02,9.995233581793946387e-01,-4.360640370365669399e-09
7.730865432716357843e-02,9.995044670622732497e-01,2.243520414185542678e-09
7.880440220110054850e-02,9.994852099063324946e-01,-1.763785380819825180e-09
8.030015007503751856e-02,9.994655928390893118e-01,-2.624596826434238988e-09
8.179589794897448862e-02,9.994456158816203972e-01,-2.766286605311644061e-09
8.329164582291145869e-02,9.994252790553915800e-01,-1.923370937411681343e-09
8.478739369684842875e-02,9.994045823822577113e-01,-3.744460581842583910e-09
8.628314157078538493e-02,9.993835258844614433e-01,-6.686141797054925986e-09
8.777888944472235500e-02,9.993621156904936020e-01,5.903252442147391240e-10
