# q/kF, wp(q)/wp(0)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (9.989410240643284977e-01+4.338877271759683460e-17j)
 (1.058116232464930001e-01+0.000000000000000000e+00j), (9.988146055501627707e-01+0.000000000000000000e+00j)
 (1.116232464929859808e-01+0.000000000000000000e+00j), (9.986811050357931041e-01+0.000000000000000000e+00j)
 (1.174348697394789615e-01+0.000000000000000000e+00j), (9.985405319124066592e-01+0.000000000000000000e+00j)
 (1.232464929859719421e-01+0.000000000000000000e+00j), (9.983928964204640266e-01+0.000000000000000000e+00j)
 (1.290581162324649367e-01+0.000000000000000000e+00j), (9.982382091511990962e-01+0.000000000000000000e+00j)
 (1.348697394789579174e-01+0.000000000000000000e+00j), (9.980764814046337863e-01+0.000000000000000000e+00j)
 (1.406813627254508980e-01+0.000000000000000000e+00j), (9.979077250111412223e-01+0.000000000000000000e+00j)
 (1.464929859719438787e-01+0.000000000000000000e+00j), (9.977319523244541077e-01+0.000000000000000000e+00j)
 (1.523046092184368872e-01+0.000000000000000000e+00j), (9.975491762964117104e-01+0.000000000000000000e+00j)
 (1.581162324649298678e-01+0.000000000000000000e+00j), (9.973594105060192838e-01+0.000000000000000000e+00j)
 (1.639278557114228485e-01+0.000000000000000000e+00j), (9.971626690311633512e-01+0.000000000000000000e+00j)
 (1.697394789579158292e-01+0.000000000000000000e+00j), (9.969589666290008534e-01+0.000000000000000000e+00j)
 (1.755511022044088376e-01+0.000000000000000000e+00j), (9.967483186600913925e-01+0.000000000000000000e+00j)
 (1.813627254509017905e-01+0.000000000000000000e+00j), (9.965307410311129432e-01+0.000000000000000000e+00j)
 (1.871743486973947990e-01+0.000000000000000000e+00j), (9.963062503739764653e-01+0.000000000000000000e+00j)
 (1.929859719438877796e-01+0.000000000000000000e+00j), (9.960748638848515579e-01+0.000000000000000000e+00j)
 (1.987975951903807603e-01+0.000000000000000000e+00j), (9.958365994156528345e-01+0.000000000000000000e+00j)
 (2.046092184368737410e-01+0.000000000000000000e+00j), (9.955914754772795527e-01-1.009806898766689974e-22j)
 (2.104208416833667217e-01+0.000000000000000000e+00j), (9.953395112412883883e-01+0.000000000000000000e+00j)
 (2.162324649298597301e-01+0.000000000000000000e+00j), (9.950807265684794567e-01+0.000000000000000000e+00j)
 (2.220440881763527385e-01+0.000000000000000000e+00j), (9.948151419662712991e-01+0.000000000000000000e+00j)
 (2.278557114228457192e-01+0.000000000000000000e+00j), (9.945427786716094509e-01+0.000000000000000000e+00j)
 (2.336673346693386444e-01+0.000000000000000000e+00j), (9.942636586121936793e-01+0.000000000000000000e+00j)
 (2.394789579158316251e-01+0.000000000000000000e+00j), (9.939778044319467210e-01-1.076996050580526738e-22j)
 (2.452905811623246612e-01+0.000000000000000000e+00j), (9.936852395118229708e-01-1.088209906130289106e-22j)
 (2.511022044088176419e-01+0.000000000000000000e+00j), (9.933859879679803884e-01+0.000000000000000000e+00j)
 (2.569138276553106226e-01+0.000000000000000000e+00j), (9.930800746808178259e-01+0.000000000000000000e+00j)
 (2.627254509018036033e-01+0.000000000000000000e+00j), (9.927675252934005101e-01+0.000000000000000000e+00j)
 (2.685370741482965840e-01+0.000000000000000000e+00j), (9.924483662310783494e-01+0.000000000000000000e+00j)
 (2.743486973947896201e-01+0.000000000000000000e+00j), (9.921226247223962069e-01-1.144325530645382089e-22j)
 (2.801603206412826008e-01+0.000000000000000000e+00j), (9.917903288030459619e-01+0.000000000000000000e+00j)
 (2.859719438877755815e-01+0.000000000000000000e+00j), (9.914515073363047160e-01+0.000000000000000000e+00j)
 (2.917835671342685622e-01+0.000000000000000000e+00j), (9.911061900257095436e-01+0.000000000000000000e+00j)
 (2.975951903807615428e-01+0.000000000000000000e+00j), (9.907544074373325627e-01+0.000000000000000000e+00j)
