# q/kF, wp(q)/epsF
 (1.000000000000000056e-01+0.000000000000000000e+00j), (3.016819148764817316e-03-5.055851254069632511e-15j)
 (1.058116232464929862e-01+0.000000000000000000e+00j), (3.016205304287468154e-03-2.578661512504526485e-19j)
 (1.116232464929859808e-01+0.000000000000000000e+00j), (3.015556704869197264e-03-1.904058199127249420e-23j)
 (1.174348697394789476e-01+0.000000000000000000e+00j), (3.014873334062138574e-03+0.000000000000000000e+00j)
 (1.232464929859719560e-01+0.000000000000000000e+00j), (3.014155176326710310e-03-6.409772022374060966e-24j)
 (1.290581162324649367e-01+0.000000000000000000e+00j), (3.013402222238493328e-03+6.441423055635594554e-24j)
 (1.348697394789579174e-01+0.000000000000000000e+00j), (3.012614449528684939e-03+0.000000000000000000e+00j)
 (1.406813627254508980e-01+0.000000000000000000e+00j), (3.011791840992312022e-03+0.000000000000000000e+00j)
 (1.464929859719438787e-01+0.000000000000000000e+00j), (3.010934381141772923e-03+0.000000000000000000e+00j)
 (1.523046092184368872e-01+0.000000000000000000e+00j), (3.010042049354342761e-03+6.569426233767219952e-24j)
 (1.581162324649298678e-01+0.000000000000000000e+00j), (3.009114826406373688e-03+6.601785475063406102e-24j)
 (1.639278557114228763e-01+0.000000000000000000e+00j), (3.008152691372577726e-03-6.634294430652122246e-24j)
 (1.697394789579158292e-01+0.000000000000000000e+00j), (3.007155624879359699e-03+0.000000000000000000e+00j)
 (1.755511022044088376e-01+0.000000000000000000e+00j), (3.006123602852419762e-03+6.699766298795111585e-24j)
 (1.813627254509018183e-01+0.000000000000000000e+00j), (3.005056605400764982e-03+6.732734176372519206e-24j)
 (1.871743486973947990e-01+0.000000000000000000e+00j), (3.003954607770564431e-03-6.765862607832087561e-24j)
 (1.929859719438877796e-01+0.000000000000000000e+00j), (3.002817586641717915e-03+0.000000000000000000e+00j)
 (1.987975951903807603e-01+0.000000000000000000e+00j), (3.001645517444287339e-03+0.000000000000000000e+00j)
 (2.046092184368737132e-01+0.000000000000000000e+00j), (3.000438375398686332e-03+0.000000000000000000e+00j)
 (2.104208416833667217e-01+0.000000000000000000e+00j), (2.999196134147034173e-03+6.900014970763400696e-24j)
 (2.162324649298597301e-01+0.000000000000000000e+00j), (2.997918767748062197e-03+0.000000000000000000e+00j)
 (2.220440881763527108e-01+0.000000000000000000e+00j), (2.996606248484994482e-03+0.000000000000000000e+00j)
 (2.278557114228456915e-01+0.000000000000000000e+00j), (2.995258548895444930e-03+7.002429245957674956e-24j)
 (2.336673346693386721e-01+0.000000000000000000e+00j), (2.993875640447097707e-03+0.000000000000000000e+00j)
 (2.394789579158316528e-01+0.000000000000000000e+00j), (2.992457494030080316e-03+7.071605094788599389e-24j)
 (2.452905811623246612e-01+0.000000000000000000e+00j), (2.991004079949810025e-03-7.106471319711046156e-24j)
 (2.511022044088176419e-01+0.000000000000000000e+00j), (2.989515367997640054e-03+0.000000000000000000e+00j)
 (2.569138276553106226e-01+0.000000000000000000e+00j), (2.987991327022536392e-03+0.000000000000000000e+00j)
 (2.627254509018036033e-01+0.000000000000000000e+00j), (2.986431925692735034e-03+0.000000000000000000e+00j)
 (2.685370741482965840e-01+0.000000000000000000e+00j), (2.984837131640899737e-03-7.247863217179335074e-24j)
 (2.743486973947896201e-01+0.000000000000000000e+00j), (2.983206912315817475e-03+0.000000000000000000e+00j)
 (2.801603206412826008e-01+0.000000000000000000e+00j), (2.981541234364177683e-03+0.000000000000000000e+00j)
 (2.859719438877755815e-01+0.000000000000000000e+00j), (2.979840063863614576e-03+0.000000000000000000e+00j)
 (2.917835671342686177e-01+0.000000000000000000e+00j), (2.978103366424345467e-03+7.392485402532859585e-24j)
 (2.975951903807615428e-01+0.000000000000000000e+00j), (2.976331107078950336e-03+7.429169548439639130e-24j)
 (3.034068136272545235e-01+0.000000000000000000e+00j), (2.974523250310455707e-03+7.466071708572096247e-24j)
 (3.092184368737475042e-01+0.000000000000000000e+00j), (2.972679760056373948e-03+0.000000000000000000e+00j)
 (3.150300601202404849e-01+0.000000000000000000e+00j), (2.970800599717947181e-03+7.540543710254769011e-24j)
 (3.208416833667334656e-01+0.000000000000000000e+00j), (2.968885732320681193e-03+0.000000000000000000e+00j)
 (3.266533066132264462e-01+0.000000000000000000e+00j), (2.966935120217719865e-03-7.615928739508594720e-24j)
 (3.324649298597194269e-01+0.000000000000000000e+00j), (2.964948725405041827e-03-7.653972456753196451e-24j)
 (3.382765531062124076e-01+0.000000000000000000e+00j), (2.962926509336272652e-03+7.692255122090794406e-24j)
 (3.440881763527053883e-01+0.000000000000000000e+00j), (2.960868433064660701e-03+0.000000000000000000e+00j)
 (3.498997995991983689e-01+0.000000000000000000e+00j), (2.958774457124151418e-03-7.769551849688552059e-24j)
 (3.557114228456913496e-01+0.000000000000000000e+00j), (2.956644541669744240e-03-7.808573398177960279e-24j)
 (3.615230460921843303e-01+0.000000000000000000e+00j), (2.954478646407255812e-03-7.847848813924016773e-24j)
 (3.673346693386773110e-01+0.000000000000000000e+00j), (2.952276730651462282e-03+0.000000000000000000e+00j)
 (3.731462925851702916e-01+0.000000000000000000e+00j), (2.950038753290195291e-03-7.927176769047121315e-24j)
 (3.789579158316632723e-01+0.000000000000000000e+00j), (2.947764672864150535e-03-7.967237225366585090e-24j)
 (3.847695390781563640e-01+0.000000000000000000e+00j), (2.945454447516498379e-03+8.007567377674537514e-24j)
 (3.905811623246493447e-01+0.000000000000000000e+00j), (2.943108035055687789e-03+0.000000000000000000e+00j)
 (3.963927855711423254e-01+0.000000000000000000e+00j), (2.940725392933953540e-03+8.089053288647463129e-24j)
 (4.022044088176353061e-01+0.000000000000000000e+00j), (2.938306478296362489e-03+0.000000000000000000e+00j)
 (4.080160320641282867e-01+0.000000000000000000e+00j), (2.935851247969704838e-03+0.000000000000000000e+00j)
 (4.138276553106212674e-01+0.000000000000000000e+00j), (2.933359658483404488e-03+0.000000000000000000e+00j)
 (4.196392785571142481e-01+0.000000000000000000e+00j), (2.930831666099866731e-03+8.255446650459629302e-24j)
 (4.254509018036072288e-01+0.000000000000000000e+00j), (2.928267226810766805e-03+8.297783444280518682e-24j)
 (4.312625250501002094e-01+0.000000000000000000e+00j), (2.925666296371815054e-03+0.000000000000000000e+00j)
 (4.370741482965931901e-01+0.000000000000000000e+00j), (2.923028830309032725e-03+0.000000000000000000e+00j)
 (4.428857715430861708e-01+0.000000000000000000e+00j), (2.920354783946744331e-03+0.000000000000000000e+00j)
 (4.486973947895791515e-01+0.000000000000000000e+00j), (2.917644112407804906e-03+0.000000000000000000e+00j)
 (4.545090180360720766e-01+0.000000000000000000e+00j), (2.914896770644432537e-03+8.514128575697899996e-24j)
 (4.603206412825651128e-01+0.000000000000000000e+00j), (2.912112713464215779e-03+0.000000000000000000e+00j)
 (4.661322645290580935e-01+0.000000000000000000e+00j), (2.909291895537978456e-03+8.602932272933299080e-24j)
 (4.719438877755510742e-01+0.000000000000000000e+00j), (2.906434271429665043e-03+8.647839737113100243e-24j)
 (4.777555110220440548e-01+0.000000000000000000e+00j), (2.903539795594664921e-03+0.000000000000000000e+00j)
 (4.835671342685370355e-01+0.000000000000000000e+00j), (2.900608422433297810e-03-8.738692176605008836e-24j)
