# q/kF, wp(q)/epsF
 (1.000000000000000056e-01+0.000000000000000000e+00j), (3.016827477572873312e-03-5.056387683490223304e-15j)
 (1.591836734693877486e-01+0.000000000000000000e+00j), (3.008994054186507356e-03-1.567473608114659882e-23j)
 (2.183673469387755195e-01+0.000000000000000000e+00j), (2.997628791052437108e-03+0.000000000000000000e+00j)
 (2.775510204081632626e-01+0.000000000000000000e+00j), (2.982781817452248574e-03+0.000000000000000000e+00j)
 (3.367346938775510057e-01+0.000000000000000000e+00j), (2.964517956229500810e-03-3.780851467663383000e-27j)
 (3.959183673469387488e-01+0.000000000000000000e+00j), (2.942916226653376904e-03-6.181285012457615504e-27j)
 (4.551020408163265474e-01+0.000000000000000000e+00j), (2.918069591397142327e-03-9.452282828605432865e-27j)
 (5.142857142857142350e-01+0.000000000000000000e+00j), (2.890085143747274637e-03+0.000000000000000000e+00j)
 (5.734693877551020336e-01+0.000000000000000000e+00j), (2.859084939046199324e-03+0.000000000000000000e+00j)
 (6.326530612244897211e-01+0.000000000000000000e+00j), (2.825207681367935750e-03+2.618676668243690103e-26j)
 (6.918367346938775198e-01+0.000000000000000000e+00j), (2.788611478980925536e-03+0.000000000000000000e+00j)
 (7.510204081632652073e-01+0.000000000000000000e+00j), (2.749477953724562603e-03+0.000000000000000000e+00j)
 (8.102040816326530059e-01+0.000000000000000000e+00j), (2.708017902638483118e-03+0.000000000000000000e+00j)
 (8.693877551020406935e-01+0.000000000000000000e+00j), (2.664479011206158810e-03+0.000000000000000000e+00j)
 (9.285714285714284921e-01+0.000000000000000000e+00j), (2.619156079707747869e-03-4.769437937381935637e-30j)
 (9.877551020408161797e-01+0.000000000000000000e+00j), (2.572404603203139704e-03+0.000000000000000000e+00j)
 (1.046938775510203978e+00+0.000000000000000000e+00j), (2.524658957220684164e-03+0.000000000000000000e+00j)
 (1.106122448979591777e+00+0.000000000000000000e+00j), (2.476457197222035628e-03+0.000000000000000000e+00j)
 (1.165306122448979576e+00+0.000000000000000000e+00j), (2.428475778155796995e-03+0.000000000000000000e+00j)
 (1.224489795918367374e+00+0.000000000000000000e+00j), (2.381579839126011719e-03+0.000000000000000000e+00j)
 (1.283673469387755173e+00+0.000000000000000000e+00j), (2.336899157041009891e-03+0.000000000000000000e+00j)
 (1.342857142857142749e+00+0.000000000000000000e+00j), (2.295949034735727569e-03+0.000000000000000000e+00j)
 (1.402040816326530548e+00+0.000000000000000000e+00j), (2.260836207611300989e-03+0.000000000000000000e+00j)
 (1.461224489795918347e+00+0.000000000000000000e+00j), (2.234644436771770701e-03-3.648692015918235038e-29j)
 (1.520408163265306145e+00+0.000000000000000000e+00j), (2.222273501326938166e-03+0.000000000000000000e+00j)
 (1.579591836734693944e+00+0.000000000000000000e+00j), (2.232904499825080161e-03+3.590978117174510390e-29j)
 (1.638775510204081520e+00+0.000000000000000000e+00j), (2.269625033813449811e-03-1.767875255914026485e-05j)
