# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,9.999883092320838163e-01,-2.658679188497765127e-05
1.149574787393696854e-02,9.999883856015068240e-01,4.218173588622599733e-06
1.299149574787393686e-02,9.999816681465641954e-01,1.157335818485169497e-06
1.448724362181090519e-02,9.999753967312134950e-01,-7.669643873772768937e-06
1.598299149574787525e-02,9.999729376675527970e-01,5.147058746643050139e-07
1.747873936968484185e-02,9.999675338502630462e-01,-1.033513394073231105e-06
1.897448724362181191e-02,9.999618734662456543e-01,1.146609040718891824e-06
2.047023511755877850e-02,9.999554738777997054e-01,2.569035557677426786e-07
2.196598299149574857e-02,9.999488971590663189e-01,6.954651353979864779e-07
2.346173086543271863e-02,9.999414407425117890e-01,-6.754184430759636210e-07
2.495747873936968522e-02,9.999338988518136073e-01,1.191598891366160620e-07
2.645322661330665182e-02,9.999257949696306325e-01,2.959234420736117466e-08
2.794897448724362188e-02,9.999171352184832440e-01,4.449935048179556908e-08
2.944472236118059194e-02,9.999080295766472615e-01,9.647860866796509404e-08
3.094047023511756200e-02,9.998984719470435101e-01,1.659729179115140417e-08
3.243621810905452513e-02,9.998884195793951157e-01,-2.609117643516731092e-08
3.393196598299149519e-02,9.998778908152113898e-01,4.104001058815863388e-08
3.542771385692846525e-02,9.998668673426788223e-01,-8.105588133767953098e-08
3.692346173086543532e-02,9.998554102660363041e-01,-2.651932861393644777e-08
3.841920960480240538e-02,9.998434585125851592e-01,1.341192923690705542e-08
3.991495747873936850e-02,9.998310426431673559e-01,-1.546331115213640236e-08
4.141070535267633856e-02,9.998181382404881523e-01,-5.314574080183622680e-09
4.290645322661330863e-02,9.998047697572861603e-01,-1.237311691916553348e-08
4.440220110055027869e-02,9.997909311035332314e-01,4.312371303553713567e-09
4.589794897448724875e-02,9.997766039734921062e-01,-1.778855216511822787e-08
4.739369684842421881e-02,9.997618250374922244e-01,1.388098967333588627e-08
4.888944472236118194e-02,9.997465515581808182e-01,-1.019146596787311371e-08
5.038519259629815200e-02,9.997308140983695024e-01,1.698098509550965821e-10
5.188094047023512206e-02,9.997146065717800179e-01,2.001247194703389479e-09
5.337668834417209213e-02,9.996979228931802686e-01,1.042325687023022232e-08
5.487243621810905525e-02,9.996807569784114111e-01,-5.723122890041205830e-09
5.636818409204602531e-02,9.996631271751157399e-01,-5.108957904858414162e-09
5.786393196598299538e-02,9.996450212924963274e-01,-1.546322875134532425e-09
5.935967983991996544e-02,9.996264454636628605e-01,1.390548635649103661e-09
6.085542771385693550e-02,9.996073936072614741e-01,-1.109704899507319145e-09
6.235117558779389862e-02,9.995878718575232913e-01,1.639418489488534587e-09
6.384692346173086175e-02,9.995678741346640805e-01,1.030300209413682547e-09
6.534267133566783181e-02,9.995474065740235226e-01,1.530220740718645111e-09
6.683841920960480187e-02,9.995264630973994535e-01,-1.102509982236193311e-09
6.833416708354177194e-02,9.995050498412304529e-01,-6.928410626424617865e-10
6.982991495747874200e-02,9.994831607289057507e-01,-8.338048343259685339e-09
7.132566283141571206e-02,9.994608080044172782e-01,6.725997091093232710e-09
7.282141070535266825e-02,9.994379733796829868e-01,-3.322464202163046093e-09
7.431715857928963831e-02,9.994146690999063942e-01,-4.474985300622229062e-09
7.581290645322660837e-02,9.993908951977441557e-01,-2.382522371625991587e-09
7.730865432716357843e-02,9.993666517065150634e-01,3.804029181389398123e-09
7.880440220110054850e-02,9.993419325544442566e-01,2.428567407321537748e-09
8.030015007503751856e-02,9.993167438822345705e-01,4.893704468993191766e-09
8.179589794897448862e-02,9.992910796197489454e-01,-4.825248356667408006e-10
8.329164582291145869e-02,9.992649459087284969e-01,-2.209598548290609606e-09
8.478739369684842875e-02,9.992383427858194667e-01,7.881179757189096583e-12
8.628314157078538493e-02,9.992112702883275688e-01,5.789070532427515601e-09
8.777888944472235500e-02,9.991837223494147713e-01,2.360206022779298024e-09
8.927463731865932506e-02,9.991557051128563405e-01,2.148625020797407485e-09
9.077038519259629512e-02,9.991272186179512849e-01,4.722609059429594076e-09
9.226613306653326518e-02,9.990982568003675679e-01,-1.819570978113453909e-09
9.376188094047023525e-02,9.990688319094922498e-01,6.017231073363755524e-09
9.525762881440720531e-02,9.990389317782019107e-01,3.967859110654184010e-09
9.675337668834417537e-02,9.990085625527440616e-01,4.684013130926125811e-09
9.824912456228114543e-02,9.989777181721644084e-01,-4.948576723355015361e-09
9.974487243621810162e-02,9.989464108870635961e-01,-1.065305093227107394e-09
1.012406203101550717e-01,9.989146346376192032e-01,4.497263512617825593e-09
1.027363681840920417e-01,9.988823833654318918e-01,-3.986508342618354582e-10
1.042321160580290118e-01,9.988496632191478097e-01,-4.306936684751952560e-09
1.057278639319659819e-01,9.988164803472883158e-01,4.576966792350467351e-09
1.072236118059029519e-01,9.987828225910372337e-01,2.611102809957406936e-09
1.087193596798399220e-01,9.987486961004397035e-01,5.526911369366241715e-10
1.102151075537768921e-01,9.987141009233994060e-01,-9.713828841329262649e-10
1.117108554277138621e-01,9.986790371084803830e-01,-2.624881591756274413e-09
1.132066033016508183e-01,9.986435047049061486e-01,-4.358840390290384334e-09
1.147023511755877884e-01,9.986075098638981240e-01,5.644721132926944055e-09
1.161980990495247584e-01,9.985710404331012979e-01,2.557570702314882837e-09
1.176938469234617285e-01,9.985341025652755276e-01,-1.328244448063479742e-09
1.191895947973986986e-01,9.984967024129516311e-01,5.755325400744985742e-09
1.206853426713356686e-01,9.984588278270809525e-01,-8.342225954109151214e-10
1.221810905452726387e-01,9.984204910619499662e-01,2.980889059143901134e-09
1.236768384192096087e-01,9.983816860707172003e-01,4.991602170839011320e-09
1.251725862931465927e-01,9.983424129078706244e-01,4.806386294001057114e-09
1.266683341670835350e-01,9.983026716285586799e-01,2.003747636893015802e-09
1.281640820410205051e-01,9.982624622885867272e-01,-3.470947227007542777e-09
1.296598299149574751e-01,9.982217910434295627e-01,1.494187820703636736e-10
1.311555777888944452e-01,9.981806518506999293e-01,4.068707388440881963e-10
1.326513256628314152e-01,9.981390447681703915e-01,-2.879718831633316941e-09
1.341470735367683853e-01,9.980969759525266660e-01,2.207064035757655990e-09
1.356428214107053554e-01,9.980544393640841117e-01,2.960282731575269936e-09
1.371385692846423254e-01,9.980114350625804986e-01,-5.718171199454286082e-10
1.386343171585792955e-01,9.979679692058860407e-01,3.165381219665849781e-09
1.401300650325162656e-01,9.979240357570434705e-01,1.798607528908377619e-09
1.416258129064532356e-01,9.978796347777534326e-01,-4.853478884327792059e-09
1.431215607803902057e-01,9.978347724270451025e-01,-4.933000868743904085e-09
1.446173086543271757e-01,9.977894487671082890e-01,1.001209999134016861e-09
1.461130565282641458e-01,9.977436577646529026e-01,7.934260303117424683e-10
1.476088044022011159e-01,9.976974025319108597e-01,-7.531339119092061592e-12
1.491045522761380859e-01,9.976506831334248648e-01,-1.665513179498091280e-09
1.506003001500750560e-01,9.976035026820211371e-01,1.585699903651706050e-09
1.520960480240120261e-01,9.975558551481209513e-01,-2.824239331981468840e-09
1.535917958979489961e-01,9.975077466933365278e-01,-2.930187912732184787e-09
1.550875437718859662e-01,9.974591773843590747e-01,8.124274369365050925e-10
1.565832916458229362e-01,9.974101411944165108e-01,-3.990710779314124920e-09
1.580790395197599063e-01,9.973606442861808752e-01,-5.629681570662362917e-09
1.595747873936968764e-01,9.973106867282678367e-01,-4.470119515440941320e-09
1.610705352676338187e-01,9.972602685899308872e-01,-7.308559192940119136e-10
1.625662831415707887e-01,9.972093899410617857e-01,5.133215419327841358e-09
1.640620310155077588e-01,9.971580447596150032e-01,5.728802948355231606e-10
1.655577788894447289e-01,9.971062392099634408e-01,-2.578522789780009790e-09
1.670535267633816989e-01,9.970539733639215418e-01,-4.657787365002046495e-09
1.685492746373186690e-01,9.970012503397531756e-01,-3.517075403651004824e-11
1.700450225112556391e-01,9.969480641187580261e-01,-1.190983040172929400e-09
1.715407703851926091e-01,9.968944178206367024e-01,-2.446561377470124161e-09
1.730365182591295792e-01,9.968403115197516096e-01,-4.211953259818771927e-09
1.745322661330665492e-01,9.967857513814227799e-01,5.339296911392853084e-09
1.760280140070035193e-01,9.967307253003087064e-01,1.442389464224443538e-09
1.775237618809404894e-01,9.966752394433361362e-01,-4.167410329905945228e-09
1.790195097548774594e-01,9.966192999767261584e-01,3.171201130597958460e-10
1.805152576288144295e-01,9.965629008880256823e-01,2.299470085609910445e-09
1.820110055027513996e-01,9.965060422554068431e-01,1.387028103585859317e-09
