# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,9.999883092320838163e-01,-2.658775155239823107e-05
1.149574787393696854e-02,9.999883856015068240e-01,4.218242441567100224e-06
1.299149574787393686e-02,9.999816681465641954e-01,1.157208611046733893e-06
1.448724362181090519e-02,9.999753967312134950e-01,-7.670481992461118364e-06
1.598299149574787525e-02,9.999729376675527970e-01,5.143084679248844886e-07
1.747873936968484185e-02,9.999675338502630462e-01,-1.034250796339009071e-06
1.897448724362181191e-02,9.999618734662456543e-01,1.145870606400478664e-06
2.047023511755877850e-02,9.999554738777997054e-01,2.557518075096965049e-07
2.196598299149574857e-02,9.999488971590663189e-01,6.940027951207738965e-07
2.346173086543271863e-02,9.999414407425117890e-01,-6.775928640401218672e-07
2.495747873936968522e-02,9.999338988518136073e-01,1.165604130992648057e-07
2.645322661330665182e-02,9.999257949696306325e-01,2.628707596041835235e-08
2.794897448724362188e-02,9.999171352184832440e-01,4.038390077898412094e-08
2.944472236118059194e-02,9.999080295766472615e-01,9.142285550822745872e-08
3.094047023511756200e-02,9.998984719470435101e-01,1.040472052959984239e-08
3.243621810905452513e-02,9.998884195793951157e-01,-3.358610500825420124e-08
3.393196598299149519e-02,9.998778969241550740e-01,-3.561722006217848295e-08
3.542771385692846525e-02,9.998668978870721702e-01,-2.170321988792522916e-08
3.692346173086543532e-02,9.998554224836431192e-01,7.282353253756922227e-08
3.841920960480240538e-02,9.998434646213040233e-01,6.554164766470194908e-09
3.991495747873936850e-02,9.998310548604788517e-01,2.149778832727378131e-08
4.141070535267633856e-02,9.998181626748282591e-01,1.251920866973676993e-08
4.290645322661330863e-02,9.998047819742706954e-01,-6.464352164670118245e-09
4.440220110055027869e-02,9.997909372119160309e-01,-7.658330636317600693e-09
4.589794897448724875e-02,9.997766284068316800e-01,1.281440098477304280e-08
4.739369684842421881e-02,9.997618372539495146e-01,-2.117528152822956558e-09
4.888944472236118194e-02,9.997465698826217828e-01,-9.396250444382301545e-10
5.038519259629815200e-02,9.997308385305988532e-01,1.246214709205162473e-08
5.188094047023512206e-02,9.997146248956327863e-01,-1.245136593830409311e-08
5.337668834417209213e-02,9.996979473246090375e-01,1.145706962635273385e-08
5.487243621810905525e-02,9.996807875171999092e-01,-1.108733260757333193e-08
5.636818409204602531e-02,9.996631577133655577e-01,-8.873336287962274582e-09
5.786393196598299538e-02,9.996450579377603729e-01,-6.468000135484431584e-09
5.935967983991996544e-02,9.996264882157025466e-01,1.515684133757133623e-09
6.085542771385693550e-02,9.996074424658295543e-01,1.828685980420630337e-09
6.235117558779389862e-02,9.995879207151370238e-01,-2.993293390929352840e-09
6.384692346173086175e-02,9.995679290984073040e-01,-3.418265892562998157e-09
6.534267133566783181e-02,9.995474676436271189e-01,9.259977229447714432e-10
6.683841920960480187e-02,9.995265302725842016e-01,-1.812528349631747708e-09
6.833416708354177194e-02,9.995051231217085830e-01,-1.123420689808085626e-09
6.982991495747874200e-02,9.994832401143805001e-01,-7.151903957947069185e-09
7.132566283141571206e-02,9.994608934945844458e-01,2.269583632141803636e-09
7.282141070535266825e-02,9.994380710805602641e-01,4.935088449009582828e-09
7.431715857928963831e-02,9.994147729046973794e-01,-1.273601446527550252e-09
7.581290645322660837e-02,9.993910051061154487e-01,-5.449857454209451052e-09
7.730865432716357843e-02,9.993667677181243825e-01,-4.703374578696184471e-09
7.880440220110054850e-02,9.993420607746966722e-01,5.444071859983524643e-10
8.030015007503751856e-02,9.993168843104661692e-01,6.967175170125018130e-09
8.179589794897448862e-02,9.992912322552776061e-01,4.726413260769390945e-09
8.329164582291145869e-02,9.992651107508558894e-01,4.373652107148019158e-09
8.478739369684842875e-02,9.992385198338288310e-01,6.635439420143995903e-09
8.628314157078538493e-02,9.992114534365129641e-01,-7.315001937513443409e-10
8.777888944472235500e-02,9.991839238069734064e-01,5.923535106866495425e-09
8.927463731865932506e-02,9.991559187740443049e-01,2.429079382082477423e-09
9.077038519259629512e-02,9.991274444819843170e-01,6.882838743393905516e-11
9.226613306653326518e-02,9.990985009707356035e-01,-5.240099465453339565e-10
9.376188094047023525e-02,9.990690882809041273e-01,-4.829572297637697499e-10
