# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,9.999883092320838163e-01,-2.658703634483750071e-05
1.149574787393696854e-02,9.999883856015068240e-01,4.217746689739850813e-06
1.299149574787393686e-02,9.999816681465641954e-01,1.156639497973660867e-06
1.448724362181090519e-02,9.999753967312134950e-01,-7.670720628619537648e-06
1.598299149574787525e-02,9.999729376675527970e-01,5.131107609345059049e-07
1.747873936968484185e-02,9.999675338502630462e-01,-1.035794750174100540e-06
1.897448724362181191e-02,9.999618734662456543e-01,1.143440771065535486e-06
2.047023511755877850e-02,9.999554738777997054e-01,2.526119035936682449e-07
2.196598299149574857e-02,9.999488971590663189e-01,6.897749663020462083e-07
2.346173086543271863e-02,9.999414407425117890e-01,-6.828239201151356016e-07
2.495747873936968522e-02,9.999338988518136073e-01,1.096778152770091966e-07
2.645322661330665182e-02,9.999257949696306325e-01,1.762486177312727718e-08
2.794897448724362188e-02,9.999171352184832440e-01,2.958725813703496720e-08
2.944472236118059194e-02,9.999080295766472615e-01,7.810937414540493972e-08
3.094047023511756200e-02,9.998984719470435101e-01,-5.797878781654424695e-09
3.243621810905452513e-02,9.998884562334247050e-01,2.881343808216735946e-08
3.393196598299149519e-02,9.998778969241363113e-01,3.888810275360447530e-08
3.542771385692846525e-02,9.998669284314494199e-01,3.298623470548249808e-09
3.692346173086543532e-02,9.998554347012335031e-01,-9.917969449459837058e-09
3.841920960480240538e-02,9.998434829474900365e-01,-2.634133910763158288e-08
3.991495747873936850e-02,9.998310670777682541e-01,-1.713426259033122886e-08
4.141070535267633856e-02,9.998181810005533077e-01,-4.667680785113129602e-09
4.290645322661330863e-02,9.998048125167796618e-01,-2.494893439117493200e-08
4.440220110055027869e-02,9.997909738624347620e-01,-1.163007956431976725e-08
4.589794897448724875e-02,9.997766650568256086e-01,1.232701636784528059e-09
4.739369684842421881e-02,9.997618739034014324e-01,-2.636753384659665742e-08
4.888944472236118194e-02,9.997466248560250568e-01,-8.675440202716062058e-09
5.038519259629815200e-02,9.997308935031371524e-01,-4.542840718116710649e-09
5.188094047023512206e-02,9.997146920832417072e-01,1.989352488864742677e-09
5.337668834417209213e-02,9.996980206189793883e-01,1.275029392600663893e-08
5.487243621810905525e-02,9.996808730258729403e-01,5.815559246898384441e-09
5.636818409204602531e-02,9.996632493282059384e-01,-8.511362756887830297e-09
5.786393196598299538e-02,9.996451617660775391e-01,5.106408556865928200e-09
5.935967983991996544e-02,9.996265981495486841e-01,3.683146540986655903e-10
6.085542771385693550e-02,9.996075646122690728e-01,4.425896844870121576e-09
6.235117558779389862e-02,9.995880550736462311e-01,-1.617727125841761604e-09
6.384692346173086175e-02,9.995680756684467427e-01,-3.708556911559361961e-09
6.534267133566783181e-02,9.995476264246386799e-01,-5.512623723452761025e-09
6.683841920960480187e-02,9.995267073708536953e-01,-2.704814197366915039e-10
6.833416708354177194e-02,9.995053185363858006e-01,5.284682648052876820e-09
6.982991495747874200e-02,9.994834538445882544e-01,-1.427549882229124965e-09
7.132566283141571206e-02,9.994611194329522386e-01,-4.557401663609223468e-09
7.282141070535266825e-02,9.994383153327671687e-01,-3.626369924743946383e-09
7.431715857928963831e-02,9.994150415759851525e-01,-5.115044328410660345e-09
