# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,9.999883092320838163e-01,-3.113416225130882775e-05
1.149574787393696854e-02,9.999918313898634725e-01,6.445290637318311342e-06
1.299149574787393686e-02,9.999853338564863581e-01,4.728794272146618775e-06
1.448724362181090519e-02,9.999831130402790924e-01,4.478417808706829075e-06
1.598299149574787525e-02,9.999785767201366804e-01,-1.021346728616176830e-06
1.747873936968484185e-02,9.999745291801220848e-01,-1.652902195945096816e-06
1.897448724362181191e-02,9.999697851769516754e-01,1.014385797930198897e-06
2.047023511755877850e-02,9.999651939323040972e-01,-1.889096083059938249e-07
2.196598299149574857e-02,9.999597840474481192e-01,-3.675860937474515056e-07
2.346173086543271863e-02,9.999541053791599632e-01,-2.151493638445841846e-07
2.495747873936968522e-02,9.999481090571885611e-01,3.620903361303355897e-07
2.645322661330665182e-02,9.999416545730583916e-01,9.801891183532456354e-08
2.794897448724362188e-02,9.999349679783767764e-01,3.394812634427913655e-08
2.944472236118059194e-02,9.999277377071228434e-01,-2.258336371552057802e-08
3.094047023511756200e-02,9.999202081381453056e-01,-3.576343193937355005e-08
3.243621810905452513e-02,9.999123304050142602e-01,1.253959596965392173e-08
3.393196598299149519e-02,9.999040678613009270e-01,-5.101347303139754944e-08
3.542771385692846525e-02,9.998954082983185776e-01,-2.388421772354080807e-08
3.692346173086543532e-02,9.998864067071021600e-01,1.799017678834161163e-08
3.841920960480240538e-02,9.998770264431866561e-01,4.284705568093449208e-08
3.991495747873936850e-02,9.998672369727172882e-01,-5.090298039563383927e-08
4.141070535267633856e-02,9.998571238309450493e-01,-1.079221346322359151e-08
4.290645322661330863e-02,9.998466198313130660e-01,-1.042520379903336368e-09
4.440220110055027869e-02,9.998357494207414931e-01,3.112473329878826573e-09
4.589794897448724875e-02,9.998244942851840511e-01,-7.691822410462971128e-09
4.739369684842421881e-02,9.998128727631473422e-01,-2.644636592587030515e-09
4.888944472236118194e-02,9.998008787587933099e-01,1.056022451441715831e-09
5.038519259629815200e-02,9.997885183938010067e-01,1.976769439452746381e-09
5.188094047023512206e-02,9.997757794649603236e-01,-1.189322134435671208e-08
5.337668834417209213e-02,9.997626680948585864e-01,-9.312079007341859546e-09
5.487243621810905525e-02,9.997491904061889256e-01,-2.335073122278213113e-09
5.636818409204602531e-02,9.997353403055436738e-01,-5.156286948886693939e-09
5.786393196598299538e-02,9.997211178082667793e-01,-6.910625184388483040e-12
5.935967983991996544e-02,9.997065229301181910e-01,-2.501818089192887949e-09
6.085542771385693550e-02,9.996915556872744135e-01,-5.887722215115557189e-09
6.235117558779389862e-02,9.996762222040687096e-01,2.120867211482264352e-09
6.384692346173086175e-02,9.996605102819320354e-01,1.043337424939672315e-09
6.534267133566783181e-02,9.996444321536738231e-01,1.744535261415887210e-10
6.683841920960480187e-02,9.996279817293846071e-01,3.586801348692021150e-09
6.833416708354177194e-02,9.996111590273143443e-01,3.822079000741401767e-09
6.982991495747874200e-02,9.995939640661285486e-01,-1.266411632432508221e-09
7.132566283141571206e-02,9.995763968649084008e-01,-5.236329618304107912e-09
7.282141070535266825e-02,9.995584635501887361e-01,-3.284889054130717388e-09
7.431715857928963831e-02,9.995401580346239268e-01,-2.142664483209678142e-09
7.581290645322660837e-02,9.995214803385361613e-01,-5.909353117432919323e-09
7.730865432716357843e-02,9.995024365893644402e-01,6.512840444427873331e-10
7.880440220110054850e-02,9.994830207013257750e-01,3.980004175937111256e-09
8.030015007503751856e-02,9.994632326959828061e-01,2.775295561450287281e-09
8.179589794897448862e-02,9.994430725953138417e-01,-1.608314831802393065e-09
8.329164582291145869e-02,9.994225465279344967e-01,2.357304977411087609e-09
8.478739369684842875e-02,9.994016484101785336e-01,2.701687305653425424e-09
8.628314157078538493e-02,9.993803782652641576e-01,-1.436406745556721795e-09
8.777888944472235500e-02,9.993587422226639649e-01,1.544210611668965320e-09
8.927463731865932506e-02,9.993367342003206533e-01,1.008375955807330407e-09
9.077038519259629512e-02,9.993143542226917697e-01,-4.873171506658685746e-09
9.226613306653326518e-02,9.992916084200860194e-01,-3.162959653025367489e-09
9.376188094047023525e-02,9.992684937647234866e-01,1.787691197019964062e-11
9.525762881440720531e-02,9.992450102820876756e-01,3.599380550454419737e-09
9.675337668834417537e-02,9.992211549455641828e-01,1.721869727274435546e-09
9.824912456228114543e-02,9.991969277816730166e-01,-5.764916149552009315e-09
9.974487243621810162e-02,9.991723410267866479e-01,4.958780770307200849e-09
1.012406203101550717e-01,9.991473763936438157e-01,-1.858838733293722039e-09
1.027363681840920417e-01,9.991220461192878988e-01,-2.747147897903801618e-09
1.042321160580290118e-01,9.990963502314255118e-01,1.859945880306469820e-09
1.057278639319659819e-01,9.990702826540602821e-01,-3.959878518170645565e-11
1.072236118059029519e-01,9.990438495201263702e-01,3.334211286797470547e-09
1.087193596798399220e-01,9.990170447547582766e-01,2.157317965840736690e-10
1.102151075537768921e-01,9.989898744913875417e-01,1.613671354350135488e-09
1.117108554277138621e-01,9.989623326562867556e-01,-4.605340058450959133e-09
1.132066033016508183e-01,9.989344253833759568e-01,-5.989840053253272897e-09
1.147023511755877884e-01,9.989061527031908305e-01,-3.193759076222442309e-09
1.161980990495247584e-01,9.988775146466678523e-01,3.588658082662469420e-09
1.176938469234617285e-01,9.988485051423767747e-01,2.189486407056134498e-09
1.191895947973986986e-01,9.988191303251795494e-01,4.263311455287772623e-09
1.206853426713356686e-01,9.987893841248116633e-01,-2.479526995573844113e-09
1.221810905452726387e-01,9.987592726765959217e-01,-6.060586262280708943e-09
1.236768384192096087e-01,9.987288021155311668e-01,5.520557185080684006e-09
1.251725862931465927e-01,9.986979541688351114e-01,-4.766796312781717433e-09
1.266683341670835350e-01,9.986667471764019144e-01,-5.243556281741161639e-10
1.281640820410205051e-01,9.986351750703402752e-01,5.986189575272570336e-09
1.296598299149574751e-01,9.986032317839196315e-01,2.019698780676341238e-09
1.311555777888944452e-01,9.985709234537759604e-01,-1.956459967089901062e-10
1.326513256628314152e-01,9.985382501152730850e-01,-1.112815692937232040e-09
1.341470735367683853e-01,9.985052118041748415e-01,-1.056795936133707585e-09
1.356428214107053554e-01,9.984718085566446355e-01,-7.742087422083670212e-11
1.371385692846423254e-01,9.984380404092478845e-01,1.479858448776616850e-09
1.386343171585792955e-01,9.984039073989483537e-01,3.084845825117782728e-09
1.401300650325162656e-01,9.983694095631102661e-01,4.846063606053741603e-09
1.416258129064532356e-01,9.983345408398354159e-01,-5.906407403668302904e-09
1.431215607803902057e-01,9.982993134668289859e-01,-5.116177173489248017e-09
1.446173086543271757e-01,9.982637213827785239e-01,-5.115612999871298972e-09
1.461130565282641458e-01,9.982277707256655974e-01,5.813243250365959054e-09
1.476088044022011159e-01,9.981914493365977581e-01,3.056183230267108824e-09
1.491045522761380859e-01,9.981547633545736486e-01,-1.431380936005276943e-09
1.506003001500750560e-01,9.981177189181085208e-01,4.137169547346845022e-09
1.520960480240120261e-01,9.980803038708319086e-01,-4.746754560347021724e-09
1.535917958979489961e-01,9.980425304501802097e-01,-4.252057219272968957e-09
1.550875437718859662e-01,9.980043986968191172e-01,5.404268068283215463e-09
1.565832916458229362e-01,9.979658964569354529e-01,-4.403799728079911004e-10
1.580790395197599063e-01,9.979270359677777646e-01,2.237631968180390157e-09
1.595747873936968764e-01,9.978878111742227608e-01,9.316703106103812114e-10
1.610705352676338187e-01,9.978482221192140900e-01,-4.715297740113118919e-09
1.625662831415707887e-01,9.978082749425732922e-01,-2.814451686537586789e-09
1.640620310155077588e-01,9.977679635910724487e-01,-5.872166363559468519e-09
1.655577788894447289e-01,9.977272942048337478e-01,-2.116354560712741501e-09
1.670535267633816989e-01,9.976862607319016973e-01,-4.009768001639106032e-09
1.685492746373186690e-01,9.976448693126901412e-01,2.515949172188836437e-10
1.700450225112556391e-01,9.976031138965243406e-01,-1.844073208368385261e-09
1.715407703851926091e-01,9.975610006240999139e-01,1.500105337416780321e-09
1.730365182591295792e-01,9.975185234460316464e-01,-2.223481465949613342e-09
1.745322661330665492e-01,9.974756885032880493e-01,-1.247154425691279743e-09
1.760280140070035193e-01,9.974324958419852338e-01,4.083753711452264737e-09
1.775237618809404894e-01,9.973889394146836507e-01,1.276520577487005190e-09
1.790195097548774594e-01,9.973450253627419437e-01,2.073008681445535729e-09
1.805152576288144295e-01,9.973007506867335170e-01,2.492014157785283423e-11
1.820110055027513996e-01,9.972561154347263646e-01,-5.261950649540916633e-09
1.835067533766883696e-01,9.972111287944709357e-01,4.104303623472660113e-09
1.850025012506253397e-01,9.971657786284042757e-01,3.366165553065830786e-09
1.864982491245623097e-01,9.971200710784827725e-01,4.321147269491322544e-09
1.879939969984992520e-01,9.970740001018815191e-01,-5.554199741828263324e-09
1.894897448724362221e-01,9.970275779325332710e-01,-2.423616590426244371e-09
1.909854927463731922e-01,9.969807985281001761e-01,1.194386263155036154e-09
1.924812406203101622e-01,9.969336619389389531e-01,4.895634420856338958e-09
1.939769884942471323e-01,9.968861621248998883e-01,-3.867991267573886367e-09
1.954727363681841024e-01,9.968383113191823242e-01,-1.261534584742586087e-09
1.969684842421210724e-01,9.967901034821138317e-01,1.854007487271471986e-10
1.984642321160580425e-01,9.967415386655871234e-01,3.084249236921170222e-11
1.999599799899950126e-01,9.966926169218776055e-01,-2.133397448707976669e-09
2.014557278639319826e-01,9.966433443930633462e-01,5.354684480361162422e-09
2.029514757378689527e-01,9.965937089530468862e-01,-2.164349171255367038e-09
2.044472236118059227e-01,9.965437228337873377e-01,-8.764434634390940056e-10
2.059429714857428928e-01,9.964933799996674724e-01,-3.368429998243669035e-09
2.074387193596798629e-01,9.964426865930738897e-01,2.037773302601329070e-09
2.089344672336168329e-01,9.963916365797526042e-01,2.772556819461597743e-09
2.104302151075538030e-01,9.963402300146479984e-01,-1.601783346546501770e-09
2.119259629814907731e-01,9.962884730403538391e-01,5.415389106507710886e-10
2.134217108554277431e-01,9.962363596246803787e-01,-3.367993455483548542e-09
2.149174587293647132e-01,9.961838959103448410e-01,-1.675340783606301593e-09
2.164132066033016555e-01,9.961310819528522709e-01,5.128321961727946771e-09
2.179089544772386255e-01,9.960779117220900369e-01,4.475130277950541786e-09
2.194047023511755956e-01,9.960243852752789229e-01,-4.119497259520242573e-09
2.209004502251125657e-01,9.959705148406922115e-01,3.063713311967842433e-09
2.223961980990495357e-01,9.959162883043231052e-01,1.322816317289711842e-09
2.238919459729865058e-01,9.958617118092004672e-01,2.270583403713984370e-09
2.253876938469234759e-01,9.958067854130572272e-01,5.417168315917889507e-09
2.268834417208604459e-01,9.957515030899894981e-01,-1.844552691500751298e-09
2.283791895947974160e-01,9.956958770668196124e-01,4.158225383027778121e-09
2.298749374687343860e-01,9.956398952347146336e-01,-1.252892075051760043e-09
2.313706853426713561e-01,9.955835698198836070e-01,5.577297840746879632e-09
2.328664332166083262e-01,9.955268887155896973e-01,-5.075616681106717735e-11
2.343621810905452962e-01,9.954698641474107879e-01,5.515071226548624423e-09
2.358579289644822663e-01,9.954124840107234640e-01,-2.422649197790615739e-09
2.373536768384192364e-01,9.953547605304564616e-01,-2.347541603303794144e-10
2.388494247123562064e-01,9.952966876853596156e-01,-5.390684300906976830e-10
2.403451725862931765e-01,9.952382655368506859e-01,-3.874067042904453322e-09
2.418409204602301465e-01,9.951795002272457724e-01,1.282446400174690559e-09
2.433366683341670889e-01,9.951203857374448791e-01,2.303452292045573823e-09
2.448324162081040589e-01,9.950609221299611118e-01,-1.364701571180679159e-09
2.463281640820410290e-01,9.950011155471242263e-01,1.787401454617018498e-09
2.478239119559779990e-01,9.949409599720003827e-01,-8.738222143913469918e-10
2.493196598299149691e-01,9.948804615469144519e-01,2.148687487644590940e-09
2.508154077038519114e-01,9.948196142563846545e-01,-1.790843302828473183e-09
2.523111555777888815e-01,9.947584242427227608e-01,-1.201020643753094228e-09
2.538069034517258515e-01,9.946968915695088009e-01,3.332932740384635462e-09
2.553026513256628216e-01,9.946350102234510215e-01,-8.546115018346077800e-10
2.567983991995997917e-01,9.945727863468203367e-01,-2.277356147588292984e-09
2.582941470735367617e-01,9.945102200042651441e-01,-1.549655720145976040e-09
2.597898949474737318e-01,9.944473112607880028e-01,7.314873737465455225e-10
2.612856428214107019e-01,9.943840601817435232e-01,3.956894812585612424e-09
2.627813906953476719e-01,9.943204607575267806e-01,-4.548261571687092692e-09
2.642771385692846420e-01,9.942565252052188995e-01,-1.287319313825437450e-09
2.657728864432216120e-01,9.941922475155333672e-01,1.055181756683615637e-09
2.672686343171585821e-01,9.941276277552383300e-01,1.855525301272359140e-09
2.687643821910955522e-01,9.940626659914564289e-01,4.801753442442022156e-10
2.702601300650325222e-01,9.939973622916624674e-01,-3.711866124125229546e-09
2.717558779389694923e-01,9.939317227966354418e-01,6.784826247323009108e-10
2.732516258129064624e-01,9.938657415008008700e-01,9.598583406625932606e-10
2.747473736868434324e-01,9.937994184726847147e-01,-3.522676590878493922e-09
2.762431215607804025e-01,9.937327598529095418e-01,-1.386810458084288448e-09
2.777388694347173725e-01,9.936657596381482938e-01,-5.335523886719489740e-09
2.792346173086543426e-01,9.935984239689036324e-01,-4.002336358758337766e-09
2.807303651825913127e-01,9.935307529138691640e-01,1.930360298094908785e-09
2.822261130565282827e-01,9.934627404719781341e-01,-2.415265159926024951e-10
2.837218609304652528e-01,9.933943927835359178e-01,8.183474396623548442e-10
2.852176088044022229e-01,9.933257099182615235e-01,4.424012984389280010e-09
2.867133566783391929e-01,9.932566858773640428e-01,-2.144173079414635010e-09
2.882091045522761630e-01,9.931873328693597847e-01,4.452855439782941004e-09
2.897048524262131330e-01,9.931176388277128675e-01,-5.311823862960073469e-10
2.912006003001501031e-01,9.930476098923536332e-01,-5.789008378691999428e-09
2.926963481740870732e-01,9.929772522018498471e-01,-2.750583672013376147e-11
2.941920960480240432e-01,9.929065597599491255e-01,4.016719840872563744e-09
2.956878439219610133e-01,9.928355326387425794e-01,5.617094959784831563e-09
2.971835917958979834e-01,9.927641709106587165e-01,4.036829950671347635e-09
2.986793396698349534e-01,9.926924746484646622e-01,-1.462359220811314816e-09
3.001750875437719235e-01,9.926204499902452350e-01,3.795664151914852995e-10
3.016708354177088935e-01,9.925480909435822063e-01,-3.195991140102806923e-09
3.031665832916458636e-01,9.924754036463477869e-01,-9.431857320065676271e-10
3.046623311655828337e-01,9.924023821076679575e-01,-5.620159070025894839e-09
3.061580790395198037e-01,9.923290354967969629e-01,-1.339001773617338106e-11
3.076538269134567738e-01,9.922553578237386374e-01,3.119261273647493352e-09
3.091495747873937439e-01,9.921813461317736671e-01,-3.001144488851064517e-09
3.106453226613307139e-01,9.921070126200576267e-01,4.813674354546822119e-09
3.121410705352676285e-01,9.920323452388399854e-01,1.803977501086869249e-09
3.136368184092045985e-01,9.919573501251726100e-01,-8.507265233015736709e-10
3.151325662831415686e-01,9.918820273541225641e-01,-3.943821839356782765e-09
3.166283141570785387e-01,9.918063830611086873e-01,3.683237238657879500e-09
3.181240620310155087e-01,9.917304052013271587e-01,-2.735129629076021110e-09
3.196198099049524788e-01,9.916541059704095940e-01,-6.999300356197961007e-11
3.211155577788894488e-01,9.915774793846854340e-01,-1.125648567043785712e-09
3.226113056528264189e-01,9.915005315790037521e-01,5.234141331234919248e-09
3.241070535267633890e-01,9.914232505135655016e-01,-5.763941503991588909e-09
3.256028014007003590e-01,9.913456544387875269e-01,9.296110108090983510e-10
3.270985492746373291e-01,9.912677313159747872e-01,5.309958750387582247e-10
3.285942971485742992e-01,9.911894872793676203e-01,4.144725889402678517e-09
3.300900450225112692e-01,9.911109163500231301e-01,-1.051587175427674725e-09
3.315857928964482393e-01,9.910320246618647966e-01,-3.973539149462589079e-09
3.330815407703852093e-01,9.909528122923747517e-01,-5.499256492426285521e-09
3.345772886443221794e-01,9.908732853736967883e-01,5.433923761670512327e-09
3.360730365182591495e-01,9.907934318747465552e-01,4.036273387592527395e-09
3.375687843921961195e-01,9.907132579287764029e-01,1.360923654276681155e-09
3.390645322661330896e-01,9.906327636145124682e-01,-3.494483850296870676e-09
3.405602801400700597e-01,9.905519550633870018e-01,4.988617335547175119e-10
3.420560280140070297e-01,9.904708263013631830e-01,4.820773727652632607e-10
3.435517758879439998e-01,9.903893774080937407e-01,-4.464643203002573173e-09
3.450475237618809699e-01,9.903076145144491527e-01,-3.339610498209817335e-09
3.465432716358179399e-01,9.902255376992017410e-01,2.918263924178011002e-09
3.480390195097549100e-01,9.901431409915155690e-01,1.434665701012483798e-09
3.495347673836918800e-01,9.900604305216754719e-01,3.187800704338047713e-09
3.510305152576288501e-01,9.899774003204565576e-01,-4.702282054664810051e-09
3.525262631315658202e-01,9.898940625661352133e-01,6.422997460964169896e-10
3.540220110055027902e-01,9.898104052416938359e-01,-5.590295430333120657e-09
3.555177588794397603e-01,9.897264405239757368e-01,-5.433396012845826269e-10
3.570135067533767304e-01,9.896421624454527777e-01,2.880737121934031107e-09
3.585092546273137004e-01,9.895575710872874797e-01,3.689063987929687145e-09
3.600050025012506705e-01,9.894726665309395708e-01,8.846389782412365493e-10
3.615007503751876405e-01,9.893874549034730181e-01,5.366734224305085813e-09
3.629964982491246106e-01,9.893019302405918758e-01,4.215698461743741395e-09
3.644922461230615807e-01,9.892160926246418295e-01,-3.584829567085143180e-09
3.659879939969984952e-01,9.891299542257439015e-01,4.731659656864482874e-09
3.674837418709354653e-01,9.890435030372498604e-01,4.334236353562954128e-09
3.689794897448724353e-01,9.889567391423835785e-01,-5.814468696895891925e-09
3.704752376188094054e-01,9.888696747089766870e-01,-2.983571332637805971e-09
3.719709854927463755e-01,9.887823037760270495e-01,-1.228702438087470762e-10
3.734667333666833455e-01,9.886946264260336736e-01,1.701600040791403365e-09
3.749624812406203156e-01,9.886066427417801172e-01,1.418287078107405061e-09
3.764582291145572857e-01,9.885183528063355984e-01,-2.051203196267534735e-09
