# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,9.999883092320838163e-01,-3.113516842856434153e-05
1.149574787393696854e-02,9.999918313898634725e-01,6.445357468742862750e-06
1.299149574787393686e-02,9.999853338564863581e-01,4.728731820891064211e-06
1.448724362181090519e-02,9.999831130402790924e-01,4.478235899552098249e-06
1.598299149574787525e-02,9.999785767201366804e-01,-1.022095765579323013e-06
1.747873936968484185e-02,9.999745291801220848e-01,-1.654011739127269540e-06
1.897448724362181191e-02,9.999697851769516754e-01,1.013154196538579299e-06
2.047023511755877850e-02,9.999651939323040972e-01,-1.907444111548528289e-07
2.196598299149574857e-02,9.999597840474481192e-01,-3.700398913952796494e-07
2.346173086543271863e-02,9.999541053791599632e-01,-2.183103666730800192e-07
2.495747873936968522e-02,9.999481090571885611e-01,3.581521926809825917e-07
2.645322661330665182e-02,9.999416545730583916e-01,9.298562775317265050e-08
2.794897448724362188e-02,9.999349679783767764e-01,2.765901607748590716e-08
2.944472236118059194e-02,9.999277377071228434e-01,-3.034603013318814439e-08
3.094047023511756200e-02,9.999202081381453056e-01,-4.523089458530193290e-08
3.243621810905452513e-02,9.999123304050142602e-01,1.119950021610806579e-09
3.393196598299149519e-02,9.999040678613009270e-01,-6.471161606569352029e-08
3.542771385692846525e-02,9.998954144073579631e-01,-4.469233205739439901e-09
3.692346173086543532e-02,9.998864189250734613e-01,1.219613066094638209e-08
3.841920960480240538e-02,9.998770203342494112e-01,-2.344366212270189036e-08
3.991495747873936850e-02,9.998672675170828805e-01,9.277089652037768286e-09
4.141070535267633856e-02,9.998571482661874343e-01,3.912076906864571315e-08
4.290645322661330863e-02,9.998466320487938708e-01,-2.341347893342060285e-08
4.440220110055027869e-02,9.998357616380894042e-01,-2.439072166460220408e-08
4.589794897448724875e-02,9.998245126110164582e-01,-7.645659660937485539e-10
4.739369684842421881e-02,9.998128971973195833e-01,-5.264856772768670951e-09
4.888944472236118194e-02,9.998009093011550608e-01,-2.420272204872727672e-09
5.038519259629815200e-02,9.997885550441942826e-01,2.063750170755441890e-09
5.188094047023512206e-02,9.997758222232200342e-01,1.062763210768479521e-08
5.337668834417209213e-02,9.997627169608130915e-01,7.256785949927299584e-09
5.487243621810905525e-02,9.997492392714845133e-01,-4.815452481210527786e-09
5.636818409204602531e-02,9.997353952782553899e-01,9.298158021309174148e-09
5.786393196598299538e-02,9.997211788882049976e-01,5.289565452315535956e-09
5.935967983991996544e-02,9.997065901170865132e-01,1.723100329087399131e-09
6.085542771385693550e-02,9.996916289810695577e-01,1.523509429723897026e-09
