# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,9.999883519994604564e-01,-1.283388796318843065e-05
1.149574787393696854e-02,9.999899863051781024e-01,-9.897605710192367609e-06
1.299149574787393686e-02,9.999876493969209745e-01,3.512250416505507934e-06
1.448724362181090519e-02,9.999834002050399517e-01,7.464628029831011951e-07
1.598299149574787525e-02,9.999802812931239959e-01,1.108076321616674081e-06
1.747873936968484185e-02,9.999755739196938276e-01,-7.505103120726462922e-07
1.897448724362181191e-02,9.999716974571616346e-01,5.360939062430582871e-07
2.047023511755877850e-02,9.999670084524965308e-01,7.723287768141429638e-07
2.196598299149574857e-02,9.999617818405348579e-01,-8.495858969690758514e-08
2.346173086543271863e-02,9.999563719741385581e-01,1.647929289738822611e-07
2.495747873936968522e-02,9.999507055439449399e-01,3.873625837768729918e-07
2.645322661330665182e-02,9.999444465414252248e-01,-1.842159117149373466e-07
2.794897448724362188e-02,9.999381020480808679e-01,-1.735107052300858192e-07
2.944472236118059194e-02,9.999312994014607492e-01,7.097198858105547437e-08
3.094047023511756200e-02,9.999240874843499105e-01,6.386733032293009822e-08
3.243621810905452513e-02,9.999165945978273351e-01,-5.970291031955479272e-09
3.393196598299149519e-02,9.999087352205119350e-01,3.355574240795874485e-08
3.542771385692846525e-02,9.999005215790474077e-01,1.825029151664080258e-08
3.692346173086543532e-02,9.998919353549868827e-01,-2.190120546926213357e-08
3.841920960480240538e-02,9.998830071026162392e-01,1.812375500115992967e-09
3.991495747873936850e-02,9.998737307220711967e-01,3.125199875159914820e-08
4.141070535267633856e-02,9.998640817875060760e-01,-1.141688146710740700e-08
4.290645322661330863e-02,9.998540847447490165e-01,-2.556450585648834824e-08
4.440220110055027869e-02,9.998437396041219838e-01,-1.897850258905562395e-08
4.589794897448724875e-02,9.998330402676400830e-01,5.826778625548512553e-09
4.739369684842421881e-02,9.998219928551562719e-01,2.468024018291251694e-08
4.888944472236118194e-02,9.998105759982073293e-01,8.565707245868783885e-11
5.038519259629815200e-02,9.997988141431879416e-01,-1.535665476423232835e-09
5.188094047023512206e-02,9.997866920311672123e-01,-9.562779360810213876e-10
5.337668834417209213e-02,9.997742218917664569e-01,6.188774962703931921e-09
5.487243621810905525e-02,9.997613945755221554e-01,5.116853545779269628e-11
5.636818409204602531e-02,9.997482162042258258e-01,2.548274112135392639e-09
5.786393196598299538e-02,9.997346837375976625e-01,2.418440538356579584e-09
5.935967983991996544e-02,9.997207910818917131e-01,-1.296494811811561999e-09
6.085542771385693550e-02,9.997065504678378511e-01,-1.617920701556863047e-09
6.235117558779389862e-02,9.996919558023572572e-01,-6.039353900108402265e-10
6.384692346173086175e-02,9.996770071008368452e-01,1.855318921738166881e-10
6.534267133566783181e-02,9.996617043790396728e-01,1.933705438751515094e-09
6.683841920960480187e-02,9.996460476531049411e-01,3.999772122174461030e-09
6.833416708354177194e-02,9.996300369395475505e-01,3.514011449469896749e-09
6.982991495747874200e-02,9.996136722552589893e-01,1.634330335614314392e-09
7.132566283141571206e-02,9.995969536175061121e-01,-2.868634996761318851e-09
7.282141070535266825e-02,9.995798871510949146e-01,5.744180924946796772e-09
7.431715857928963831e-02,9.995624606596134054e-01,3.432126882889780259e-09
7.581290645322660837e-02,9.995446802687230070e-01,-2.654949178201218298e-09
7.730865432716357843e-02,9.995265521040388457e-01,1.070347953061222875e-09
7.880440220110054850e-02,9.995080700776401983e-01,4.490971281128301411e-09
8.030015007503751856e-02,9.994892342090436754e-01,6.409890994230528539e-09
8.179589794897448862e-02,9.994700445181409210e-01,7.138275995572605366e-09
8.329164582291145869e-02,9.994505010252006105e-01,6.632545167273759117e-09
8.478739369684842875e-02,9.994306037508654539e-01,1.860221602600691938e-09
8.628314157078538493e-02,9.994103527161555256e-01,-1.469057768388521766e-09
8.777888944472235500e-02,9.993897540484883990e-01,4.112064407634389556e-09
8.927463731865932506e-02,9.993687955574609427e-01,-5.118194850614453725e-09
9.077038519259629512e-02,9.993474894771369188e-01,-3.241377664650717681e-09
9.226613306653326518e-02,9.993258297240068533e-01,-3.397803716150349839e-09
9.376188094047023525e-02,9.993038193737144859e-01,-9.795539721607366624e-11
9.525762881440720531e-02,9.992814523439510488e-01,-5.619855684051453565e-09
9.675337668834417537e-02,9.992587378164144996e-01,-9.372550456959826125e-10
9.824912456228114543e-02,9.992356697096064222e-01,1.058221175216125600e-09
9.974487243621810162e-02,9.992122480479125324e-01,5.960647217735049006e-11
1.012406203101550717e-01,9.991884728560944673e-01,-3.422863051145512021e-09
1.027363681840920417e-01,9.991643502639557806e-01,2.329944046937416276e-09
1.042321160580290118e-01,9.991398741920444193e-01,4.884961431412066804e-09
1.057278639319659819e-01,9.991150446662401263e-01,4.219102984550319389e-09
1.072236118059029519e-01,9.990898617127985659e-01,7.250910834969622654e-10
1.087193596798399220e-01,9.990643314624152449e-01,5.629065289702201527e-09
1.102151075537768921e-01,9.990384417338075140e-01,-4.998825188714226807e-09
1.117108554277138621e-01,9.990122108660783873e-01,5.048111556958991840e-09
1.132066033016508183e-01,9.989856205752464247e-01,-5.185282068212010047e-10
1.147023511755877884e-01,9.989586830967741582e-01,1.904651059680001252e-09
1.161980990495247584e-01,9.989313923554012931e-01,2.986590282371634483e-10
1.176938469234617285e-01,9.989037483799948491e-01,-5.474590740394185271e-09
1.191895947973986986e-01,9.988757573027241543e-01,-3.240367808509723299e-09
1.206853426713356686e-01,9.988474130499335191e-01,-5.533443751793791438e-09
1.221810905452726387e-01,9.988187217541918406e-01,-1.727987328524699330e-10
1.236768384192096087e-01,9.987896773429215669e-01,6.245601184251130258e-10
1.251725862931465927e-01,9.987602798468500076e-01,-3.559725883689273426e-09
1.266683341670835350e-01,9.987305353991303702e-01,-4.627111232080653467e-10
1.281640820410205051e-01,9.987004379288215716e-01,-2.548242455957469995e-09
1.296598299149574751e-01,9.986699935694536290e-01,2.352958103108885048e-09
1.311555777888944452e-01,9.986391962511845799e-01,1.655189091249483848e-09
1.326513256628314152e-01,9.986080460066014686e-01,-4.624161389101243524e-09
1.341470735367683853e-01,9.985765489697849828e-01,-4.385235689886969985e-09
1.356428214107053554e-01,9.985447051734902546e-01,2.033342192393713833e-09
1.371385692846423254e-01,9.985125085500993203e-01,2.435579236844440282e-09
1.386343171585792955e-01,9.984799591336823710e-01,-3.425141457471522190e-09
