# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,1.000023577425692478e+00,1.529826667900913998e-06
1.059529764882441265e-02,1.000026168349736011e+00,-6.720089196221582363e-07
1.119059529764882509e-02,1.000029309161154067e+00,5.495887503981224839e-07
1.178589294647323753e-02,1.000032486641262208e+00,4.005011937646686342e-07
1.238119059529764823e-02,1.000035811530963992e+00,-4.010810816801324563e-08
1.297648824412206067e-02,1.000039331182999369e+00,1.231840953686003369e-07
1.357178589294647311e-02,1.000042921874608970e+00,-5.056798313418654206e-09
1.416708354177088555e-02,1.000046793633935671e+00,-1.393383723957697649e-07
1.476238119059529799e-02,1.000050850996803131e+00,5.156828331021044112e-08
1.535767883941971043e-02,1.000055031338592748e+00,1.307468611155826466e-07
1.595297648824412287e-02,1.000059344589518728e+00,6.842585276167769942e-09
1.654827413706853531e-02,1.000063871708621654e+00,-1.586970510558671776e-08
1.714357178589294775e-02,1.000068553126109094e+00,-8.733259226900710348e-09
1.773886943471736019e-02,1.000073407938012027e+00,1.283420558717552116e-08
1.833416708354176916e-02,1.000078384211197990e+00,-2.753144445755140168e-08
1.892946473236618160e-02,1.000083578945368590e+00,-3.825690653158632648e-09
1.952476238119059404e-02,1.000088908893279172e+00,-3.112168522889645911e-09
2.012006003001500648e-02,1.000094428284817649e+00,-2.418102607038008500e-08
2.071535767883941892e-02,1.000100098934320503e+00,-8.137197582414047992e-09
2.131065532766383136e-02,1.000105932301031952e+00,-1.506392766081887988e-08
2.190595297648824380e-02,1.000111934498044697e+00,1.571304419911712433e-08
2.250125062531265624e-02,1.000118107055946837e+00,6.146660069816789473e-09
2.309654827413706868e-02,1.000124436993376609e+00,-2.670548671090954981e-09
2.369184592296148112e-02,1.000130938061663866e+00,-5.381119105862809937e-09
2.428714357178589356e-02,1.000137604917494372e+00,-1.397369708833195669e-08
2.488244122061030600e-02,1.000144436800346925e+00,8.132524542681098245e-09
2.547773886943471844e-02,1.000151429894508448e+00,2.341770111158327630e-10
2.607303651825913088e-02,1.000158594132978473e+00,4.747460535803327275e-09
2.666833416708354332e-02,1.000165921881161823e+00,-4.671850684090372852e-09
2.726363181590795576e-02,1.000173416197944531e+00,-5.198653507676452301e-09
2.785892946473236820e-02,1.000181077087042514e+00,-3.008292059902828855e-09
2.845422711355678064e-02,1.000188903788412853e+00,3.078466370709519320e-09
2.904952476238119308e-02,1.000196896305920458e+00,-2.192568349101982379e-10
2.964482241120560552e-02,1.000205054643511504e+00,1.008710226457766236e-09
3.024012006003001796e-02,1.000213374222056473e+00,-5.822069271133045731e-09
3.083541770885443040e-02,1.000221867267410136e+00,5.603523089980908273e-09
3.143071535767884284e-02,1.000230520034252724e+00,-3.799690784234144303e-09
