# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,1.000017951988243281e+00,7.398708454183670577e-07
1.059529764882441265e-02,1.000020077794140372e+00,-9.472666747180015232e-08
1.119059529764882509e-02,1.000022720641974061e+00,4.621366387440262380e-07
1.178589294647323753e-02,1.000025032042091810e+00,-3.980690445307212416e-07
1.238119059529764823e-02,1.000027463351949253e+00,-7.734737678109256896e-08
1.297648824412206067e-02,1.000030315479712995e+00,1.511125336610019975e-07
1.357178589294647311e-02,1.000033156159717107e+00,-5.340324293902463908e-08
1.416708354177088555e-02,1.000036170214154474e+00,6.119733794546524999e-08
1.476238119059529799e-02,1.000039265996869542e+00,4.762915192983420404e-08
1.535767883941971043e-02,1.000042464129409447e+00,-1.717221197969578307e-07
1.595297648824412287e-02,1.000045828766535028e+00,-1.525404553639845670e-08
1.654827413706853531e-02,1.000049348453826203e+00,-1.296145314227325536e-08
1.714357178589294775e-02,1.000052916269178249e+00,-1.657301759189294300e-08
1.773886943471736019e-02,1.000056666631971680e+00,-3.853070844493576199e-09
1.833416708354176916e-02,1.000060552955694959e+00,2.494226419155339484e-08
1.892946473236618160e-02,1.000064543928188332e+00,4.764617625924218102e-09
1.952476238119059404e-02,1.000068660172010793e+00,4.202781994527512669e-08
2.012006003001500648e-02,1.000072922310093260e+00,9.611043859175594334e-09
2.071535767883941892e-02,1.000077290628820448e+00,-2.184557140679055220e-08
2.131065532766383136e-02,1.000081797207583723e+00,-2.239741202866409219e-08
2.190595297648824380e-02,1.000086436701873138e+00,-5.496854507071088413e-09
2.250125062531265624e-02,1.000091206822213197e+00,1.389509888002288323e-08
2.309654827413706868e-02,1.000096101460274056e+00,1.591454070950383348e-08
2.369184592296148112e-02,1.000101119854091003e+00,2.991205955216569043e-09
2.428714357178589356e-02,1.000106265824413532e+00,-7.100880629645978592e-10
2.488244122061030600e-02,1.000111540900763041e+00,-3.166036598809671496e-09
2.547773886943471844e-02,1.000116947376530563e+00,-3.883491669825476463e-09
2.607303651825913088e-02,1.000122478379697366e+00,2.940934089102703752e-09
2.666833416708354332e-02,1.000128140022687351e+00,9.434412233842911246e-09
2.726363181590795576e-02,1.000133926197293244e+00,1.936201739412702892e-10
2.785892946473236820e-02,1.000139843779909610e+00,-1.369761307942362663e-09
2.845422711355678064e-02,1.000145890481421551e+00,2.456868976162596250e-09
2.904952476238119308e-02,1.000152061721266694e+00,1.568657300353489851e-09
2.964482241120560552e-02,1.000158363612288381e+00,-1.402335929605241136e-10
3.024012006003001796e-02,1.000164793865466306e+00,5.648187318713325693e-09
3.083541770885443040e-02,1.000171351719430612e+00,-9.105144677497842356e-10
3.143071535767884284e-02,1.000178037176674417e+00,1.191074725778410829e-09
3.202601300650325528e-02,1.000184850239739465e+00,4.294785046291820749e-10
3.262131065532766772e-02,1.000191793202749757e+00,3.118618157827243654e-09
3.321660830415208016e-02,1.000198866832242128e+00,5.448707562269962875e-09
3.381190595297649260e-02,1.000206064256276672e+00,2.256951447019090668e-10
3.440720360180089810e-02,1.000213392352254038e+00,9.021940079825505749e-10
3.500250125062531054e-02,1.000220848831430143e+00,1.227734447816612551e-09
