# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,1.000017951988243281e+00,7.397801590203200213e-07
1.059529764882441265e-02,1.000020077794140372e+00,-9.487400776109211620e-08
1.119059529764882509e-02,1.000022720641974061e+00,4.619759114143918659e-07
1.178589294647323753e-02,1.000025032042091810e+00,-3.983070537838526817e-07
1.238119059529764823e-02,1.000027463351949253e+00,-7.761958897845032466e-08
1.297648824412206067e-02,1.000030315479712995e+00,1.507967147817979026e-07
1.357178589294647311e-02,1.000033156159717107e+00,-5.379394996118948877e-08
1.416708354177088555e-02,1.000036170214154474e+00,6.074105440845301018e-08
1.476238119059529799e-02,1.000039265996869542e+00,4.708989176371858982e-08
1.535767883941971043e-02,1.000042464129409447e+00,-1.723705356226900866e-07
1.595297648824412287e-02,1.000045828766535028e+00,-1.599523891115950722e-08
1.654827413706853531e-02,1.000049348453826203e+00,-1.381934300326293107e-08
1.714357178589294775e-02,1.000052916269178249e+00,-1.756144296649608474e-08
1.773886943471736019e-02,1.000056666631971680e+00,-4.984735735291679620e-09
1.833416708354176916e-02,1.000060552955694959e+00,2.365395079806375096e-08
1.892946473236618160e-02,1.000064548892559690e+00,-6.939582242182515362e-11
1.952476238119059404e-02,1.000068667427659763e+00,-5.458457974505391617e-08
2.012006003001500648e-02,1.000072923455728402e+00,3.158518657730979178e-08
2.071535767883941892e-02,1.000077295593254423e+00,-7.081985442525252356e-09
2.131065532766383136e-02,1.000081807518375054e+00,-1.147312667093558668e-08
2.190595297648824380e-02,1.000086441666352854e+00,4.271472064942831151e-11
2.250125062531265624e-02,1.000091204149025303e+00,-2.537459353746385204e-08
2.309654827413706868e-02,1.000096101842163909e+00,-5.994915674989439469e-09
2.369184592296148112e-02,1.000101121763536050e+00,2.615537564309987911e-09
2.428714357178589356e-02,1.000106266970087976e+00,7.074862251599258178e-09
2.488244122061030600e-02,1.000111547392934064e+00,3.170413598319043599e-09
2.547773886943471844e-02,1.000116950049794839e+00,7.563966453183468275e-09
2.607303651825913088e-02,1.000122480289184157e+00,3.218543209726480181e-10
2.666833416708354332e-02,1.000128141932184800e+00,-1.617219691496529776e-10
2.726363181590795576e-02,1.000133931162005885e+00,-4.405973363930104364e-10
2.785892946473236820e-02,1.000139847217041078e+00,-3.203320941835841040e-09
2.845422711355678064e-02,1.000145893154763765e+00,3.159966732724229091e-09
2.904952476238119308e-02,1.000152066686068819e+00,7.725130646285551228e-09
2.964482241120560552e-02,1.000158364758025220e+00,5.102152811353732059e-09
3.024012006003001796e-02,1.000164797302682596e+00,-9.418978930142421546e-10
3.083541770885443040e-02,1.000171355156669550e+00,9.657763477832748896e-10
3.143071535767884284e-02,1.000178041377770111e+00,-5.081557175046216551e-09
3.202601300650325528e-02,1.000184855968542230e+00,-2.629751749694264618e-09
3.262131065532766772e-02,1.000191800841202738e+00,-5.059086483072706972e-11
3.321660830415208016e-02,1.000198872179200560e+00,5.511326950369259104e-10
3.381190595297649260e-02,1.000206071130983476e+00,-4.745386306126461454e-10
3.440720360180089810e-02,1.000213400754732307e+00,1.943727734321492911e-09
3.500250125062531054e-02,1.000220857233971028e+00,5.546081371932132242e-10
3.559779889944972298e-02,1.000228442863135392e+00,6.460991741619196470e-10
3.619309654827413542e-02,1.000236156881268768e+00,6.576307276517916924e-10
3.678839419709854786e-02,1.000243999291324792e+00,2.276363431086284148e-09
3.738369184592296030e-02,1.000251969332415669e+00,-2.259549214400636547e-09
3.797898949474737273e-02,1.000260070063158091e+00,8.835926434969122640e-10
3.857428714357178517e-02,1.000268298431101766e+00,-1.174194075303853365e-11
3.916958479239619761e-02,1.000276655203287346e+00,-1.953219808115138470e-10
3.976488244122061005e-02,1.000285141146830092e+00,3.717456342755577297e-10
4.036018009004502249e-02,1.000293755883039148e+00,-9.202638651118184935e-11
4.095547773886943493e-02,1.000302499415223867e+00,-1.420324746703728455e-09
4.155077538769384737e-02,1.000311372128711351e+00,1.523641213196937765e-10
4.214607303651825981e-02,1.000320373262980178e+00,-3.972593365375524309e-10
4.274137068534267225e-02,1.000329502821479144e+00,-1.072612665353745508e-09
4.333666833416708469e-02,1.000338762335615916e+00,-1.379489855679633031e-10
4.393196598299149713e-02,1.000348150281057169e+00,-2.691191713921653623e-10
4.452726363181590957e-02,1.000357667425369579e+00,-2.813349553321328458e-11
4.512256128064032201e-02,1.000367313772223099e+00,-1.311795116976041025e-10
4.571785892946473445e-02,1.000377089325336089e+00,-1.093325430190282300e-10
4.631315657828914689e-02,1.000386993324487106e+00,-7.415825731271780292e-10
4.690845422711355933e-02,1.000397027301469954e+00,-1.653817083280306524e-10
4.750375187593797177e-02,1.000407190496170662e+00,1.020907913762424336e-09
4.809904952476238421e-02,1.000417482148494575e+00,-3.031985773560638203e-10
4.869434717358679665e-02,1.000427903790431561e+00,-2.542273058736580291e-10
4.928964482241120909e-02,1.000438454661995324e+00,-1.304443220107240263e-10
4.988494247123562153e-02,1.000449134767255055e+00,-1.143749539522885375e-10
5.048024012006003397e-02,1.000459944492353870e+00,-2.102273910508441107e-11
5.107553776888444641e-02,1.000470883841474201e+00,2.557304368267134347e-10
5.167083541770885885e-02,1.000481952436817146e+00,-1.032374186137553122e-11
