# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,9.999994348596642491e-01,-1.978337562258403182e-05
1.149574787393696854e-02,1.000009879258127121e+00,5.284598583288336607e-06
1.299149574787393686e-02,1.000009143041011406e+00,1.395950468552342727e-06
1.448724362181090519e-02,1.000011437226268285e+00,-7.345714461148843462e-07
1.598299149574787525e-02,1.000015264950265603e+00,2.869130641958151347e-07
1.747873936968484185e-02,1.000019141566662606e+00,2.022576742755077817e-07
1.897448724362181191e-02,1.000022022310108838e+00,1.116682957436055047e-06
2.047023511755877850e-02,1.000025862294142254e+00,7.734867815134549573e-07
2.196598299149574857e-02,1.000029885586418255e+00,7.027618234012323832e-07
2.346173086543271863e-02,1.000033957773343474e+00,3.115717898127811662e-07
2.495747873936968522e-02,1.000038347688152252e+00,-2.281683706417680924e-07
2.645322661330665182e-02,1.000043189751838035e+00,2.450138056886430604e-07
2.794897448724362188e-02,1.000048154036750514e+00,-2.487639383375040532e-08
2.944472236118059194e-02,1.000053484941473725e+00,6.192923285297524671e-09
3.094047023511756200e-02,1.000059048052790667e+00,-1.349090270608144237e-07
3.243621810905452513e-02,1.000064916694355155e+00,4.586886048763006536e-08
3.393196598299149519e-02,1.000071023661211367e+00,2.591876224755651492e-08
3.542771385692846525e-02,1.000077423948200206e+00,7.761081111112844155e-09
3.692346173086543532e-02,1.000084099230572843e+00,-6.968974197718580399e-08
3.841920960480240538e-02,1.000091073954315624e+00,-2.968177792439519511e-08
3.991495747873936850e-02,1.000098305354331529e+00,-3.183108199245054286e-08
4.141070535267633856e-02,1.000105811766799802e+00,-2.780693808546175205e-08
4.290645322661330863e-02,1.000113599308107615e+00,-2.787579478358282235e-08
4.440220110055027869e-02,1.000121661874423307e+00,-2.367701168459746317e-08
4.589794897448724875e-02,1.000130011693058929e+00,-1.051730325052346871e-08
4.739369684842421881e-02,1.000138630439866949e+00,-1.447021680256455056e-08
4.888944472236118194e-02,1.000147524232197993e+00,-6.135745245217097116e-09
5.038519259629815200e-02,1.000156699187839893e+00,-2.028772927431532480e-09
5.188094047023512206e-02,1.000166155314449856e+00,3.153448724368957259e-09
5.337668834417209213e-02,1.000175880398641803e+00,-1.408309002748353743e-08
5.487243621810905525e-02,1.000185892780286467e+00,3.311037000131022151e-09
5.636818409204602531e-02,1.000196180246405886e+00,-1.661559778654009278e-10
5.786393196598299538e-02,1.000206742805409776e+00,6.642624228447858638e-10
5.935967983991996544e-02,1.000217586576824580e+00,2.346951410991948705e-09
6.085542771385693550e-02,1.000228705458760414e+00,-2.190128967072269006e-09
6.235117558779389862e-02,1.000240105571336358e+00,4.791030461248625133e-09
6.384692346173086175e-02,1.000251780812994484e+00,-1.700314999908414186e-09
6.534267133566783181e-02,1.000263737304453837e+00,-1.008264804980285589e-09
6.683841920960480187e-02,1.000275975055718414e+00,2.961493827946526380e-09
6.833416708354177194e-02,1.000288487965716566e+00,4.717475743376553510e-09
6.982991495747874200e-02,1.000301282156083715e+00,4.870508107934767850e-09
7.132566283141571206e-02,1.000314351526063295e+00,8.431100262384916277e-10
7.282141070535266825e-02,1.000327702197907564e+00,-1.277218331097173828e-10
7.431715857928963831e-02,1.000341334182796471e+00,-1.251748038555433595e-09
7.581290645322660837e-02,1.000355247492146216e+00,4.564389977090853873e-09
7.730865432716357843e-02,1.000369436025815739e+00,1.880046229807419422e-09
7.880440220110054850e-02,1.000383905907316962e+00,5.258159463394918021e-10
8.030015007503751856e-02,1.000398657148773962e+00,1.518025372071462946e-09
8.179589794897448862e-02,1.000413689762547520e+00,5.720343088100322265e-09
8.329164582291145869e-02,1.000428997649084328e+00,-2.041238733596628663e-09
8.478739369684842875e-02,1.000444593045429764e+00,4.582060508795392789e-09
8.628314157078538493e-02,1.000460463740256767e+00,9.967126013421532413e-10
8.777888944472235500e-02,1.000476615859022589e+00,-1.329337084854387285e-09
8.927463731865932506e-02,1.000493049415270175e+00,-4.389361984991068394e-09
9.077038519259629512e-02,1.000509770535417786e+00,5.033274241839081614e-09
9.226613306653326518e-02,1.000526767008312667e+00,3.323739394822666368e-09
9.376188094047023525e-02,1.000544044960745893e+00,7.260769763206553762e-10
9.525762881440720531e-02,1.000561604407211203e+00,-3.337057297159162772e-09
9.675337668834417537e-02,1.000579451475495762e+00,4.943780052002467446e-09
9.824912456228114543e-02,1.000597573954566055e+00,-1.566026863741853958e-09
9.974487243621810162e-02,1.000615984085851951e+00,2.751730732164503065e-09
1.012406203101550717e-01,1.000634675771747917e+00,4.709855061513223973e-09
1.027363681840920417e-01,1.000653649027940295e+00,3.858982133841948325e-09
1.042321160580290118e-01,1.000672903870353680e+00,4.940883258086614660e-10
1.057278639319659819e-01,1.000692446428886440e+00,5.886923282183431638e-09
1.072236118059029519e-01,1.000712264492586989e+00,-5.005792447221325264e-09
1.087193596798399220e-01,1.000732376419663394e+00,4.609471249139573956e-09
1.102151075537768921e-01,1.000752763885432328e+00,-2.805407461892173573e-09
1.117108554277138621e-01,1.000773439135090426e+00,-2.848760560780760898e-09
1.132066033016508183e-01,1.000794402186374610e+00,3.922843827552924267e-09
1.147023511755877884e-01,1.000815646942791348e+00,4.840564282737602753e-09
1.161980990495247584e-01,1.000837173422182591e+00,-3.751292609877054412e-10
1.176938469234617285e-01,1.000858987757368368e+00,-2.995190762078437336e-10
1.191895947973986986e-01,1.000881089967068371e+00,5.143623860170976059e-09
1.206853426713356686e-01,1.000903473955242928e+00,2.740875082452021161e-09
1.221810905452726387e-01,1.000926145855840499e+00,4.703469280720185825e-09
1.236768384192096087e-01,1.000949099573036793e+00,-1.878743605132626313e-09
1.251725862931465927e-01,1.000972341241542107e+00,-5.278513404149975941e-09
1.266683341670835350e-01,1.000995870881307592e+00,-5.882534237500180180e-09
1.281640820410205051e-01,1.001019688512531980e+00,-4.097315597917373370e-09
1.296598299149574751e-01,1.001043794155664690e+00,-4.075733084363264942e-10
1.311555777888944452e-01,1.001068187831402057e+00,4.549295717914957632e-09
