# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,1.000019997185295662e+00,-3.245545388330417912e-07
1.059529764882441265e-02,1.000022423136882832e+00,-5.627167816647936186e-08
1.119059529764882509e-02,1.000024883461767544e+00,4.683031388089162320e-07
1.178589294647323753e-02,1.000027653100180380e+00,-2.132503621452312864e-07
1.238119059529764823e-02,1.000030488426551623e+00,-1.584854689501334366e-07
1.297648824412206067e-02,1.000033347436481090e+00,-1.641663530991184447e-07
1.357178589294647311e-02,1.000036563115851651e+00,-2.025935863177840519e-07
1.416708354177088555e-02,1.000039882672989267e+00,7.496682923940728543e-08
1.476238119059529799e-02,1.000043307636384826e+00,-1.127891976990137858e-07
1.535767883941971043e-02,1.000046851754362365e+00,8.238506197537375728e-09
1.595297648824412287e-02,1.000050548632687608e+00,-3.948951643196426025e-08
1.654827413706853531e-02,1.000054459372371696e+00,1.091474073109245383e-07
1.714357178589294775e-02,1.000058393039691573e+00,-2.842595584269103464e-08
1.773886943471736019e-02,1.000062548209332158e+00,9.391056542650065337e-09
1.833416708354176916e-02,1.000066804975110024e+00,3.036395580884941204e-08
1.892946473236618160e-02,1.000071201526021136e+00,1.473768546412094169e-08
1.952476238119059404e-02,1.000075747028979389e+00,3.378565516893028045e-08
2.012006003001500648e-02,1.000080443777276562e+00,1.577504972896128270e-09
2.071535767883941892e-02,1.000085284135374897e+00,3.041528756416855789e-08
2.131065532766383136e-02,1.000090248247363478e+00,-1.959894921625365834e-08
2.190595297648824380e-02,1.000095365902179623e+00,1.188255893699051572e-08
2.250125062531265624e-02,1.000100623354189810e+00,2.659509022593089861e-09
2.309654827413706868e-02,1.000106017550458803e+00,-8.522681899627865469e-09
2.369184592296148112e-02,1.000111556894805354e+00,3.685748523155423589e-09
2.428714357178589356e-02,1.000117235279312844e+00,1.353451259677588513e-09
2.488244122061030600e-02,1.000123057289086459e+00,-3.661651814992742302e-09
2.547773886943471844e-02,1.000129018343830722e+00,-3.543141593147754012e-09
2.607303651825913088e-02,1.000135123028822015e+00,6.191829854031046405e-11
2.666833416708354332e-02,1.000141367527637826e+00,-1.097182431943922208e-09
2.726363181590795576e-02,1.000147754898121466e+00,-3.797930417232772462e-09
2.785892946473236820e-02,1.000154279032461346e+00,2.361801304773149206e-09
2.845422711355678064e-02,1.000160949862987092e+00,-1.190078140480758278e-09
2.904952476238119308e-02,1.000167762045830022e+00,3.468358158030156925e-09
2.964482241120560552e-02,1.000174713292363515e+00,2.568119149221161639e-09
3.024012006003001796e-02,1.000181805133140367e+00,2.854796339429281295e-09
3.083541770885443040e-02,1.000189039098815069e+00,1.604047577377236544e-09
3.143071535767884284e-02,1.000196412900907550e+00,-1.271609701962914300e-09
3.202601300650325528e-02,1.000203931889462661e+00,4.100715623393220408e-09
3.262131065532766772e-02,1.000211589956861769e+00,-2.922953199309517508e-09
3.321660830415208016e-02,1.000219390925602747e+00,7.200700866737680634e-10
3.381190595297649260e-02,1.000227334035137527e+00,1.507469052538225913e-09
3.440720360180089810e-02,1.000235416997200311e+00,1.675512892782802762e-10
3.500250125062531054e-02,1.000243642106810382e+00,1.109581813245909877e-09
3.559779889944972298e-02,1.000252010513287049e+00,-8.658587480922918210e-11
3.619309654827413542e-02,1.000260518400726939e+00,-1.786492673500704043e-10
3.678839419709854786e-02,1.000269169210228126e+00,-4.994348026830260062e-11
3.738369184592296030e-02,1.000277962181568947e+00,2.074015278714318451e-09
3.797898949474737273e-02,1.000286896554560823e+00,2.483593726143550366e-09
3.857428714357178517e-02,1.000295971569049591e+00,8.941216330600129515e-12
3.916958479239619761e-02,1.000305189520629190e+00,-3.184595906428996489e-10
3.976488244122061005e-02,1.000314549649293117e+00,-5.734058166867378577e-10
4.036018009004502249e-02,1.000324051959010863e+00,-4.982171637329548761e-10
4.095547773886943493e-02,1.000333695689861857e+00,-3.464567162100286564e-10
4.155077538769384737e-02,1.000343481609871965e+00,-3.746849704151775158e-10
4.214607303651825981e-02,1.000353409723192755e+00,-6.712691571789433070e-10
4.274137068534267225e-02,1.000363480034035524e+00,-2.374746612909992936e-11
4.333666833416708469e-02,1.000373692546673077e+00,-1.078711625740425979e-10
4.393196598299149713e-02,1.000384047265437726e+00,5.574906847574580881e-10
4.452726363181590957e-02,1.000394543812724413e+00,-3.509768082727313273e-11
4.512256128064032201e-02,1.000405182956980443e+00,3.233550091478014232e-10
4.571785892946473445e-02,1.000415964320725992e+00,1.662218474920390902e-10
4.631315657828914689e-02,1.000426887908536289e+00,-5.148412632651586534e-10
4.690845422711355933e-02,1.000437953725047846e+00,-1.133887021259169961e-09
4.750375187593797177e-02,1.000449162538994852e+00,2.832301728591595537e-10
4.809904952476238421e-02,1.000460513591114431e+00,-1.391638740168466587e-10
4.869434717358679665e-02,1.000472006886225174e+00,-1.644676058986937649e-11
4.928964482241120909e-02,1.000483643193269545e+00,4.324084218308083124e-10
4.988494247123562153e-02,1.000495421753141656e+00,-1.322777929624678882e-10
5.048024012006003397e-02,1.000507343334923860e+00,4.538521004617563992e-10
5.107553776888444641e-02,1.000519407179614406e+00,2.965557693631577135e-10
5.167083541770885885e-02,1.000531614056435536e+00,5.316383464611023721e-10
5.226613306653327129e-02,1.000543963206489195e+00,-4.169837075035626301e-10
5.286143071535768373e-02,1.000556455781197895e+00,9.357867706512935189e-11
5.345672836418209617e-02,1.000569091021780821e+00,1.077798971784507499e-10
5.405202601300650861e-02,1.000581869315688044e+00,2.965717279386940313e-10
5.464732366183092105e-02,1.000594790286301716e+00,2.107476533144584532e-11
5.524262131065533349e-02,1.000607854703282174e+00,4.817543700813959612e-10
5.583791895947974593e-02,1.000621061425972291e+00,-3.534356281715079960e-10
5.643321660830415837e-02,1.000634411988337247e+00,5.858840499792785269e-11
5.702851425712857081e-02,1.000647905631920853e+00,3.319414525448147857e-10
5.762381190595298325e-02,1.000661542362486944e+00,3.120564489660544898e-10
5.821910955477738875e-02,1.000675322185859750e+00,2.646562957035883848e-10
5.881440720360180119e-02,1.000689245107925007e+00,-6.243261530041309398e-10
5.940970485242621363e-02,1.000703311898859971e+00,-3.238068979228340238e-10
6.000500250125062607e-02,1.000717522182585473e+00,-2.805557285715918338e-11
6.060030015007503851e-02,1.000731875583062758e+00,-9.396061534541270117e-11
6.119559779889945095e-02,1.000746372870685352e+00,4.085902972822273088e-11
6.179089544772386339e-02,1.000761013669543509e+00,3.906221082584109580e-10
6.238619309654827583e-02,1.000775797603767447e+00,-5.716119384659358706e-10
6.298149074537268133e-02,1.000790725826117278e+00,-2.956112813559531467e-11
6.357678839419710071e-02,1.000805797578715683e+00,-2.096655341753659655e-10
6.417208604302150621e-02,1.000821013250178693e+00,1.026217414679669047e-10
6.476738369184592559e-02,1.000836372847043521e+00,2.733675607542152131e-10
6.536268134067033109e-02,1.000851875993737483e+00,-5.893310041544400811e-11
6.595797898949475047e-02,1.000867523461257624e+00,-1.234567313728128670e-11
6.655327663831915597e-02,1.000883314874161600e+00,1.859924399588980758e-10
6.714857428714357535e-02,1.000899250239234428e+00,-5.261735017934853478e-11
6.774387193596798085e-02,1.000915329945518462e+00,1.137065981456524364e-12
6.833916958479240022e-02,1.000931553999941492e+00,2.996979309679552663e-10
6.893446723361680573e-02,1.000947922027286108e+00,8.455403431928592338e-11
6.952976488244122510e-02,1.000964434799012981e+00,6.466554607922843013e-10
7.012506253126563061e-02,1.000981091557816338e+00,3.663749620473603347e-10
7.072036018009004998e-02,1.000997893075307399e+00,6.859492740762736277e-10
7.131565782891445548e-02,1.001014838594279643e+00,-9.543745435205185495e-11
7.191095547773887486e-02,1.001031928886494615e+00,-4.701973500868514545e-10
7.250625312656328036e-02,1.001049163959336408e+00,-6.463671808799766175e-10
7.310155077538768587e-02,1.001066544202504849e+00,5.254280831867867788e-11
7.369684842421210524e-02,1.001084068859012355e+00,8.448611649882917863e-11
7.429214607303651074e-02,1.001101738318677103e+00,-1.336941883880588467e-11
7.488744372186093012e-02,1.001119552589134765e+00,-3.283258289604915095e-10
7.548274137068533562e-02,1.001137512442642263e+00,5.678909262340717646e-10
7.607803901950975500e-02,1.001155616357858547e+00,-5.910916689736889599e-10
7.667333666833416050e-02,1.001173866254031042e+00,4.746180399215031232e-11
7.726863431715857988e-02,1.001192260992209704e+00,1.217523694187555843e-11
7.786393196598298538e-02,1.001210800962652359e+00,-1.676341690234908597e-10
7.845922961480740476e-02,1.001229486555707426e+00,3.103314921981965182e-10
7.905452726363181026e-02,1.001248317014852285e+00,-3.018843543225713988e-10
7.964982491245622964e-02,1.001267293112882539e+00,-5.982491219598158495e-10
8.024512256128063514e-02,1.001286414858044482e+00,-6.097206414027547999e-10
8.084042021010505452e-02,1.001305682258648133e+00,-6.305489376587590498e-10
8.143571785892946002e-02,1.001325095323066572e+00,-6.494160967827219681e-10
8.203101550775387940e-02,1.001344654442093862e+00,-9.209558098548829131e-11
8.262631315657828490e-02,1.001364358859522907e+00,-5.803233234709868742e-10
8.322161080540270428e-02,1.001384209731012831e+00,2.297181638338837890e-11
8.381690845422710978e-02,1.001404206300476663e+00,5.517247926710540679e-11
8.441220610305152916e-02,1.001424348576605672e+00,-6.089572345904603163e-10
8.500750375187593466e-02,1.001444637332945753e+00,-5.957187769524308048e-10
8.560280140070035404e-02,1.001465072578361815e+00,2.400480858299769164e-11
8.619809904952475954e-02,1.001485653556962063e+00,-5.331663570472926197e-10
8.679339669834916504e-02,1.001506381424949188e+00,3.995149234140308482e-11
8.738869434717358442e-02,1.001527255426551299e+00,-4.019360904971814455e-11
8.798399199599798992e-02,1.001548275953301648e+00,-9.650835662855887534e-11
8.857928964482240930e-02,1.001569443014386440e+00,-2.989638487011313338e-10
8.917458729364681480e-02,1.001590757001507237e+00,2.024910898005056585e-11
8.976988494247123418e-02,1.001612217541544503e+00,-9.716968128155173245e-11
9.036518259129563968e-02,1.001633825026345015e+00,2.466453150786990356e-11
9.096048024012005906e-02,1.001655579082901815e+00,-5.793707692152958909e-10
9.155577788894446456e-02,1.001677480485690719e+00,-4.843514037512819854e-10
9.215107553776888394e-02,1.001699529244334919e+00,1.544098494184069498e-10
9.274637318659328944e-02,1.001721724603521491e+00,-3.418449838463550403e-10
9.334167083541770882e-02,1.001744067337970501e+00,-5.853694791072295232e-10
9.393696848424211432e-02,1.001766557840017002e+00,3.400503226084808664e-11
9.453226613306653370e-02,1.001789195354517714e+00,-1.777569013860863730e-10
9.512756378189093920e-02,1.001811980273929148e+00,-5.782672041550940112e-10
9.572286143071535858e-02,1.001834913373351732e+00,1.971208271539518629e-10
9.631815907953976408e-02,1.001857993897811161e+00,4.697491428537777155e-10
9.691345672836418346e-02,1.001881221857450877e+00,7.749413655610660316e-11
9.750875437718858896e-02,1.001904598027619331e+00,3.996733418899152932e-10
9.810405202601300834e-02,1.001928121653486103e+00,-2.495227642227306851e-10
9.869934967483741384e-02,1.001951793510566180e+00,-4.979508981893245928e-10
9.929464732366183322e-02,1.001975613609318083e+00,-5.028344030868190150e-10
9.988994497248623872e-02,1.001999581960265839e+00,-4.077565360959247879e-10
1.004852426213106581e-01,1.002023698573999644e+00,-4.045932197252573036e-10
