# q/kF, wc(q)/wp(0), Re eps(wc(q))
1.000000000000000021e-02,1.000022677783374059e+00,1.357288559322711308e-07
1.059529764882441265e-02,1.000025512331918387e+00,4.358583149954854356e-07
1.119059529764882509e-02,1.000028552329887299e+00,-5.666906452983510086e-07
1.178589294647323753e-02,1.000031554914574627e+00,-1.095337762713199539e-07
1.238119059529764823e-02,1.000034901185541836e+00,2.748084383386029117e-07
1.297648824412206067e-02,1.000038347516311266e+00,3.158054435736800695e-07
1.357178589294647311e-02,1.000041911473753764e+00,-4.751276350134502784e-08
1.416708354177088555e-02,1.000045625899724788e+00,-8.785565341895562597e-08
1.476238119059529799e-02,1.000049556477346613e+00,-5.546394743483062939e-08
1.535767883941971043e-02,1.000053649747250528e+00,-7.214956632140001602e-09
1.595297648824412287e-02,1.000057900365199259e+00,7.026400372645016805e-08
1.654827413706853531e-02,1.000062299931953058e+00,-4.036132716933594318e-08
1.714357178589294775e-02,1.000066884345739426e+00,-1.895535906015765828e-08
1.773886943471736019e-02,1.000071626113913981e+00,1.236089067768730843e-07
1.833416708354176916e-02,1.000076452681693429e+00,-5.659389445966669801e-08
1.892946473236618160e-02,1.000081539715453438e+00,-2.596555193079552737e-08
1.952476238119059404e-02,1.000086745922496245e+00,9.047608329204591138e-09
2.012006003001500648e-02,1.000092113311985775e+00,-1.204453936587413285e-08
2.071535767883941892e-02,1.000097658689507840e+00,4.691956156932518834e-09
2.131065532766383136e-02,1.000103340050215950e+00,-2.334591409081099300e-09
2.190595297648824380e-02,1.000109206278461338e+00,1.636836233220861583e-08
2.250125062531265624e-02,1.000115218424348473e+00,-3.969496287226093045e-09
2.309654827413706868e-02,1.000121395585265471e+00,-1.346369904453581719e-09
2.369184592296148112e-02,1.000127742347017845e+00,7.712272487303550861e-09
2.428714357178589356e-02,1.000134244964392405e+00,-1.414397265975253090e-09
2.488244122061030600e-02,1.000140908787043870e+00,3.022957328902007454e-09
2.547773886943471844e-02,1.000147734581978920e+00,-3.518529911872291946e-09
2.607303651825913088e-02,1.000154720824855348e+00,-6.075917546866090890e-09
2.666833416708354332e-02,1.000161870574293621e+00,-6.161134047388825985e-09
2.726363181590795576e-02,1.000169183451859789e+00,-8.300604648070399122e-11
2.785892946473236820e-02,1.000176657169608019e+00,6.752159387168886206e-09
2.845422711355678064e-02,1.000184292876873826e+00,9.465486172643975557e-10
2.904952476238119308e-02,1.000192088285808634e+00,-2.549888300507064245e-09
2.964482241120560552e-02,1.000200046837444789e+00,5.184930262913712557e-11
3.024012006003001796e-02,1.000208168535648756e+00,-1.507365343655918546e-09
3.083541770885443040e-02,1.000216451474712276e+00,1.419092399146393911e-09
3.143071535767884284e-02,1.000224895658613944e+00,8.501236381519556122e-10
3.202601300650325528e-02,1.000233501855285256e+00,-2.764186879389284182e-09
3.262131065532766772e-02,1.000242270832762070e+00,-1.163845686491528424e-09
3.321660830415208016e-02,1.000251200303633681e+00,5.116568280172397088e-10
3.381190595297649260e-02,1.000260292945803542e+00,-6.815881192781304775e-12
3.440720360180089810e-02,1.000269547235889789e+00,-1.559771201087298570e-09
3.500250125062531054e-02,1.000278964324215147e+00,-1.355713763473430100e-09
3.559779889944972298e-02,1.000288542687516768e+00,-8.074207968884666077e-12
3.619309654827413542e-02,1.000298283858246595e+00,5.013174320112076749e-10
3.678839419709854786e-02,1.000308187077202815e+00,1.391323500854472804e-09
3.738369184592296030e-02,1.000318252349169379e+00,-1.045508124519745050e-10
3.797898949474737273e-02,1.000328480442956414e+00,1.214606193400416860e-10
3.857428714357178517e-02,1.000338869835621702e+00,-3.520488345287764740e-10
