# kF r, W(r)
1.000000000000000056e-01,8.362946822957684212e-01
1.098196392785571185e-01,7.374320119654567129e-01
1.196392785571142314e-01,6.906496090798492915e-01
1.294589178356713444e-01,6.270058780118084041e-01
1.392785571142284573e-01,5.750061637736270104e-01
1.490981963927855702e-01,5.442869956794578190e-01
1.589178356713427109e-01,4.973847121542590566e-01
1.687374749498998239e-01,4.694998395460475149e-01
1.785571142284569368e-01,4.432547364894021680e-01
1.883767535070140497e-01,4.106235785718543307e-01
1.981963927855711627e-01,3.938501698222727776e-01
2.080160320641282756e-01,3.698719419692212962e-01
2.178356713426853886e-01,3.488343247101402533e-01
2.276553106212425015e-01,3.358169194156389592e-01
2.374749498997996144e-01,3.151024315668995435e-01
2.472945891783567274e-01,3.021058864585760007e-01
2.571142284569138403e-01,2.895642902173510835e-01
2.669338677354709533e-01,2.733765420581320549e-01
2.767535070140280662e-01,2.647190413249315144e-01
2.865731462925851791e-01,2.521482525371092631e-01
2.963927855711422921e-01,2.407356960251414990e-01
3.062124248496994050e-01,2.335007601743378236e-01
3.160320641282565179e-01,2.218082114653324444e-01
3.258517034068136309e-01,2.142387527692943272e-01
3.356713426853707993e-01,2.068555595092847754e-01
3.454909819639279123e-01,1.971476967491118115e-01
3.553106212424850252e-01,1.918178441044516291e-01
3.651302605210421381e-01,1.840487102220791649e-01
3.749498997995992511e-01,1.768465449733608308e-01
3.847695390781563640e-01,1.722071177984146328e-01
3.945891783567134770e-01,1.646688704941674797e-01
4.044088176352705899e-01,1.596802424474534077e-01
4.142284569138277028e-01,1.547911612817719773e-01
4.240480961923848158e-01,1.482955577331352692e-01
4.338677354709419287e-01,1.446583287026577125e-01
4.436873747494990416e-01,1.393624330106201237e-01
4.535070140280561546e-01,1.343813698349352881e-01
4.633266533066132675e-01,1.311355682300945347e-01
4.731462925851703805e-01,1.258567490609325823e-01
4.829659318637274934e-01,1.223043611130610747e-01
4.927855711422846063e-01,1.188169078168156284e-01
5.026052104208417193e-01,1.141533833816531646e-01
5.124248496993988322e-01,1.115018772205364772e-01
5.222444889779559452e-01,1.076532559475934236e-01
5.320641282565130581e-01,1.039939747342572413e-01
5.418837675350701710e-01,1.015899381228544812e-01
5.517034068136272840e-01,9.768255919178693569e-02
5.615230460921843969e-01,9.501871865927878635e-02
5.713426853707415098e-01,9.240375367274562823e-02
5.811623246492986228e-01,8.889036031941731364e-02
5.909819639278557357e-01,8.686994456091312600e-02
6.008016032064128487e-01,8.394731655031575923e-02
6.106212424849699616e-01,8.114468549790095075e-02
6.204408817635270745e-01,7.929407159472270927e-02
6.302605210420841875e-01,7.628742222762756320e-02
6.400801603206413004e-01,7.421749186941921372e-02
6.498997995991984133e-01,7.218802473908149386e-02
6.597194388777555263e-01,6.944947433885330368e-02
6.695390781563126392e-01,6.786285543371990692e-02
6.793587174348697522e-01,6.557358853184822034e-02
6.891783567134268651e-01,6.336300677966359707e-02
6.989979959919839780e-01,6.190058821324905675e-02
7.088176352705410910e-01,5.952204926006010588e-02
7.186372745490982039e-01,5.787344270181569300e-02
7.284569138276553169e-01,5.626039040431115440e-02
7.382765531062124298e-01,5.407311666834797859e-02
7.480961923847695427e-01,5.280174016675732995e-02
7.579158316633266557e-01,5.096886599353667863e-02
7.677354709418837686e-01,4.918862843347047292e-02
7.775551102204408815e-01,4.801283322423560013e-02
7.873747494989979945e-01,4.609351298042400902e-02
7.971943887775551074e-01,4.475828695886874264e-02
8.070140280561122204e-01,4.345544584753045086e-02
8.168336673346693333e-01,4.167782762213817493e-02
8.266533066132264462e-01,4.064599080609494763e-02
8.364729458917835592e-01,3.915604857683009643e-02
8.462925851703406721e-01,3.770157290461402522e-02
8.561122244488977850e-01,3.674633577709177090e-02
8.659318637274548980e-01,3.517583630816227547e-02
8.757515030060120109e-01,3.408280085949493693e-02
8.855711422845691239e-01,3.301990161813855157e-02
8.953907815631262368e-01,3.155765245572526162e-02
9.052104208416833497e-01,3.071451824475214185e-02
9.150300601202404627e-01,2.949119329570450490e-02
9.248496993987975756e-01,2.829160343351412588e-02
9.346693386773546885e-01,2.751186065279989656e-02
9.444889779559118015e-01,2.621473546059562357e-02
9.543086172344689144e-01,2.531478615417700334e-02
9.641282565130260274e-01,2.444323772237585318e-02
9.739478957915831403e-01,2.323090232623654938e-02
9.837675350701402532e-01,2.254080757138372110e-02
9.935871743486973662e-01,2.153062895855057876e-02
1.003406813627254479e+00,2.053592616344484395e-02
1.013226452905811703e+00,1.989962624809912470e-02
1.023046092184368705e+00,1.882230425478736979e-02
1.032865731462925929e+00,1.808020840663674203e-02
1.042685370741483153e+00,1.736507748961065023e-02
1.052505010020040155e+00,1.635552975952322269e-02
