# kF r, W(r)
1.000000000000000056e-01,4.295416820058258089e+00
1.098196392785571185e-01,3.754248205135735095e+00
1.196392785571142314e-01,3.499537465645198520e+00
1.294589178356713444e-01,3.152107391093681432e+00
1.392785571142284573e-01,2.868735580556714737e+00
1.490981963927855702e-01,2.702421937824457832e+00
1.589178356713427109e-01,2.447116850929878407e+00
1.687374749498998239e-01,2.296421297848670218e+00
1.785571142284569368e-01,2.154758176039371698e+00
1.883767535070140497e-01,1.977985010360872709e+00
1.981963927855711627e-01,1.888441299219071778e+00
2.080160320641282756e-01,1.759283039234188717e+00
2.178356713426853886e-01,1.646309069938414194e+00
2.276553106212425015e-01,1.577456385384126580e+00
2.374749498997996144e-01,1.466279746841774090e+00
2.472945891783567274e-01,1.397560622248880557e+00
2.571142284569138403e-01,1.331352166805154225e+00
2.669338677354709533e-01,1.245097827878564045e+00
2.767535070140280662e-01,1.200266801299101793e+00
2.865731462925851791e-01,1.133919417586450429e+00
2.963927855711422921e-01,1.073948248684803097e+00
3.062124248496994050e-01,1.036959228620473628e+00
3.160320641282565179e-01,9.754582665621919224e-01
3.258517034068136309e-01,9.366383412235840256e-01
3.356713426853707993e-01,8.988464693167407260e-01
3.454909819639279123e-01,8.482720100606676583e-01
3.553106212424850252e-01,8.217788998580066728e-01
3.651302605210421381e-01,7.818717019725115458e-01
3.749498997995992511e-01,7.450841231868359227e-01
3.847695390781563640e-01,7.223922742723384305e-01
3.945891783567134770e-01,6.837572208070693547e-01
4.044088176352705899e-01,6.591446492171341154e-01
4.142284569138277028e-01,6.350787101396042633e-01
4.240480961923848158e-01,6.021755480530950333e-01
4.338677354709419287e-01,5.849914198883381378e-01
4.436873747494990416e-01,5.586822359520640102e-01
4.535070140280561546e-01,5.341016610216579030e-01
4.633266533066132675e-01,5.190615026469814763e-01
4.731462925851703805e-01,4.928358547348146157e-01
4.829659318637274934e-01,4.761010642995571751e-01
4.927855711422846063e-01,4.597184722442977378e-01
5.026052104208417193e-01,4.368621084436221658e-01
5.124248496993988322e-01,4.250658833680989179e-01
5.222444889779559452e-01,4.066792070010803450e-01
5.320641282565130581e-01,3.893270746191488385e-01
5.418837675350701710e-01,3.788714725026499086e-01
5.517034068136272840e-01,3.601398197372725485e-01
5.615230460921843969e-01,3.482394260827693655e-01
5.713426853707415098e-01,3.365992540181622639e-01
5.811623246492986228e-01,3.200087368219828865e-01
5.909819639278557357e-01,3.116201057899279370e-01
6.008016032064128487e-01,2.982594853676167057e-01
6.106212424849699616e-01,2.855485838548528221e-01
6.204408817635270745e-01,2.780630843835798505e-01
6.302605210420841875e-01,2.642083759362358064e-01
6.400801603206413004e-01,2.554941496724050798e-01
6.498997995991984133e-01,2.469906499270848876e-01
6.597194388777555263e-01,2.345750227378450570e-01
6.695390781563126392e-01,2.284824193631633527e-01
6.793587174348697522e-01,2.185123562533532737e-01
6.891783567134268651e-01,2.089617854151104015e-01
6.989979959919839780e-01,2.035124671670702212e-01
7.088176352705410910e-01,1.930105588019667695e-01
7.186372745490982039e-01,1.865089612168235877e-01
7.284569138276553169e-01,1.801882924638918970e-01
7.382765531062124298e-01,1.706944870587975560e-01
7.480961923847695427e-01,1.662228340478329458e-01
7.579158316633266557e-01,1.586474058421072364e-01
7.677354709418837686e-01,1.513456201825566505e-01
7.775551102204408815e-01,1.473520972405790441e-01
7.873747494989979945e-01,1.392527761335927705e-01
7.971943887775551074e-01,1.343492377754470779e-01
8.070140280561122204e-01,1.296068271860624788e-01
8.168336673346693333e-01,1.222359040286761372e-01
8.266533066132264462e-01,1.189492389479154533e-01
8.364729458917835592e-01,1.131252425985425220e-01
8.462925851703406721e-01,1.074782972468823206e-01
8.561122244488977850e-01,1.045588933074612231e-01
8.659318637274548980e-01,9.823708052348149866e-02
8.757515030060120109e-01,9.452258962509417495e-02
8.855711422845691239e-01,9.095491279397638351e-02
8.953907815631262368e-01,8.517167693588659216e-02
9.052104208416833497e-01,8.277419673578535753e-02
9.150300601202404627e-01,7.826612414969312537e-02
9.248496993987975756e-01,7.386884266989086900e-02
9.346693386773546885e-01,7.176076673030903907e-02
9.444889779559118015e-01,6.678698423947518337e-02
9.543086172344689144e-01,6.397735901559885308e-02
9.641282565130260274e-01,6.130347205048834042e-02
9.739478957915831403e-01,5.673463974484833222e-02
9.837675350701402532e-01,5.501732780047058347e-02
9.935871743486973662e-01,5.151862980545764831e-02
1.003406813627254479e+00,4.808396803322986107e-02
1.013226452905811703e+00,4.659929154728276873e-02
1.023046092184368705e+00,4.266765823701200444e-02
1.032865731462925929e+00,4.055828071894769515e-02
1.042685370741483153e+00,3.857561296760117497e-02
1.052505010020040155e+00,3.495195222945277763e-02
1.062324649298597379e+00,3.376204637364504935e-02
1.072144288577154381e+00,3.104985378284499595e-02
1.081963927855711605e+00,2.836794545096638781e-02
1.091783567134268607e+00,2.736795789828160019e-02
1.101603206412825831e+00,2.425397079660927130e-02
1.111422845691382832e+00,2.269305160320233064e-02
1.121242484969940056e+00,2.125119743332008412e-02
1.131062124248497058e+00,1.837298108552503501e-02
1.140881763527054282e+00,1.759563930192043629e-02
1.150701402805611284e+00,1.550345660683552854e-02
1.160521042084168508e+00,1.341674285062344381e-02
1.170340681362725510e+00,1.279631780267615447e-02
1.180160320641282734e+00,1.033097341061582110e-02
1.189979959919839736e+00,9.203061027051089027e-03
1.199799599198396960e+00,8.187564965465601169e-03
1.209619238476953962e+00,5.903066884415437802e-03
1.219438877755511186e+00,5.449898405044328702e-03
1.229258517034068188e+00,3.850463451401222106e-03
1.239078156312625412e+00,2.237987205240206216e-03
1.248897795591182414e+00,1.915676320293909938e-03
1.258717434869739638e+00,-3.100067340606148508e-05
1.268537074148296639e+00,-8.155744079923707987e-04
1.278356713426853863e+00,-1.493621441922039642e-03
1.288176352705410865e+00,-3.301995013254534032e-03
1.297995991983968089e+00,-3.500360076252690897e-03
1.307815631262525091e+00,-4.706210817925065952e-03
1.317635270541082315e+00,-5.939061833383496580e-03
1.327454909819639317e+00,-6.027518186762999101e-03
1.337274549098196541e+00,-7.557304269569786563e-03
1.347094188376753543e+00,-8.069399042729409957e-03
1.356913827655310767e+00,-8.480249107963227367e-03
1.366733466933867991e+00,-9.905183643604384761e-03
1.376553106212424993e+00,-9.904058096174325754e-03
1.386372745490982217e+00,-1.079484243811906601e-02
1.396192384769539219e+00,-1.172323391913605330e-02
1.406012024048096443e+00,-1.162928434270042027e-02
1.415831663326653445e+00,-1.282308220137408188e-02
1.425651302605210669e+00,-1.311949044972892352e-02
1.435470941883767670e+00,-1.331942967212838488e-02
1.445290581162324894e+00,-1.443500586486232834e-02
1.455110220440881896e+00,-1.427905327109934598e-02
1.464929859719439120e+00,-1.491776564896421173e-02
1.474749498997996122e+00,-1.560217847054042907e-02
1.484569138276553346e+00,-1.536749238234779748e-02
1.494388777555110348e+00,-1.629041234751993014e-02
1.504208416833667572e+00,-1.641716477835525670e-02
1.514028056112224574e+00,-1.645178862256007485e-02
1.523847695390781798e+00,-1.731789571452300655e-02
1.533667334669338800e+00,-1.704352875985016072e-02
1.543486973947896024e+00,-1.748124563762006728e-02
1.553306613226453026e+00,-1.797084103450016790e-02
1.563126252505010250e+00,-1.762945953402393282e-02
1.572945891783567252e+00,-1.833442574882623508e-02
1.582765531062124476e+00,-1.832914984762957014e-02
1.592585170340681477e+00,-1.823570280647131975e-02
1.602404809619238701e+00,-1.890119727921226941e-02
1.612224448897795703e+00,-1.853830491839966732e-02
1.622044088176352927e+00,-1.881677839522546275e-02
1.631863727454909929e+00,-1.915182800057649987e-02
1.641683366733467153e+00,-1.873172431767800017e-02
1.651503006012024155e+00,-1.926208807892837438e-02
1.661322645290581379e+00,-1.915572747934074158e-02
1.671142284569138381e+00,-1.896481056410916424e-02
1.680961923847695605e+00,-1.946982327369546281e-02
1.690781563126252607e+00,-1.904304173506480777e-02
1.700601202404809831e+00,-1.919660341339911314e-02
1.710420841683366833e+00,-1.941027962324679348e-02
1.720240480961924057e+00,-1.893451561040746661e-02
1.730060120240481059e+00,-1.932598631309885920e-02
1.739879759519038283e+00,-1.914408006473711579e-02
1.749699398797595284e+00,-1.888092220243809197e-02
1.759519038076152508e+00,-1.925857580540486780e-02
1.769338677354709510e+00,-1.878824360110770836e-02
1.779158316633266734e+00,-1.884522909373644722e-02
1.788977955911823736e+00,-1.896494943802506244e-02
1.798797595190380960e+00,-1.845255037225549885e-02
1.808617234468937962e+00,-1.873464872174197479e-02
1.818436873747495186e+00,-1.849830176393715137e-02
1.828256513026052188e+00,-1.818372510987065552e-02
1.838076152304609412e+00,-1.846143574664525777e-02
1.847895791583166414e+00,-1.796432584435121368e-02
1.857715430861723638e+00,-1.794816025963583486e-02
1.867535070140280640e+00,-1.799661539788660267e-02
1.877354709418837864e+00,-1.746324508774719370e-02
1.887174348697394866e+00,-1.766041604371625454e-02
1.896993987975952090e+00,-1.738704953371110820e-02
1.906813627254509091e+00,-1.703821620864302833e-02
1.916633266533066315e+00,-1.723869726940932198e-02
1.926452905811623317e+00,-1.672858961906821540e-02
1.936272545090180541e+00,-1.665862934235893406e-02
1.946092184368737543e+00,-1.665458304994229047e-02
1.955911823647294767e+00,-1.611307508803393532e-02
1.965731462925851769e+00,-1.624555470632568430e-02
1.975551102204408993e+00,-1.594949688488378134e-02
1.985370741482966217e+00,-1.558049730772797896e-02
1.995190380761523219e+00,-1.572254643486147019e-02
2.005010020040080221e+00,-1.521068436492254566e-02
2.014829659318637223e+00,-1.510288107893722163e-02
2.024649298597194669e+00,-1.506180346745950895e-02
2.034468937875751671e+00,-1.452258732412703771e-02
2.044288577154308673e+00,-1.460708898777071316e-02
2.054108216432865675e+00,-1.430004887178551280e-02
2.063927855711423121e+00,-1.392237359613161633e-02
2.073747494989980122e+00,-1.402149973200797310e-02
2.083567134268537124e+00,-1.351696064039172376e-02
2.093386773547094126e+00,-1.338439382563762388e-02
2.103206412825651572e+00,-1.331897087011307650e-02
2.113026052104208574e+00,-1.279041999827125638e-02
2.122845691382765576e+00,-1.284068626656982744e-02
2.132665330661323022e+00,-1.253214001780999717e-02
2.142484969939880024e+00,-1.215506468480933785e-02
2.152304609218437026e+00,-1.222399547061632161e-02
2.162124248496994028e+00,-1.173399734708881550e-02
2.171943887775551474e+00,-1.158730814177077843e-02
2.181763527054108476e+00,-1.150785820437450792e-02
2.191583166332665478e+00,-1.099657946427216350e-02
2.201402805611222480e+00,-1.102383259270195773e-02
2.211222444889779926e+00,-1.072134388777976934e-02
2.221042084168336928e+00,-1.035224846615967129e-02
2.230861723446893929e+00,-1.040134694463223236e-02
2.240681362725450931e+00,-9.931506136221528516e-03
2.250501002004008377e+00,-9.779256208172227779e-03
2.260320641282565379e+00,-9.694075678652993092e-03
2.270140280561122381e+00,-9.205153946597542311e-03
2.279959919839679383e+00,-9.218468982111958226e-03
2.289779559118236829e+00,-8.927958778525448696e-03
2.299599198396793831e+00,-8.572596384553946014e-03
2.309418837675350833e+00,-8.610208033414190956e-03
2.319238476953907835e+00,-8.164759383800285555e-03
2.329058116232465281e+00,-8.013732007023530168e-03
2.338877755511022283e+00,-7.929386165874753242e-03
2.348697394789579285e+00,-7.466594168790826810e-03
2.358517034068136287e+00,-7.473212085986265761e-03
2.368336673346693733e+00,-7.199188998645829687e-03
2.378156312625250735e+00,-6.861915442299602007e-03
2.387975951903807736e+00,-6.894660958236365628e-03
2.397795591182364738e+00,-6.476648422983984424e-03
2.407615230460922184e+00,-6.332104370805956978e-03
2.417434869739479186e+00,-6.253675307854492972e-03
2.427254509018036188e+00,-5.819656010579860213e-03
2.437074148296593190e+00,-5.825249765838195169e-03
2.446893787575150636e+00,-5.571009286965234591e-03
2.456713426853707638e+00,-5.254981531438241218e-03
2.466533066132264640e+00,-5.288006771095067615e-03
2.476352705410821642e+00,-4.899450444082764124e-03
2.486172344689379088e+00,-4.765348026061630264e-03
2.495991983967936090e+00,-4.696648376662274603e-03
2.505811623246493092e+00,-4.293075300700591526e-03
2.515631262525050094e+00,-4.301978375878280463e-03
2.525450901803607540e+00,-4.069777023150182409e-03
2.535270541082164542e+00,-3.777126611904603817e-03
2.545090180360721543e+00,-3.814318193606484279e-03
2.554909819639278545e+00,-3.456362116401508807e-03
2.564729458917835991e+00,-3.335548307055792930e-03
2.574549098196392993e+00,-3.279307340639545619e-03
2.584368737474949995e+00,-2.907026783277944729e-03
2.594188376753506997e+00,-2.922431386286328519e-03
2.604008016032064443e+00,-2.713640303347733453e-03
2.613827655310621445e+00,-2.445626258503511355e-03
2.623647294589178447e+00,-2.489799209960467854e-03
2.633466933867735893e+00,-2.162843199212863016e-03
2.643286573146292895e+00,-2.057221069072094968e-03
2.653106212424849897e+00,-2.015248035655185701e-03
2.662925851703406899e+00,-1.674406131572675743e-03
2.672745490981964345e+00,-1.698536458066214790e-03
2.682565130260521347e+00,-1.513777849789430235e-03
2.692384769539078349e+00,-1.270922411197956394e-03
2.702204408817635350e+00,-1.323984690395666689e-03
2.712024048096192796e+00,-1.027802587877733875e-03
2.721843687374749798e+00,-9.384789695080932416e-04
2.731663326653306800e+00,-9.118074104203633236e-04
2.741482965931863802e+00,-6.019642266697297238e-04
2.751302605210421248e+00,-6.362288854635028343e-04
2.761122244488978250e+00,-4.754978310364391179e-04
2.770941883767535252e+00,-2.577075712292975647e-04
2.780761523046092254e+00,-3.208051349479666085e-04
2.790581162324649700e+00,-5.465127629185883315e-05
2.800400801603206702e+00,1.793234663521437822e-05
2.810220440881763704e+00,2.891650490835055438e-05
2.820040080160320706e+00,3.086842002352532246e-04
2.829859719438878152e+00,2.635574613796790749e-04
2.839679358717435154e+00,4.007838931216048720e-04
2.849498997995992156e+00,5.941096578580335645e-04
2.859318637274549157e+00,5.204644203342053722e-04
2.869138276553106603e+00,7.577591680357653086e-04
2.878957915831663605e+00,8.137102657430000203e-04
2.888777555110220607e+00,8.091546739841244500e-04
2.898597194388777609e+00,1.060160732231678381e-03
2.908416833667335055e+00,1.004005582969160664e-03
2.918236472945892057e+00,1.118670447619200814e-03
2.928056112224449059e+00,1.288542483106030166e-03
2.937875751503006061e+00,1.204356772042597130e-03
2.947695390781563507e+00,1.414298379227485816e-03
2.957515030060120509e+00,1.454169681327931304e-03
2.967334669338677511e+00,1.434653915776717189e-03
2.977154308617234513e+00,1.658519272481245258e-03
2.986973947895791959e+00,1.591624758683000788e-03
2.996793587174348961e+00,1.685003448146272283e-03
3.006613226452905963e+00,1.832755532943948235e-03
3.016432865731462964e+00,1.738454914563915656e-03
3.026252505010020410e+00,1.922808177702186542e-03
3.036072144288577412e+00,1.947505366212320434e-03
3.045891783567134414e+00,1.913950352554986056e-03
3.055711422845691416e+00,2.112527921253055073e-03
3.065531062124248862e+00,2.035544343200927555e-03
3.075350701402805864e+00,2.109166010053577320e-03
3.085170340681362866e+00,2.236377078478794973e-03
3.094989979959919868e+00,2.132715665181753300e-03
3.104809619238477314e+00,2.293434190462202444e-03
3.114629258517034316e+00,2.304133794549359342e-03
3.124448897795591318e+00,2.257721272531907492e-03
3.134268537074148320e+00,2.433028651022897757e-03
3.144088176352705766e+00,2.346884174172591750e-03
3.153907815631262768e+00,2.402461651725312872e-03
3.163727454909819770e+00,2.510886428402782367e-03
3.173547094188376771e+00,2.398867386297841645e-03
3.183366733466934217e+00,2.538031093137992598e-03
3.193186372745491219e+00,2.536107771472285045e-03
3.203006012024048221e+00,2.478208931360613172e-03
3.212825651302605223e+00,2.632368483115960812e-03
3.222645290581162669e+00,2.538195559754781189e-03
3.232464929859719671e+00,2.577563164289864428e-03
3.242284569138276673e+00,2.669070784213449336e-03
3.252104208416834119e+00,2.549876266361446320e-03
3.261923847695391121e+00,2.669635927576698674e-03
3.271743486973948123e+00,2.656598373808715784e-03
3.281563126252505125e+00,2.588711024772922045e-03
3.291382765531062571e+00,2.723896955057986211e-03
3.301202404809619573e+00,2.622967648195220942e-03
3.311022044088176575e+00,2.648026518853564652e-03
3.320841683366733577e+00,2.724546415490212113e-03
3.330661322645291023e+00,2.599476187924848296e-03
3.340480961923848024e+00,2.702004740297753692e-03
3.350300601202405026e+00,2.679439604273466807e-03
3.360120240480962028e+00,2.603133197097813427e-03
3.369939879759519474e+00,2.721525174931353503e-03
3.379759519038076476e+00,2.615194845654837761e-03
3.389579158316633478e+00,2.627865121020749040e-03
3.399398797595190480e+00,2.691340041761227687e-03
3.409218436873747926e+00,2.561758146903956798e-03
3.419038076152304928e+00,2.649208355241316516e-03
3.428857715430861930e+00,2.618731622493115658e-03
3.438677354709418932e+00,2.535599652524230755e-03
3.448496993987976378e+00,2.639342744113563552e-03
3.458316633266533380e+00,2.529001393144353349e-03
3.468136272545090382e+00,2.531181093557470767e-03
3.477955911823647384e+00,2.583526613309737683e-03
3.487775551102204830e+00,2.450815504690632887e-03
3.497595190380761832e+00,2.525283677540565014e-03
3.507414829659318833e+00,2.488499023881977044e-03
3.517234468937875835e+00,2.400118316958297412e-03
3.527054108216433281e+00,2.491288887802527597e-03
3.536873747494990283e+00,2.378319655388871912e-03
3.546693386773547285e+00,2.371849702975748885e-03
3.556513026052104287e+00,2.414919945079438499e-03
3.566332665330661733e+00,2.280441568393892955e-03
3.576152304609218735e+00,2.343937049707961202e-03
3.585971943887775737e+00,2.302400709416245386e-03
3.595791583166332739e+00,2.210297142786912458e-03
3.605611222444890185e+00,2.290874372391906843e-03
3.615430861723447187e+00,2.176618685625208906e-03
3.625250501002004189e+00,2.163253819602813533e-03
3.635070140280561191e+00,2.198813000669504365e-03
3.644889779559118637e+00,2.063876335272471323e-03
3.654709418837675639e+00,2.118296416808251089e-03
3.664529058116232640e+00,2.073488128560534681e-03
3.674348697394789642e+00,1.979108357560651048e-03
3.684168336673347088e+00,2.050951092978748475e-03
3.693987975951904090e+00,1.936679987507231764e-03
3.703807615230461092e+00,1.918065144917797862e-03
3.713627254509018094e+00,1.947764575846440893e-03
3.723446893787575540e+00,1.813599169876870540e-03
3.733266533066132542e+00,1.860709118199851270e-03
3.743086172344689544e+00,1.814008724432195421e-03
3.752905811623246546e+00,1.718697495319572834e-03
3.762725450901803992e+00,1.783526095367675467e-03
3.772545090180360994e+00,1.670417252566122092e-03
3.782364729458917996e+00,1.648069072544640704e-03
3.792184368737474998e+00,1.673429246811160634e-03
3.802004008016032444e+00,1.541164293661145563e-03
3.811823647294589446e+00,1.582582155573976357e-03
