# kF r, W(r)
1.000000000000000056e-01,1.587254271836691100e+00
1.098196392785571185e-01,1.370997989049254073e+00
1.196392785571142314e-01,1.269343153039110605e+00
1.294589178356713444e-01,1.130618623677302814e+00
1.392785571142284573e-01,1.017535183816129951e+00
1.490981963927855702e-01,9.512925374758973707e-01
1.589178356713427109e-01,8.494705817329903930e-01
1.687374749498998239e-01,7.895094490372729368e-01
1.785571142284569368e-01,7.331780390554546445e-01
1.883767535070140497e-01,6.628191020667294486e-01
1.981963927855711627e-01,6.273681772926920086e-01
2.080160320641282756e-01,5.760874029549710729e-01
2.178356713426853886e-01,5.312960541649016655e-01
2.276553106212425015e-01,5.041686676493661867e-01
2.374749498997996144e-01,4.601268868986728156e-01
2.472945891783567274e-01,4.330830379853300438e-01
2.571142284569138403e-01,4.070581218880417462e-01
2.669338677354709533e-01,3.730292565019759365e-01
2.767535070140280662e-01,3.555838592092557815e-01
2.865731462925851791e-01,3.295458014529992208e-01
2.963927855711422921e-01,3.060718514599100049e-01
3.062124248496994050e-01,2.918041225767130098e-01
3.160320641282565179e-01,2.677447185523338935e-01
3.258517034068136309e-01,2.527705713412320421e-01
3.356713426853707993e-01,2.382202285528484398e-01
3.454909819639279123e-01,2.185691753017856287e-01
3.553106212424850252e-01,2.085627281279613110e-01
3.651302605210421381e-01,1.932024549295602023e-01
3.749498997995992511e-01,1.791015816663595883e-01
3.847695390781563640e-01,1.706502966029014856e-01
3.945891783567134770e-01,1.558327706875717311e-01
4.044088176352705899e-01,1.466350240092413326e-01
4.142284569138277028e-01,1.376664631985593801e-01
4.240480961923848158e-01,1.251732933226931410e-01
4.338677354709419287e-01,1.189777653730575563e-01
4.436873747494990416e-01,1.091419926866195461e-01
4.535070140280561546e-01,1.000071914207362606e-01
4.633266533066132675e-01,9.469783592047935350e-02
4.731462925851703805e-01,8.492331619676521393e-02
4.829659318637274934e-01,7.895392466245947094e-02
4.927855711422846063e-01,7.313395249144757915e-02
5.026052104208417193e-01,6.473276768886640498e-02
5.124248496993988322e-01,6.076369177820978990e-02
5.222444889779559452e-01,5.416624741114860891e-02
5.320641282565130581e-01,4.799019271203986553e-02
5.418837675350701710e-01,4.458008360102499318e-02
5.517034068136272840e-01,3.786665055189970819e-02
5.615230460921843969e-01,3.389258177030613634e-02
5.713426853707415098e-01,3.002922805024780054e-02
5.811623246492986228e-01,2.419213003749469751e-02
5.909819639278557357e-01,2.164194914778806711e-02
6.008016032064128487e-01,1.710890565530377369e-02
6.106212424849699616e-01,1.284145500147017629e-02
6.204408817635270745e-01,1.066964421794636478e-02
6.302605210420841875e-01,5.955404364457447808e-03
6.400801603206413004e-01,3.302389084736785923e-03
6.498997995991984133e-01,7.384750368666663425e-04
6.597194388777555263e-01,-3.385698670385702165e-03
6.695390781563126392e-01,-4.976289045115689022e-03
6.793587174348697522e-01,-8.113705195633136996e-03
6.891783567134268651e-01,-1.107938016289465241e-02
6.989979959919839780e-01,-1.240082179308581861e-02
7.088176352705410910e-01,-1.573977724863407160e-02
7.186372745490982039e-01,-1.747529433628540116e-02
7.284569138276553169e-01,-1.913533206246996465e-02
7.382765531062124298e-01,-2.206172089026174621e-02
7.480961923847695427e-01,-2.297654749313850567e-02
7.579158316633266557e-01,-2.513038319955624225e-02
7.677354709418837686e-01,-2.717245919050344932e-02
7.775551102204408815e-01,-2.788912364019128370e-02
7.873747494989979945e-01,-3.024619509168427825e-02
7.971943887775551074e-01,-3.132323330217233470e-02
8.070140280561122204e-01,-3.233429030108538743e-02
8.168336673346693333e-01,-3.439541016084397135e-02
8.266533066132264462e-01,-3.482167044780298121e-02
8.364729458917835592e-01,-3.626189059497769013e-02
8.462925851703406721e-01,-3.763049925013439712e-02
8.561122244488977850e-01,-3.790747964777127499e-02
8.659318637274548980e-01,-3.954498912433648122e-02
8.757515030060120109e-01,-4.013931044539358062e-02
8.855711422845691239e-01,-4.067481960746230363e-02
8.953907815631262368e-01,-4.209663651976515431e-02
9.052104208416833497e-01,-4.216440377347236562e-02
9.150300601202404627e-01,-4.307682683468463947e-02
9.248496993987975756e-01,-4.394551633182212230e-02
9.346693386773546885e-01,-4.389926828533598224e-02
9.444889779559118015e-01,-4.500020708706521655e-02
9.543086172344689144e-01,-4.523654452137761128e-02
9.641282565130260274e-01,-4.541980325248230754e-02
9.739478957915831403e-01,-4.636240952581523189e-02
9.837675350701402532e-01,-4.616592760719294419e-02
9.935871743486973662e-01,-4.668366834343737337e-02
1.003406813627254479e+00,-4.717760884071556943e-02
1.013226452905811703e+00,-4.689351321926102378e-02
1.023046092184368705e+00,-4.759029979626012985e-02
1.032865731462925929e+00,-4.756042272485651312e-02
1.042685370741483153e+00,-4.748223733940547947e-02
1.052505010020040155e+00,-4.806295938970828185e-02
1.062324649298597379e+00,-4.767282210107490897e-02
1.072144288577154381e+00,-4.789437221720324600e-02
1.081963927855711605e+00,-4.810670916310009343e-02
1.091783567134268607e+00,-4.764930387995741645e-02
1.101603206412825831e+00,-4.804064777650472740e-02
1.111422845691382832e+00,-4.781403487888499781e-02
1.121242484969940056e+00,-4.754318508342018218e-02
1.131062124248497058e+00,-4.785038575023227436e-02
1.140881763527054282e+00,-4.732085640335181170e-02
1.150701402805611284e+00,-4.732099519849183866e-02
1.160521042084168508e+00,-4.732278791118812999e-02
1.170340681362725510e+00,-4.674201410434421916e-02
1.180160320641282734e+00,-4.690326222972298481e-02
1.189979959919839736e+00,-4.653369474418449919e-02
1.199799599198396960e+00,-4.612341869284191515e-02
1.209619238476953962e+00,-4.622509996258871573e-02
1.219438877755511186e+00,-4.559870224271787148e-02
1.229258517034068188e+00,-4.543535809557227440e-02
1.239078156312625412e+00,-4.528186938352182084e-02
1.248897795591182414e+00,-4.461704319134868896e-02
1.258717434869739638e+00,-4.460677967298005281e-02
1.268537074148296639e+00,-4.413657647687475871e-02
1.278356713426853863e+00,-4.362874746045065227e-02
1.288176352705410865e+00,-4.357811500161209994e-02
1.297995991983968089e+00,-4.288862402399892110e-02
1.307815631262525091e+00,-4.260734901343255637e-02
1.317635270541082315e+00,-4.234217049975957936e-02
1.327454909819639317e+00,-4.162460309220289423e-02
1.337274549098196541e+00,-4.148900703055750927e-02
1.347094188376753543e+00,-4.095184231147361298e-02
1.356913827655310767e+00,-4.037975389554709915e-02
1.366733466933867991e+00,-4.021893772677856416e-02
1.376553106212424993e+00,-3.949339820651164706e-02
1.386372745490982217e+00,-3.913038351205772730e-02
1.396192384769539219e+00,-3.878823071128899985e-02
1.406012024048096443e+00,-3.804301668667840058e-02
1.415831663326653445e+00,-3.781883100307963791e-02
1.425651302605210669e+00,-3.724167103176177773e-02
1.435470941883767670e+00,-3.663195523326082115e-02
1.445290581162324894e+00,-3.639457427745976942e-02
1.455110220440881896e+00,-3.565470820317381134e-02
1.464929859719439120e+00,-3.523887893786685488e-02
1.474749498997996122e+00,-3.484754318622507174e-02
1.484569138276553346e+00,-3.409482183596888871e-02
1.494388777555110348e+00,-3.381143562874751318e-02
1.504208416833667572e+00,-3.321591202982428909e-02
1.514028056112224574e+00,-3.258990167830090601e-02
1.523847695390781798e+00,-3.230288254181667290e-02
1.533667334669338800e+00,-3.156610313960901693e-02
1.543486973947896024e+00,-3.112061625564682341e-02
1.553306613226453026e+00,-3.070236763297097896e-02
1.563126252505010250e+00,-2.995824121566756718e-02
1.572945891783567252e+00,-2.963919122273151602e-02
1.582765531062124476e+00,-2.904260436541478141e-02
1.592585170340681477e+00,-2.841732999423034894e-02
1.602404809619238701e+00,-2.810223242420208795e-02
1.612224448897795703e+00,-2.738239791443095386e-02
1.622044088176352927e+00,-2.692574347936172244e-02
1.631863727454909929e+00,-2.649836754992671364e-02
1.641683366733467153e+00,-2.577559106204101863e-02
1.651503006012024155e+00,-2.543967341677455529e-02
1.661322645290581379e+00,-2.485574742502130036e-02
1.671142284569138381e+00,-2.424468828080617727e-02
1.680961923847695605e+00,-2.391869679830821091e-02
1.690781563126252607e+00,-2.322668834749715139e-02
1.700601202404809831e+00,-2.277352133338282625e-02
1.710420841683366833e+00,-2.235110622149151516e-02
1.720240480961924057e+00,-2.165962158382003788e-02
1.730060120240481059e+00,-2.132173642930906485e-02
1.739879759519038283e+00,-2.076120370564865300e-02
1.749699398797595284e+00,-2.017486975334099875e-02
1.759519038076152508e+00,-1.985155462704636317e-02
1.769338677354709510e+00,-1.919573287619749311e-02
1.779158316633266734e+00,-1.875751801553097661e-02
1.788977955911823736e+00,-1.835106769461423287e-02
1.798797595190380960e+00,-1.769842969057206297e-02
1.808617234468937962e+00,-1.737023892896736102e-02
1.818436873747495186e+00,-1.684130524997236658e-02
1.828256513026052188e+00,-1.628770058031039566e-02
1.838076152304609412e+00,-1.597761617015152832e-02
1.847895791583166414e+00,-1.536419213584785774e-02
1.857715430861723638e+00,-1.494971648076805562e-02
1.867535070140280640e+00,-1.456764066033413955e-02
1.877354709418837864e+00,-1.395936595150779926e-02
1.887174348697394866e+00,-1.364981765745777384e-02
1.896993987975952090e+00,-1.315854179475157634e-02
1.906813627254509091e+00,-1.264354304463557663e-02
1.916633266533066315e+00,-1.235470923971782563e-02
1.926452905811623317e+00,-1.178805344476831739e-02
1.936272545090180541e+00,-1.140384336790668633e-02
1.946092184368737543e+00,-1.105235791832876596e-02
1.955911823647294767e+00,-1.049221810972899953e-02
1.965731462925851769e+00,-1.020797394694110405e-02
1.975551102204408993e+00,-9.758584776642239070e-03
1.985370741482966217e+00,-9.286257296029868172e-03
1.995190380761523219e+00,-9.024555201254570377e-03
2.005010020040080221e+00,-8.507461152103547655e-03
2.014829659318637223e+00,-8.158128888586279812e-03
2.024649298597194669e+00,-7.841590061443876741e-03
2.034468937875751671e+00,-7.331863048765993075e-03
2.044288577154308673e+00,-7.077653631906114830e-03
2.054108216432865675e+00,-6.672820426708692132e-03
2.063927855711423121e+00,-6.245687754178710568e-03
2.073747494989980122e+00,-6.015191161173486477e-03
2.083567134268537124e+00,-5.549104169356036155e-03
2.093386773547094126e+00,-5.237641238879303836e-03
