# kF r, W(r)
1.000000000000000056e-01,1.024299120983718003e+00
1.098196392785571185e-01,9.230529323754766979e-01
1.196392785571142314e-01,8.738900625834837843e-01
1.294589178356713444e-01,8.078670921367253621e-01
1.392785571142284573e-01,7.534909477057021299e-01
1.490981963927855702e-01,7.203989386817348795e-01
1.589178356713427109e-01,6.711266299649789602e-01
1.687374749498998239e-01,6.408762477170242278e-01
1.785571142284569368e-01,6.122699851272436211e-01
1.883767535070140497e-01,5.772822220465118059e-01
1.981963927855711627e-01,5.581579614684782920e-01
2.080160320641282756e-01,5.318342683102713631e-01
2.178356713426853886e-01,5.084573651752631873e-01
2.276553106212425015e-01,4.931074328518825767e-01
2.374749498997996144e-01,4.700670524045570398e-01
2.472945891783567274e-01,4.547521896577921829e-01
2.571142284569138403e-01,4.398999881458033334e-01
2.669338677354709533e-01,4.214096052975891404e-01
2.767535070140280662e-01,4.104582067535120782e-01
2.865731462925851791e-01,3.956022367577080034e-01
2.963927855711422921e-01,3.819137676502257217e-01
3.062124248496994050e-01,3.724126504371688129e-01
3.160320641282565179e-01,3.584637132056427977e-01
3.258517034068136309e-01,3.486483078703403460e-01
3.356713426853707993e-01,3.390298140291851947e-01
3.454909819639279123e-01,3.270975516972690622e-01
3.553106212424850252e-01,3.195547616369822652e-01
3.651302605210421381e-01,3.095842403183441394e-01
3.749498997995992511e-01,3.001926624623034723e-01
3.847695390781563640e-01,2.933761751036309540e-01
3.945891783567134770e-01,2.836733372842833445e-01
4.044088176352705899e-01,2.765330758423198421e-01
4.142284569138277028e-01,2.695055232096770781e-01
4.240480961923848158e-01,2.608848382805953325e-01
4.338677354709419287e-01,2.551363498983328371e-01
4.436873747494990416e-01,2.477431319249849828e-01
4.535070140280561546e-01,2.406790186596172720e-01
4.633266533066132675e-01,2.353647453607895235e-01
4.731462925851703805e-01,2.280321553469340512e-01
4.829659318637274934e-01,2.224410733965780373e-01
4.927855711422846063e-01,2.169301831507114420e-01
5.026052104208417193e-01,2.102586694827339731e-01
5.124248496993988322e-01,2.056149573247225970e-01
5.222444889779559452e-01,1.997900211643300061e-01
5.320641282565130581e-01,1.941705778251014702e-01
5.418837675350701710e-01,1.898227739353995358e-01
5.517034068136272840e-01,1.839881272782553367e-01
5.615230460921843969e-01,1.794138071003806290e-01
5.713426853707415098e-01,1.749052951828767577e-01
5.811623246492986228e-01,1.695154359388936216e-01
5.909819639278557357e-01,1.656358915945199128e-01
6.008016032064128487e-01,1.608715566953218545e-01
6.106212424849699616e-01,1.562448375826996638e-01
6.204408817635270745e-01,1.525879373686229723e-01
6.302605210420841875e-01,1.477928792792446433e-01
6.400801603206413004e-01,1.439526325794676653e-01
6.498997995991984133e-01,1.401710458980585383e-01
6.597194388777555263e-01,1.356986770737609038e-01
6.695390781563126392e-01,1.323967285730344723e-01
6.793587174348697522e-01,1.284106739868286218e-01
6.891783567134268651e-01,1.245219852453247483e-01
6.989979959919839780e-01,1.214002683426223389e-01
7.088176352705410910e-01,1.173812815444334190e-01
7.186372745490982039e-01,1.141112279607638252e-01
7.284569138276553169e-01,1.108957923571649296e-01
7.382765531062124298e-01,1.071252597201296092e-01
7.480961923847695427e-01,1.042898756661406606e-01
7.579158316633266557e-01,1.009122638079806705e-01
7.677354709418837686e-01,9.760664400028742915e-02
7.775551102204408815e-01,9.492489904869795547e-02
7.873747494989979945e-01,9.151906771883408509e-02
7.971943887775551074e-01,8.871686235072771820e-02
8.070140280561122204e-01,8.596659576560319871e-02
8.168336673346693333e-01,8.276112467101563730e-02
8.266533066132264462e-01,8.032108026019035840e-02
8.364729458917835592e-01,7.744255914468756163e-02
8.462925851703406721e-01,7.461917046114588392e-02
8.561122244488977850e-01,7.231471658546423376e-02
8.659318637274548980e-01,6.941466754777300685e-02
8.757515030060120109e-01,6.701179181736038881e-02
8.855711422845691239e-01,6.465874502643317867e-02
8.953907815631262368e-01,6.192602049617777077e-02
9.052104208416833497e-01,5.983210737884694930e-02
9.150300601202404627e-01,5.737764956796290866e-02
9.248496993987975756e-01,5.496656643384977697e-02
9.346693386773546885e-01,5.299495810437816756e-02
9.444889779559118015e-01,5.052553263843440751e-02
9.543086172344689144e-01,4.847284529239357515e-02
9.641282565130260274e-01,4.646806880877926010e-02
9.739478957915831403e-01,4.414195889710608584e-02
9.837675350701402532e-01,4.235752466851789438e-02
9.935871743486973662e-01,4.027235976192856254e-02
1.003406813627254479e+00,3.822197863459237538e-02
1.013226452905811703e+00,3.654925885972563210e-02
1.023046092184368705e+00,3.445468250020352480e-02
1.032865731462925929e+00,3.271445520483486774e-02
1.042685370741483153e+00,3.102023145466838161e-02
1.052505010020040155e+00,2.905054104113726290e-02
1.062324649298597379e+00,2.754621567406854640e-02
1.072144288577154381e+00,2.578787904701783026e-02
1.081963927855711605e+00,2.405775703349783204e-02
1.091783567134268607e+00,2.265608315433387254e-02
1.101603206412825831e+00,2.089258116258084497e-02
1.111422845691382832e+00,1.943393247747761052e-02
1.121242484969940056e+00,1.801930866924239191e-02
1.131062124248497058e+00,1.636579908683635440e-02
1.140881763527054282e+00,1.511646526567562120e-02
1.150701402805611284e+00,1.365013977412012081e-02
1.160521042084168508e+00,1.220678182212638768e-02
1.170340681362725510e+00,1.105189461727286958e-02
1.180160320641282734e+00,9.583300683997729441e-03
1.189979959919839736e+00,8.379513968573790508e-03
1.199799599198396960e+00,7.217672273080328813e-03
1.209619238476953962e+00,5.846471831464103951e-03
1.219438877755511186e+00,4.829501950339099882e-03
1.229258517034068188e+00,3.625225484740110613e-03
1.239078156312625412e+00,2.439554456816904211e-03
1.248897795591182414e+00,1.509304267363795540e-03
1.258717434869739638e+00,3.043943237733372285e-04
1.268537074148296639e+00,-6.686713212976120192e-04
1.278356713426853863e+00,-1.601974223836767196e-03
1.288176352705410865e+00,-2.720559616502684405e-03
1.297995991983968089e+00,-3.526321205781184857e-03
1.307815631262525091e+00,-4.495346155113046430e-03
1.317635270541082315e+00,-5.449519567553787712e-03
1.327454909819639317e+00,-6.176017222482071620e-03
1.337274549098196541e+00,-7.145157965892334935e-03
1.347094188376753543e+00,-7.909999380681109055e-03
1.356913827655310767e+00,-8.637348103023743603e-03
1.366733466933867991e+00,-9.530175024105556197e-03
1.376553106212424993e+00,-1.014497734003383562e-02
1.386372745490982217e+00,-1.090340157131867299e-02
1.396192384769539219e+00,-1.165029595215545666e-02
1.406012024048096443e+00,-1.219311935895576841e-02
1.415831663326653445e+00,-1.295209157714459665e-02
1.425651302605210669e+00,-1.353008726958556361e-02
1.435470941883767670e+00,-1.407292479434571822e-02
1.445290581162324894e+00,-1.476482311992344601e-02
1.455110220440881896e+00,-1.520829351567348775e-02
1.464929859719439120e+00,-1.577921856046637927e-02
1.474749498997996122e+00,-1.634161448608479478e-02
1.484569138276553346e+00,-1.672025483548006397e-02
1.494388777555110348e+00,-1.729293786027646940e-02
1.504208416833667572e+00,-1.770461897525109699e-02
1.514028056112224574e+00,-1.808351330832164497e-02
1.523847695390781798e+00,-1.859776106509051369e-02
1.533667334669338800e+00,-1.888901505563607766e-02
1.543486973947896024e+00,-1.929432391752580744e-02
1.553306613226453026e+00,-1.969385252775058409e-02
1.563126252505010250e+00,-1.992728328228093870e-02
1.572945891783567252e+00,-2.033617075575276309e-02
1.582765531062124476e+00,-2.060133161784858877e-02
1.592585170340681477e+00,-2.083608472823117105e-02
1.602404809619238701e+00,-2.119466784129106149e-02
1.612224448897795703e+00,-2.135231051846981851e-02
1.622044088176352927e+00,-2.161282865861880245e-02
1.631863727454909929e+00,-2.187010500927205961e-02
1.641683366733467153e+00,-2.197675931721946446e-02
1.651503006012024155e+00,-2.224313028441090787e-02
1.661322645290581379e+00,-2.238083922748706350e-02
1.671142284569138381e+00,-2.249049808299564968e-02
1.680961923847695605e+00,-2.271423286557919599e-02
1.690781563126252607e+00,-2.275629548895750226e-02
1.700601202404809831e+00,-2.289184503428532899e-02
1.710420841683366833e+00,-2.302650426167196854e-02
1.720240480961924057e+00,-2.302419851534576872e-02
1.730060120240481059e+00,-2.316818450469149138e-02
1.739879759519038283e+00,-2.319673524577231527e-02
1.749699398797595284e+00,-2.319954456524214378e-02
1.759519038076152508e+00,-2.330811442992502397e-02
1.769338677354709510e+00,-2.325195541617918610e-02
1.779158316633266734e+00,-2.328134447612358396e-02
1.788977955911823736e+00,-2.331201954924240483e-02
1.798797595190380960e+00,-2.321784880868947229e-02
1.808617234468937962e+00,-2.325843751754715430e-02
1.818436873747495186e+00,-2.319526818597300935e-02
1.828256513026052188e+00,-2.310859170218208802e-02
1.838076152304609412e+00,-2.312053279845701151e-02
1.847895791583166414e+00,-2.298272305267344551e-02
1.857715430861723638e+00,-2.292369856870859340e-02
1.867535070140280640e+00,-2.286796599488779766e-02
1.877354709418837864e+00,-2.269818888099182225e-02
1.887174348697394866e+00,-2.265319205532248178e-02
1.896993987975952090e+00,-2.251479054950965286e-02
1.906813627254509091e+00,-2.235501914702300516e-02
1.916633266533066315e+00,-2.228767869288322476e-02
1.926452905811623317e+00,-2.208388501677936017e-02
1.936272545090180541e+00,-2.195306863949169490e-02
1.946092184368737543e+00,-2.182738028419568821e-02
1.955911823647294767e+00,-2.159730547964776315e-02
1.965731462925851769e+00,-2.148331000728110132e-02
1.975551102204408993e+00,-2.128511849743172299e-02
1.985370741482966217e+00,-2.106757786668195589e-02
1.995190380761523219e+00,-2.093706155063386129e-02
2.005010020040080221e+00,-2.068193757098714392e-02
2.014829659318637223e+00,-2.049475799207250634e-02
2.024649298597194669e+00,-2.031437146767818558e-02
2.034468937875751671e+00,-2.003825412594607489e-02
2.044288577154308673e+00,-1.987056942884059610e-02
2.054108216432865675e+00,-1.962689679900941203e-02
2.063927855711423121e+00,-1.936576323616589351e-02
2.073747494989980122e+00,-1.918688294224893051e-02
2.083567134268537124e+00,-1.889397393169687731e-02
2.093386773547094126e+00,-1.866460483690537270e-02
2.103206412825651572e+00,-1.844352099310126586e-02
2.113026052104208574e+00,-1.813447458995162687e-02
2.122845691382765576e+00,-1.792708523459678530e-02
2.132665330661323022e+00,-1.765103331483325322e-02
2.142484969939880024e+00,-1.735926340587020528e-02
2.152304609218437026e+00,-1.714549286598341868e-02
2.162124248496994028e+00,-1.682715857024377759e-02
2.171943887775551474e+00,-1.656846831302590320e-02
2.181763527054108476e+00,-1.631938144421289996e-02
2.191583166332665478e+00,-1.598930855285265323e-02
2.201402805611222480e+00,-1.575483798482049322e-02
2.211222444889779926e+00,-1.545824527887958849e-02
2.221042084168336928e+00,-1.514752306814292661e-02
2.230861723446893929e+00,-1.491096638565347736e-02
2.240681362725450931e+00,-1.457832426864424241e-02
2.250501002004008377e+00,-1.430184110497410149e-02
2.260320641282565379e+00,-1.403610536981067698e-02
2.270140280561122381e+00,-1.369564928451370671e-02
2.279959919839679383e+00,-1.344533837119984976e-02
2.289779559118236829e+00,-1.313874335017159445e-02
2.299599198396793831e+00,-1.281944698172442741e-02
2.309418837675350833e+00,-1.257082299382336794e-02
2.319238476953907835e+00,-1.223371300642784980e-02
2.329058116232465281e+00,-1.194960803738179429e-02
2.338877755511022283e+00,-1.167722197920360340e-02
2.348697394789579285e+00,-1.133573991428754764e-02
2.358517034068136287e+00,-1.107944231433054434e-02
2.368336673346693733e+00,-1.077206710096439632e-02
2.378156312625250735e+00,-1.045325568908129360e-02
2.387975951903807736e+00,-1.020189964633719595e-02
2.397795591182364738e+00,-9.868870612828251759e-03
2.407615230460922184e+00,-9.585959296220764730e-03
2.417434869739479186e+00,-9.315569132262739929e-03
2.427254509018036188e+00,-8.981126794509700084e-03
2.437074148296593190e+00,-8.727321911691518844e-03
2.446893787575150636e+00,-8.427076220430273351e-03
2.456713426853707638e+00,-8.116496758680613946e-03
2.466533066132264640e+00,-7.870379670468984415e-03
2.476352705410821642e+00,-7.548696601460767180e-03
2.486172344689379088e+00,-7.274458714220528345e-03
2.495991983967936090e+00,-7.013380129820307764e-03
2.505811623246493092e+00,-6.692766743663056649e-03
2.515631262525050094e+00,-6.448590066438102120e-03
2.525450901803607540e+00,-6.162094526914422589e-03
2.535270541082164542e+00,-5.866207919715038521e-03
2.545090180360721543e+00,-5.631973057606102367e-03
2.554909819639278545e+00,-5.327644094250620632e-03
2.564729458917835991e+00,-5.068261283748483163e-03
2.574549098196392993e+00,-4.822518760762796973e-03
2.584368737474949995e+00,-4.521281076212484498e-03
2.594188376753506997e+00,-4.292570982787394761e-03
2.604008016032064443e+00,-4.025198415599947482e-03
2.613827655310621445e+00,-3.749223167961295792e-03
2.623647294589178447e+00,-3.532238576588225126e-03
2.633466933867735893e+00,-3.250059815562479984e-03
2.643286573146292895e+00,-3.010469322516882117e-03
2.653106212424849897e+00,-2.784851504118080693e-03
2.662925851703406899e+00,-2.507344908654452354e-03
2.672745490981964345e+00,-2.298704483663597826e-03
2.682565130260521347e+00,-2.054637285072122375e-03
2.692384769539078349e+00,-1.802608984095668918e-03
2.702204408817635350e+00,-1.607034378488011788e-03
2.712024048096192796e+00,-1.350650497670729177e-03
2.721843687374749798e+00,-1.134613230818177967e-03
2.731663326653306800e+00,-9.327424451905789223e-04
2.741482965931863802e+00,-6.821970111360287862e-04
2.751302605210421248e+00,-4.970690385887701398e-04
2.761122244488978250e+00,-2.793705418232140928e-04
2.770941883767535252e+00,-5.421498380058177086e-05
2.780761523046092254e+00,1.169189172270331846e-04
2.790581162324649700e+00,3.449405347436134447e-04
2.800400801603206702e+00,5.347596672534213466e-04
2.810220440881763704e+00,7.103458585594003621e-04
2.820040080160320706e+00,9.317467471988283160e-04
2.829859719438878152e+00,1.090993705153814417e-03
2.839679358717435154e+00,1.280296208405722579e-03
2.849498997995992156e+00,1.476678567104915910e-03
2.859318637274549157e+00,1.621380433860581099e-03
2.869138276553106603e+00,1.819464509358365185e-03
2.878957915831663605e+00,1.981406275235840422e-03
2.888777555110220607e+00,2.129163791714773057e-03
2.898597194388777609e+00,2.320194688337968471e-03
2.908416833667335055e+00,2.452171366813869161e-03
2.918236472945892057e+00,2.611994355620989548e-03
2.928056112224449059e+00,2.778635032481668182e-03
2.937875751503006061e+00,2.895855319349768548e-03
2.947695390781563507e+00,3.063324903129044288e-03
2.957515030060120509e+00,3.196637769318653923e-03
2.967334669338677511e+00,3.315917341635498793e-03
2.977154308617234513e+00,3.476214340817247294e-03
2.986973947895791959e+00,3.580409302564820963e-03
2.996793587174348961e+00,3.710513935305958903e-03
3.006613226452905963e+00,3.847276559986331345e-03
3.016432865731462964e+00,3.936804208478673038e-03
3.026252505010020410e+00,4.073780781733874617e-03
3.036072144288577412e+00,4.178517629431045127e-03
3.045891783567134414e+00,4.269461089728028395e-03
3.055711422845691416e+00,4.399420222678042912e-03
3.065531062124248862e+00,4.476094130759218463e-03
3.075350701402805864e+00,4.576982714276096008e-03
3.085170340681362866e+00,4.684459037600215668e-03
3.094989979959919868e+00,4.746814756596982356e-03
3.104809619238477314e+00,4.854114594794709664e-03
3.114629258517034316e+00,4.931026406076717203e-03
3.124448897795591318e+00,4.994460212491623301e-03
3.134268537074148320e+00,5.095132974466507099e-03
3.144088176352705766e+00,5.145210818978273107e-03
3.153907815631262768e+00,5.218021117555076555e-03
3.163727454909819770e+00,5.297425150982547348e-03
3.173547094188376771e+00,5.333753444199666738e-03
3.183366733466934217e+00,5.412782498980163275e-03
3.193186372745491219e+00,5.463211183674349103e-03
3.203006012024048221e+00,5.500539332110277249e-03
3.212825651302605223e+00,5.573527539734051718e-03
3.222645290581162669e+00,5.598490907239314293e-03
3.232464929859719671e+00,5.644890424627715432e-03
3.242284569138276673e+00,5.697952816018735274e-03
3.252104208416834119e+00,5.709914785853787388e-03
3.261923847695391121e+00,5.762564179515605040e-03
3.271743486973948123e+00,5.788336552319335061e-03
3.281563126252505125e+00,5.801434862412386574e-03
3.291382765531062571e+00,5.848786860017322030e-03
3.301202404809619573e+00,5.850568161010051213e-03
3.311022044088176575e+00,5.872650344289934328e-03
3.320841683366733577e+00,5.901514919845730900e-03
3.330661322645291023e+00,5.891183703443682133e-03
3.340480961923848024e+00,5.919727723718804131e-03
3.350300601202405026e+00,5.923052445237838616e-03
3.360120240480962028e+00,5.914166025321696343e-03
3.369939879759519474e+00,5.938276052370630546e-03
3.379759519038076476e+00,5.919156438394616686e-03
