# kF r, W(r)
1.000000000000000056e-01,4.293521051826826529e+00
1.098196392785571185e-01,3.752359290837769645e+00
1.196392785571142314e-01,3.497656022519586738e+00
1.294589178356713444e-01,3.150234030230337989e+00
1.392785571142284573e-01,2.866870906487239967e+00
1.490981963927855702e-01,2.700566548129797795e+00
1.589178356713427109e-01,2.445271335864694695e+00
1.687374749498998239e-01,2.294586239980317632e+00
1.785571142284569368e-01,2.152934149910065820e+00
1.883767535070140497e-01,1.976172582154974711e+00
1.981963927855711627e-01,1.886641026452960501e+00
2.080160320641282756e-01,1.757495470459526032e+00
2.178356713426853886e-01,1.644534744460289355e+00
2.276553106212425015e-01,1.575695832993782686e+00
2.374749498997996144e-01,1.464533487563623559e+00
2.472945891783567274e-01,1.395829166101517416e+00
2.571142284569138403e-01,1.329636013576082076e+00
2.669338677354709533e-01,1.243397466962561593e+00
2.767535070140280662e-01,1.198582711300367976e+00
2.865731462925851791e-01,1.132252066428908632e+00
2.963927855711422921e-01,1.072298093243139405e+00
3.062124248496994050e-01,1.035326714607689880e+00
3.160320641282565179e-01,9.738438283806971629e-01
3.258517034068136309e-01,9.350424018280649729e-01
3.356713426853707993e-01,8.972694400885286026e-01
3.454909819639279123e-01,8.467142906933479152e-01
3.553106212424850252e-01,8.202408782540061560e-01
3.651302605210421381e-01,7.803537541504033115e-01
3.749498997995992511e-01,7.435866131991104577e-01
3.847695390781563640e-01,7.209155541333833739e-01
3.945891783567134770e-01,6.823016304311083635e-01
4.044088176352705899e-01,6.577105163658787390e-01
4.142284569138277028e-01,6.336663503793719121e-01
4.240480961923848158e-01,6.007852647211536778e-01
4.338677354709419287e-01,5.836235040682338227e-01
4.436873747494990416e-01,5.573369664576980353e-01
4.535070140280561546e-01,5.327793043898774172e-01
4.633266533066132675e-01,5.177623131384554434e-01
4.731462925851703805e-01,4.915600743429622277e-01
4.829659318637274934e-01,4.748489227673072799e-01
4.927855711422846063e-01,4.584901870884531272e-01
5.026052104208417193e-01,4.356578849866107883e-01
5.124248496993988322e-01,4.238859147768938018e-01
5.222444889779559452e-01,4.055236743330731253e-01
5.320641282565130581e-01,3.881961468747671673e-01
5.418837675350701710e-01,3.777653066845066410e-01
5.517034068136272840e-01,3.590585609156430880e-01
5.615230460921843969e-01,3.471832074671927781e-01
5.713426853707415098e-01,3.355681970349647103e-01
5.811623246492986228e-01,3.190029511975269738e-01
5.909819639278557357e-01,3.106396896393916474e-01
6.008016032064128487e-01,2.973045252891095558e-01
6.106212424849699616e-01,2.846191550286809036e-01
6.204408817635270745e-01,2.771592506764703479e-01
6.302605210420841875e-01,2.633301900103393600e-01
6.400801603206413004e-01,2.546416530988930838e-01
6.498997995991984133e-01,2.461638733041639215e-01
6.597194388777555263e-01,2.337739858130115922e-01
6.695390781563126392e-01,2.277071311595252889e-01
6.793587174348697522e-01,2.177628151998493855e-01
6.891783567134268651e-01,2.082379794804580797e-01
6.989979959919839780e-01,2.028143739972770865e-01
7.088176352705410910e-01,1.923381458612436756e-01
7.186372745490982039e-01,1.858621859317386438e-01
7.284569138276553169e-01,1.795671023706092717e-01
7.382765531062124298e-01,1.700988199532460499e-01
7.480961923847695427e-01,1.656526181386513696e-01
7.579158316633266557e-01,1.581025599062194364e-01
7.677354709418837686e-01,1.508260537232279652e-01
7.775551102204408815e-01,1.468577106478107241e-01
7.873747494989979945e-01,1.387834608467124753e-01
7.971943887775551074e-01,1.339048764477564768e-01
8.070140280561122204e-01,1.291872938514068703e-01
8.168336673346693333e-01,1.218410642698010554e-01
8.266533066132264462e-01,1.185789500664784363e-01
8.364729458917835592e-01,1.127793537866532136e-01
8.462925851703406721e-01,1.071566497600430351e-01
8.561122244488977850e-01,1.042613206387851960e-01
8.659318637274548980e-01,9.796340857906611632e-02
8.757515030060120109e-01,9.427263690043286015e-02
8.855711422845691239e-01,9.072849055128992535e-02
8.953907815631262368e-01,8.496858938226192759e-02
9.052104208416833497e-01,8.259424120200936636e-02
9.150300601202404627e-01,7.810909126967240101e-02
9.248496993987975756e-01,7.373451656055096670e-02
9.346693386773546885e-01,7.164892517186838283e-02
9.444889779559118015e-01,6.669739885599172691e-02
9.543086172344689144e-01,6.390979545568925557e-02
9.641282565130260274e-01,6.125769016812332435e-02
9.739478957915831403e-01,5.671039378012768251e-02
9.837675350701402532e-01,5.501436656028545202e-02
9.935871743486973662e-01,5.153669684395000006e-02
1.003406813627254479e+00,4.812280183195880717e-02
1.013226452905811703e+00,4.665862569501441626e-02
1.023046092184368705e+00,4.274722160904571855e-02
1.032865731462925929e+00,4.065779765589851158e-02
1.042685370741483153e+00,3.869480345355895412e-02
1.052505010020040155e+00,3.509053206943915648e-02
1.062324649298597379e+00,3.391972737029345930e-02
1.072144288577154381e+00,3.122634391223028452e-02
1.081963927855711605e+00,2.856294903751252154e-02
1.091783567134268607e+00,2.758117578867824715e-02
1.101603206412825831e+00,2.448510053266955699e-02
1.111422845691382832e+00,2.294178759359723208e-02
1.121242484969940056e+00,2.151723112412511421e-02
1.131062124248497058e+00,1.865600112951891834e-02
1.140881763527054282e+00,1.789533172657556057e-02
1.150701402805611284e+00,1.581950498094316163e-02
1.160521042084168508e+00,1.374882844949765898e-02
1.170340681362725510e+00,1.314411977188303243e-02
1.180160320641282734e+00,1.069416892817631054e-02
1.189979959919839736e+00,9.581325464066666950e-03
1.199799599198396960e+00,8.580572045119362959e-03
1.209619238476953962e+00,6.310488839301467250e-03
1.219438877755511186e+00,5.871406132781297263e-03
1.229258517034068188e+00,4.285726668486670651e-03
1.239078156312625412e+00,2.686674599104559372e-03
1.248897795591182414e+00,2.377455699514713621e-03
1.258717434869739638e+00,4.435377692326169271e-04
1.268537074148296639e+00,-3.286104079679718097e-04
1.278356713426853863e+00,-9.945658301633909272e-04
1.288176352705410865e+00,-2.791182032539551473e-03
1.297995991983968089e+00,-2.978124126005739225e-03
1.307815631262525091e+00,-4.172886315779626189e-03
1.317635270541082315e+00,-5.394983078815612787e-03
1.327454909819639317e+00,-5.473019236102880276e-03
1.337274549098196541e+00,-6.992718767038598633e-03
1.347094188376753543e+00,-7.495060145195754295e-03
1.356913827655310767e+00,-7.896489320932268199e-03
1.366733466933867991e+00,-9.312334704539793062e-03
1.376553106212424993e+00,-9.302450851067648949e-03
1.386372745490982217e+00,-1.018480672028681741e-02
1.396192384769539219e+00,-1.110509843026100986e-02
1.406012024048096443e+00,-1.100337653613288509e-02
1.415831663326653445e+00,-1.218972816770707603e-02
1.425651302605210669e+00,-1.247901479937027838e-02
1.435470941883767670e+00,-1.267215544645206027e-02
1.445290581162324894e+00,-1.378125439745610595e-02
1.455110220440881896e+00,-1.361914410317977692e-02
1.464929859719439120e+00,-1.425201642138025637e-02
1.474749498997996122e+00,-1.493090482321807362e-02
1.484569138276553346e+00,-1.469100785607214965e-02
1.494388777555110348e+00,-1.560902828805960270e-02
1.504208416833667572e+00,-1.573119024293243712e-02
1.514028056112224574e+00,-1.576153029654649845e-02
1.523847695390781798e+00,-1.662365779131435087e-02
1.533667334669338800e+00,-1.634561290093855535e-02
1.543486973947896024e+00,-1.677995085757703550e-02
1.553306613226453026e+00,-1.726646362722439668e-02
1.563126252505010250e+00,-1.692229298877419644e-02
1.572945891783567252e+00,-1.762476069370464207e-02
1.582765531062124476e+00,-1.761727393377010217e-02
1.592585170340681477e+00,-1.752190067639759763e-02
1.602404809619238701e+00,-1.818575047295251795e-02
1.612224448897795703e+00,-1.782149182531197681e-02
1.622044088176352927e+00,-1.809887417050754302e-02
1.631863727454909929e+00,-1.843310449267056977e-02
1.641683366733467153e+00,-1.801245004244042894e-02
1.651503006012024155e+00,-1.854252813460085039e-02
1.661322645290581379e+00,-1.843614349680858938e-02
1.671142284569138381e+00,-1.824546065276914583e-02
1.680961923847695605e+00,-1.875096196956196198e-02
