# kF r, W(r)
1.000000000000000056e-01,6.564277758849498268e-01
1.098196392785571185e-01,5.582636742452223855e-01
1.196392785571142314e-01,5.122024699764885503e-01
1.294589178356713444e-01,4.493025296425190995e-01
1.392785571142284573e-01,3.980685495354553405e-01
1.490981963927855702e-01,3.681365549648439872e-01
1.589178356713427109e-01,3.220426601377866516e-01
1.687374749498998239e-01,2.949867237719010493e-01
1.785571142284569368e-01,2.695907727134692067e-01
1.883767535070140497e-01,2.378285852449914528e-01
1.981963927855711627e-01,2.219433903754470250e-01
2.080160320641282756e-01,1.988723269611664124e-01
2.178356713426853886e-01,1.787603245468422364e-01
2.276553106212425015e-01,1.666865237190920945e-01
2.374749498997996144e-01,1.469332966400971330e-01
2.472945891783567274e-01,1.349151451328582940e-01
2.571142284569138403e-01,1.233686972212267863e-01
2.669338677354709533e-01,1.081924534934734228e-01
2.767535070140280662e-01,1.005623246288310374e-01
2.865731462925851791e-01,8.903442898495080027e-02
2.963927855711422921e-01,7.867983923262553136e-02
3.062124248496994050e-01,7.251751346450861779e-02
3.160320641282565179e-01,6.191186123468032931e-02
3.258517034068136309e-01,5.544312437330637527e-02
3.356713426853707993e-01,4.917409857364601206e-02
3.454909819639279123e-01,4.059346150632391070e-02
3.553106212424850252e-01,3.640345187767519280e-02
3.651302605210421381e-01,2.978642396058575267e-02
3.749498997995992511e-01,2.374821427464729809e-02
3.847695390781563640e-01,2.028418898067584075e-02
3.945891783567134770e-01,1.393243497104729861e-02
4.044088176352705899e-01,1.014097189441004118e-02
4.142284569138277028e-01,6.459360079628850317e-03
4.240480961923848158e-01,1.181160490561274003e-03
4.338677354709419287e-01,-1.229134590426383565e-03
4.436873747494990416e-01,-5.288912279724288651e-03
4.535070140280561546e-01,-9.025057040470680150e-03
4.633266533066132675e-01,-1.101751642766281118e-02
4.731462925851703805e-01,-1.503491131444755630e-02
4.829659318637274934e-01,-1.731817828400164516e-02
4.927855711422846063e-01,-1.952916218224430567e-02
5.026052104208417193e-01,-2.290921699166600239e-02
5.124248496993988322e-01,-2.427062551477635402e-02
5.222444889779559452e-01,-2.682285045041091567e-02
5.320641282565130581e-01,-2.917979150882666489e-02
5.418837675350701710e-01,-3.027589343901643595e-02
5.517034068136272840e-01,-3.287006567741241475e-02
5.615230460921843969e-01,-3.421578090174759446e-02
5.713426853707415098e-01,-3.550802735982482028e-02
5.811623246492986228e-01,-3.769443283735959827e-02
5.909819639278557357e-01,-3.838393241861948885e-02
6.008016032064128487e-01,-3.997202389249950027e-02
6.106212424849699616e-01,-4.143682397439871212e-02
6.204408817635270745e-01,-4.194663356226373263e-02
6.302605210420841875e-01,-4.360980480463909348e-02
6.400801603206413004e-01,-4.433390539190859569e-02
6.498997995991984133e-01,-4.501549108063622462e-02
6.597194388777555263e-01,-4.640440594692348680e-02
6.695390781563126392e-01,-4.663994536857427042e-02
6.793587174348697522e-01,-4.757697237462704676e-02
6.891783567134268651e-01,-4.843445029531993212e-02
6.989979959919839780e-01,-4.854319315388795630e-02
7.088176352705410910e-01,-4.956775862172593111e-02
7.186372745490982039e-01,-4.986238498465613012e-02
7.284569138276553169e-01,-5.012172320798467112e-02
7.382765531062124298e-01,-5.095581886945881739e-02
7.480961923847695427e-01,-5.087483249978481947e-02
7.579158316633266557e-01,-5.135641614351029588e-02
7.677354709418837686e-01,-5.178670208470442099e-02
7.775551102204408815e-01,-5.161414699847510779e-02
7.873747494989979945e-01,-5.218696530053312105e-02
7.971943887775551074e-01,-5.217779771301812863e-02
8.070140280561122204e-01,-5.213859810528082006e-02
8.168336673346693333e-01,-5.257676975238381040e-02
8.266533066132264462e-01,-5.227200235736131906e-02
8.364729458917835592e-01,-5.242841221753078568e-02
8.462925851703406721e-01,-5.255266374685161473e-02
8.561122244488977850e-01,-5.218121737050776532e-02
8.659318637274548980e-01,-5.242879293944197744e-02
8.757515030060120109e-01,-5.220289306177643140e-02
8.855711422845691239e-01,-5.195106119252022175e-02
8.953907815631262368e-01,-5.210299558394355240e-02
9.052104208416833497e-01,-5.164044871153587735e-02
9.150300601202404627e-01,-5.156292738309825596e-02
9.248496993987975756e-01,-5.146671194679578593e-02
9.346693386773546885e-01,-5.095589276290186931e-02
