# kF r, W(r)
1.000000000000000056e-01,4.518681112611751871e+00
1.098196392785571185e-01,3.976856995315817489e+00
1.196392785571142314e-01,3.721469973323928926e+00
1.294589178356713444e-01,3.373342804381803450e+00
1.392785571142284573e-01,3.089253640162010761e+00
1.490981963927855702e-01,2.922202797301413302e+00
1.589178356713427109e-01,2.666140808634999804e+00
1.687374749498998239e-01,2.514669220876404321e+00
1.785571142284569368e-01,2.372211178039645763e+00
1.883767535070140497e-01,2.194624514021035200e+00
1.981963927855711627e-01,2.104249206232632563e+00
2.080160320641282756e-01,1.974241459783222963e+00
2.178356713426853886e-01,1.860400521091492676e+00
2.276553106212425015e-01,1.790663753334271080e+00
2.374749498997996144e-01,1.678586164853252516e+00
2.472945891783567274e-01,1.608949652820377718e+00
2.571142284569138403e-01,1.541807662604133045e+00
2.669338677354709533e-01,1.454603951596143974e+00
2.767535070140280662e-01,1.408808112083699715e+00
2.865731462925851791e-01,1.341480735048687922e+00
2.963927855711422921e-01,1.280514750322179873e+00
3.062124248496994050e-01,1.242516433665237008e+00
3.160320641282565179e-01,1.179991966207970311e+00
3.258517034068136309e-01,1.140134698856255957e+00
3.356713426853707993e-01,1.101291943230254144e+00
3.454909819639279123e-01,1.049653361423414477e+00
3.553106212424850252e-01,1.022083244617923103e+00
3.651302605210421381e-01,9.810864287111914495e-01
3.749498997995992511e-01,9.431969503809322086e-01
3.847695390781563640e-01,9.193912413216719370e-01
3.945891783567134770e-01,8.796306426494610031e-01
4.044088176352705899e-01,8.538811792326352901e-01
4.142284569138277028e-01,8.286672908213954525e-01
4.240480961923848158e-01,7.946054143012831750e-01
4.338677354709419287e-01,7.762521333322131012e-01
4.436873747494990416e-01,7.487636297255271245e-01
4.535070140280561546e-01,7.229938768810916239e-01
4.633266533066132675e-01,7.067549852627399432e-01
4.731462925851703805e-01,6.793213193488588653e-01
4.829659318637274934e-01,6.613695395776451047e-01
4.927855711422846063e-01,6.437612658475317939e-01
5.026052104208417193e-01,6.196708080570709765e-01
5.124248496993988322e-01,6.066323808317509725e-01
5.222444889779559452e-01,5.869956583681510409e-01
5.320641282565130581e-01,5.683859257961747513e-01
5.418837675350701710e-01,5.566654550645571131e-01
5.517034068136272840e-01,5.366619264662163546e-01
