# kF r, W(r)
1.000000000000000056e-01,4.381093311250434219e+00
1.098196392785571185e-01,3.839863399593396842e+00
1.196392785571142314e-01,3.585085675637540437e+00
1.294589178356713444e-01,3.237582942339508385e+00
1.392785571142284573e-01,2.954132812986706824e+00
1.490981963927855702e-01,2.787735206768961138e+00
1.589178356713427109e-01,2.532340528189506390e+00
1.687374749498998239e-01,2.381549772805887866e+00
1.785571142284569368e-01,2.239785856561090416e+00
1.883767535070140497e-01,2.062906323991473556e+00
1.981963927855711627e-01,1.973250694163735774e+00
2.080160320641282756e-01,1.843974985382347276e+00
2.178356713426853886e-01,1.730878059877056341e+00
2.276553106212425015e-01,1.661896935400745789e+00
2.374749498997996144e-01,1.550586397916735582e+00
2.472945891783567274e-01,1.481727941036998120e+00
2.571142284569138403e-01,1.415374746606276268e+00
2.669338677354709533e-01,1.328970289596964838e+00
2.767535070140280662e-01,1.283983794369156550e+00
2.865731462925851791e-01,1.217475620976167905e+00
2.963927855711422921e-01,1.157338371753338535e+00
3.062124248496994050e-01,1.120178012053312688e+00
3.160320641282565179e-01,1.058500483271817227e+00
3.258517034068136309e-01,1.019498797237891718e+00
3.356713426853707993e-01,9.815200046550370816e-01
3.454909819639279123e-01,9.307534995971026293e-01
3.553106212424850252e-01,9.040632541722934956e-01
3.651302605210421381e-01,8.639538681877957371e-01
3.749498997995992511e-01,8.269590857945740003e-01
3.847695390781563640e-01,8.040550559440619027e-01
3.945891783567134770e-01,7.652028831929057473e-01
4.044088176352705899e-01,7.403682937065018121e-01
4.142284569138277028e-01,7.160754787064376181e-01
4.240480961923848158e-01,6.829406239402808776e-01
4.338677354709419287e-01,6.655200283767386260e-01
4.436873747494990416e-01,6.389696450911583891e-01
4.535070140280561546e-01,6.141431823463084916e-01
4.633266533066132675e-01,5.988524918802391461e-01
4.731462925851703805e-01,5.723717124766803943e-01
4.829659318637274934e-01,5.553772367016239775e-01
4.927855711422846063e-01,5.387304516701945101e-01
5.026052104208417193e-01,5.156054341152030984e-01
5.124248496993988322e-01,5.035361419973041208e-01
5.222444889779559452e-01,4.848720334074185789e-01
5.320641282565130581e-01,4.672381523327454045e-01
5.418837675350701710e-01,4.564965343528119557e-01
5.517034068136272840e-01,4.374746484265280566e-01
5.615230460921843969e-01,4.252798547463420009e-01
5.713426853707415098e-01,4.133411667688466351e-01
5.811623246492986228e-01,3.964480692803897255e-01
5.909819639278557357e-01,3.877528456000747803e-01
6.008016032064128487e-01,3.740816726978428153e-01
6.106212424849699616e-01,3.610563118840411367e-01
6.204408817635270745e-01,3.532524997726725347e-01
6.302605210420841875e-01,3.390756792850382340e-01
6.400801603206413004e-01,3.300355959616700918e-01
6.498997995991984133e-01,3.212025489458810723e-01
6.597194388777555263e-01,3.084537394962106327e-01
6.695390781563126392e-01,3.020243744900549254e-01
6.793587174348697522e-01,2.917140263799011257e-01
6.891783567134268651e-01,2.818197035431975195e-01
6.989979959919839780e-01,2.760232230232526618e-01
7.088176352705410910e-01,2.651707991767622286e-01
7.186372745490982039e-01,2.583153902893917109e-01
7.284569138276553169e-01,2.516376721121415527e-01
7.382765531062124298e-01,2.417836371549530738e-01
7.480961923847695427e-01,2.369486327394983993e-01
7.579158316633266557e-01,2.290067898188713480e-01
7.677354709418837686e-01,2.213355849281828935e-01
7.775551102204408815e-01,2.169696972708303750e-01
7.873747494989979945e-01,2.084951252197425886e-01
7.971943887775551074e-01,2.032135091535325899e-01
8.070140280561122204e-01,1.980902537519385331e-01
8.168336673346693333e-01,1.903357785189323803e-01
8.266533066132264462e-01,1.866629141067206177e-01
8.364729458917835592e-01,1.804501313304860965e-01
8.462925851703406721e-01,1.744118727558819082e-01
8.561122244488977850e-01,1.710986892218139543e-01
8.659318637274548980e-01,1.643806910071311245e-01
8.757515030060120109e-01,1.602676694752005471e-01
8.855711422845691239e-01,1.562991775399988625e-01
8.953907815631262368e-01,1.501129028643684304e-01
9.052104208416833497e-01,1.473102209931874407e-01
9.150300601202404627e-01,1.423948447706510079e-01
9.248496993987975756e-01,1.375882186075751135e-01
9.346693386773546885e-01,1.350688178736221823e-01
