# kF r, W(r)
1.000000000000000056e-01,6.435658495813048052e-01
1.098196392785571185e-01,5.454187994476812351e-01
1.196392785571142314e-01,4.993762238713159163e-01
1.294589178356713444e-01,4.364964844019352253e-01
1.392785571142284573e-01,3.852842718911366759e-01
1.490981963927855702e-01,3.553756057471338936e-01
1.589178356713427109e-01,3.093065938990648966e-01
1.687374749498998239e-01,2.822770883580550394e-01
1.785571142284569368e-01,2.569091088517957422e-01
1.883767535070140497e-01,2.251764261350757967e-01
1.981963927855711627e-01,2.093222612831986129e-01
2.080160320641282756e-01,1.862837448161850928e-01
2.178356713426853886e-01,1.662057975432877088e-01
2.276553106212425015e-01,1.541675509202247163e-01
2.374749498997996144e-01,1.344513675866559343e-01
2.472945891783567274e-01,1.224717394554380168e-01
2.571142284569138403e-01,1.109652842568123188e-01
2.669338677354709533e-01,9.583049190628731284e-02
2.767535070140280662e-01,8.824326203564399063e-02
2.865731462925851791e-01,7.675970158500458607e-02
2.963927855711422921e-01,6.645087144231112686e-02
3.062124248496994050e-01,6.033571755693980382e-02
3.160320641282565179e-01,4.977863698429955269e-02
3.258517034068136309e-01,4.335985870145397936e-02
3.356713426853707993e-01,3.714216521624529727e-02
3.454909819639279123e-01,2.861422066172178771e-02
3.553106212424850252e-01,2.447824987688019399e-02
3.651302605210421381e-01,1.791659293894152377e-02
3.749498997995992511e-01,1.193507184927358224e-02
3.847695390781563640e-01,8.529037933785106260e-03
3.945891783567134770e-01,2.236562939241807258e-03
4.044088176352705899e-01,-1.494348935940528365e-03
4.142284569138277028e-01,-5.114153111574868023e-03
4.240480961923848158e-01,-1.032930466465704911e-02
4.338677354709419287e-01,-1.267532764252235142e-02
4.436873747494990416e-01,-1.666962576153013104e-02
4.535070140280561546e-01,-2.033910036676871147e-02
4.633266533066132675e-01,-2.226371615839360663e-02
4.731462925851703805e-01,-2.621211141429579533e-02
4.829659318637274934e-01,-2.842524037524398611e-02
4.927855711422846063e-01,-3.056496579079477985e-02
5.026052104208417193e-01,-3.387265978625883522e-02
5.124248496993988322e-01,-3.516062353923039840e-02
5.222444889779559452e-01,-3.763833834892274521e-02
5.320641282565130581e-01,-3.991972274424461509e-02
5.418837675350701710e-01,-4.093924050405051834e-02
5.517034068136272840e-01,-4.345582029873958779e-02
5.615230460921843969e-01,-4.472295423697535133e-02
5.713426853707415098e-01,-4.593565018727999161e-02
5.811623246492986228e-01,-4.804155573510857091e-02
5.909819639278557357e-01,-4.864962595054451999e-02
6.008016032064128487e-01,-5.015537876564821196e-02
6.106212424849699616e-01,-5.153695120340839181e-02
6.204408817635270745e-01,-5.196266462290521221e-02
6.302605210420841875e-01,-5.354089178006293109e-02
6.400801603206413004e-01,-5.417922111158503251e-02
6.498997995991984133e-01,-5.477422925198400377e-02
6.597194388777555263e-01,-5.607578127962635495e-02
6.695390781563126392e-01,-5.622319369158678554e-02
6.793587174348697522e-01,-5.707135074587461193e-02
6.891783567134268651e-01,-5.783923710410165259e-02
6.989979959919839780e-01,-5.785768821599328315e-02
7.088176352705410910e-01,-5.879128326727973280e-02
7.186372745490982039e-01,-5.899428213870967774e-02
7.284569138276553169e-01,-5.916135746387295863e-02
7.382765531062124298e-01,-5.990257655494721223e-02
7.480961923847695427e-01,-5.972812173603200825e-02
7.579158316633266557e-01,-6.011566689687564830e-02
7.677354709418837686e-01,-6.045136621143223921e-02
7.775551102204408815e-01,-6.018369828228960217e-02
7.873747494989979945e-01,-6.066089948318176273e-02
7.971943887775551074e-01,-6.055563251780245876e-02
8.070140280561122204e-01,-6.041987325361729277e-02
8.168336673346693333e-01,-6.076104697343896743e-02
8.266533066132264462e-01,-6.035886539080858454e-02
8.364729458917835592e-01,-6.041746680947789744e-02
8.462925851703406721e-01,-6.044353763899074777e-02
8.561122244488977850e-01,-5.997356028254181154e-02
8.659318637274548980e-01,-6.012227654484312428e-02
8.757515030060120109e-01,-5.979721095693540933e-02
8.855711422845691239e-01,-5.944592885934613796e-02
8.953907815631262368e-01,-5.949815034221993953e-02
9.052104208416833497e-01,-5.893564967993808468e-02
9.150300601202404627e-01,-5.875795541352506896e-02
9.248496993987975756e-01,-5.856136955803684097e-02
9.346693386773546885e-01,-5.795000407869005388e-02
9.444889779559118015e-01,-5.786130041127818951e-02
9.543086172344689144e-01,-5.738091992486302195e-02
9.641282565130260274e-01,-5.687784550068655104e-02
9.739478957915831403e-01,-5.672146911960568999e-02
9.837675350701402532e-01,-5.604897114874602543e-02
9.935871743486973662e-01,-5.570286968194103350e-02
1.003406813627254479e+00,-5.534780220910013454e-02
1.013226452905811703e+00,-5.464103504616111412e-02
1.023046092184368705e+00,-5.438217568725299544e-02
1.032865731462925929e+00,-5.379516445697332672e-02
1.042685370741483153e+00,-5.318844057266010339e-02
1.052505010020040155e+00,-5.288355997623710170e-02
1.062324649298597379e+00,-5.213981217807594354e-02
1.072144288577154381e+00,-5.167662754641198786e-02
1.081963927855711605e+00,-5.121186783550698424e-02
1.091783567134268607e+00,-5.044538019992227812e-02
1.101603206412825831e+00,-5.006747398931461757e-02
1.111422845691382832e+00,-4.941154899878735102e-02
1.121242484969940056e+00,-4.873846967348005599e-02
1.131062124248497058e+00,-4.833117492427684014e-02
1.140881763527054282e+00,-4.754666208312718217e-02
1.150701402805611284e+00,-4.700609893359404545e-02
1.160521042084168508e+00,-4.646955507093232518e-02
1.170340681362725510e+00,-4.567155016095972297e-02
1.180160320641282734e+00,-4.521424262374577896e-02
1.189979959919839736e+00,-4.451914105278315104e-02
1.199799599198396960e+00,-4.380909084503144951e-02
1.209619238476953962e+00,-4.333537159166765684e-02
1.219438877755511186e+00,-4.253439660874676342e-02
1.229258517034068188e+00,-4.194765433521751435e-02
1.239078156312625412e+00,-4.136920853113215668e-02
1.248897795591182414e+00,-4.056221460827632436e-02
1.258717434869739638e+00,-4.005668684123173812e-02
1.268537074148296639e+00,-3.934609128638598408e-02
1.278356713426853863e+00,-3.862244520585218083e-02
1.288176352705410865e+00,-3.811072266761818955e-02
1.297995991983968089e+00,-3.731277001700251950e-02
1.307815631262525091e+00,-3.670458179794150455e-02
1.317635270541082315e+00,-3.610797188748073039e-02
1.327454909819639317e+00,-3.531004079109876376e-02
1.337274549098196541e+00,-3.478099907783435002e-02
1.347094188376753543e+00,-3.407382835753348244e-02
1.356913827655310767e+00,-3.335522911060077172e-02
1.366733466933867991e+00,-3.282805978769333388e-02
1.376553106212424993e+00,-3.204872658321130524e-02
1.386372745490982217e+00,-3.143874495190957657e-02
1.396192384769539219e+00,-3.084285102932122352e-02
1.406012024048096443e+00,-3.006838842596622555e-02
1.415831663326653445e+00,-2.953543226569904645e-02
1.425651302605210669e+00,-2.884674152412450288e-02
1.435470941883767670e+00,-2.814799234739712858e-02
