# kF r, W(r)
1.000000000000000056e-01,8.334686339830643664e-01
1.098196392785571185e-01,7.346097250280982927e-01
1.196392785571142314e-01,6.878309542060091486e-01
1.294589178356713444e-01,6.241907319396720055e-01
1.392785571142284573e-01,5.721944021144904635e-01
1.490981963927855702e-01,5.414784948373162488e-01
1.589178356713427109e-01,4.945793529377225939e-01
1.687374749498998239e-01,4.666975019792807822e-01
1.785571142284569368e-01,4.404553040770997629e-01
1.883767535070140497e-01,4.078269377152278219e-01
1.981963927855711627e-01,3.910562078781738005e-01
2.080160320641282756e-01,3.670805508811453843e-01
2.178356713426853886e-01,3.460453987001189669e-01
2.276553106212425015e-01,3.330303556773253071e-01
2.374749498997996144e-01,3.123181320136213523e-01
2.472945891783567274e-01,2.993237556431606605e-01
2.571142284569138403e-01,2.867842372948202212e-01
2.669338677354709533e-01,2.705984807477698206e-01
2.767535070140280662e-01,2.619428890327730186e-01
2.865731462925851791e-01,2.493739322787457413e-01
2.963927855711422921e-01,2.379631354118490472e-01
3.062124248496994050e-01,2.307298918016343070e-01
3.160320641282565179e-01,2.190389740132871743e-01
3.258517034068136309e-01,2.114710899328102744e-01
3.356713426853707993e-01,2.040894211654206702e-01
3.454909819639279123e-01,1.943830390506750272e-01
3.553106212424850252e-01,1.890546290019406717e-01
3.651302605210421381e-01,1.812869066885936797e-01
3.749498997995992511e-01,1.740861284559881150e-01
3.847695390781563640e-01,1.694480704989195508e-01
3.945891783567134770e-01,1.619111821046197164e-01
4.044088176352705899e-01,1.569239095144689122e-01
4.142284569138277028e-01,1.520361879768547531e-01
4.240480961923848158e-01,1.455419559535038598e-01
4.338677354709419287e-01,1.419061177740289503e-01
4.436873747494990416e-01,1.366116405091798436e-01
4.535070140280561546e-01,1.316320312390308056e-01
4.633266533066132675e-01,1.283877271025725963e-01
4.731462925851703805e-01,1.231104575580894700e-01
4.829659318637274934e-01,1.195596795383986333e-01
4.927855711422846063e-01,1.160739051383873482e-01
5.026052104208417193e-01,1.114121372939276683e-01
5.124248496993988322e-01,1.087624739060863988e-01
5.222444889779559452e-01,1.049157906355950992e-01
5.320641282565130581e-01,1.012585514238660278e-01
5.418837675350701710e-01,9.885666967207239197e-02
5.517034068136272840e-01,9.495156765152486245e-02
5.615230460921843969e-01,9.229013490230010552e-02
5.713426853707415098e-01,8.967771772194177426e-02
5.811623246492986228e-01,8.616702134659633139e-02
5.909819639278557357e-01,8.414946064985451279e-02
6.008016032064128487e-01,8.122985505530676276e-02
6.106212424849699616e-01,7.843042277609561796e-02
6.204408817635270745e-01,7.658319300020692555e-02
6.302605210420841875e-01,7.358012230789276464e-02
6.400801603206413004e-01,7.151397400043056629e-02
6.498997995991984133e-01,6.948850130686184956e-02
6.597194388777555263e-01,6.675416666126252063e-02
6.695390781563126392e-01,6.517199349699626110e-02
6.793587174348697522e-01,6.288741118764626381e-02
6.891783567134268651e-01,6.068176145535477545e-02
6.989979959919839780e-01,5.922453082136057423e-02
7.088176352705410910e-01,5.685144426100189469e-02
7.186372745490982039e-01,5.520856273583220342e-02
7.284569138276553169e-01,5.360151633804631499e-02
7.382765531062124298e-01,5.142053744767816764e-02
7.480961923847695427e-01,5.015575251228056308e-02
7.579158316633266557e-01,4.832977446516277531e-02
7.677354709418837686e-01,4.655674510639960795e-02
7.775551102204408815e-01,4.538847751983320772e-02
7.873747494989979945e-01,4.347701162374652956e-02
7.971943887775551074e-01,4.214997358629998803e-02
8.070140280561122204e-01,4.085566094810581805e-02
8.168336673346693333e-01,3.908691832485115814e-02
8.266533066132264462e-01,3.806431053658412139e-02
8.364729458917835592e-01,3.658395701227321051e-02
8.462925851703406721e-01,3.513943561856640307e-02
8.561122244488977850e-01,3.419452400407359954e-02
8.659318637274548980e-01,3.263472681677058451e-02
8.757515030060120109e-01,3.155277553635083693e-02
8.855711422845691239e-01,3.050134732679917610e-02
8.953907815631262368e-01,2.905096077145550779e-02
9.052104208416833497e-01,2.822008507807476432e-02
9.150300601202404627e-01,2.700941876939299408e-02
9.248496993987975756e-01,2.582289149778396742e-02
9.346693386773546885e-01,2.505661880268006403e-02
9.444889779559118015e-01,2.377337454667169739e-02
9.543086172344689144e-01,2.288771995117863320e-02
9.641282565130260274e-01,2.203088272904881253e-02
9.739478957915831403e-01,2.083367746432141301e-02
9.837675350701402532e-01,2.015913379014768955e-02
9.935871743486973662e-01,1.916492905574057951e-02
1.003406813627254479e+00,1.818662438719930580e-02
1.013226452905811703e+00,1.756714798514331238e-02
1.023046092184368705e+00,1.650707580155546042e-02
1.032865731462925929e+00,1.578265653551367068e-02
1.042685370741483153e+00,1.508562921324866149e-02
1.052505010020040155e+00,1.409461201280416166e-02
1.062324649298597379e+00,1.355049194843231317e-02
1.072144288577154381e+00,1.273400213544830135e-02
1.081963927855711605e+00,1.192744640651379785e-02
1.091783567134268607e+00,1.143113919795672555e-02
1.101603206412825831e+00,1.055492264108499022e-02
1.111422845691382832e+00,9.965552700683610876e-03
1.121242484969940056e+00,9.402310932898868059e-03
1.131062124248497058e+00,8.582400299888499895e-03
1.140881763527054282e+00,8.148966983980421991e-03
1.150701402805611284e+00,7.480974951939217167e-03
1.160521042084168508e+00,6.818487676907737140e-03
1.170340681362725510e+00,6.427114709218646749e-03
1.180160320641282734e+00,5.704817580737999404e-03
1.189979959919839736e+00,5.230210952000356912e-03
1.199799599198396960e+00,4.780563812396628094e-03
1.209619238476953962e+00,4.104706902436514905e-03
1.219438877755511186e+00,3.766338328470516996e-03
1.229258517034068188e+00,3.224070419851250442e-03
1.239078156312625412e+00,2.683940941631900601e-03
1.248897795591182414e+00,2.382892340026823708e-03
1.258717434869739638e+00,1.790999706240698885e-03
1.268537074148296639e+00,1.414888925144796271e-03
1.278356713426853863e+00,1.062626611456684656e-03
1.288176352705410865e+00,5.093186605683593755e-04
1.297995991983968089e+00,2.531994023370311630e-04
1.307815631262525091e+00,-1.816546958208577526e-04
1.317635270541082315e+00,-6.169861253239697666e-04
1.327454909819639317e+00,-8.398274442834265845e-04
1.337274549098196541e+00,-1.320329056421464366e-03
1.347094188376753543e+00,-1.611410346386745428e-03
1.356913827655310767e+00,-1.879716896719719555e-03
1.366733466933867991e+00,-2.328055971795221866e-03
1.376553106212424993e+00,-2.512782112055944681e-03
1.386372745490982217e+00,-2.855367876855076543e-03
1.396192384769539219e+00,-3.200506373318534603e-03
1.406012024048096443e+00,-3.355501358557597125e-03
1.415831663326653445e+00,-3.740395204034751859e-03
1.425651302605210669e+00,-3.957912437857808233e-03
1.435470941883767670e+00,-4.153701386893512114e-03
1.445290581162324894e+00,-4.511808809957557585e-03
1.455110220440881896e+00,-4.634592985432838506e-03
1.464929859719439120e+00,-4.897755860759399685e-03
1.474749498997996122e+00,-5.165150079502037195e-03
1.484569138276553346e+00,-5.261386155667172569e-03
1.494388777555110348e+00,-5.564079543169916584e-03
1.504208416833667572e+00,-5.718027668028595641e-03
1.514028056112224574e+00,-5.851270308372503309e-03
1.523847695390781798e+00,-6.131770526753407315e-03
1.533667334669338800e+00,-6.201021750440736599e-03
1.543486973947896024e+00,-6.395888735176226067e-03
1.553306613226453026e+00,-6.596368044115201966e-03
1.563126252505010250e+00,-6.641974803353887895e-03
1.572945891783567252e+00,-6.874078740012488399e-03
1.582765531062124476e+00,-6.973334398847956701e-03
1.592585170340681477e+00,-7.052883353489945023e-03
1.602404809619238701e+00,-7.266784628532611465e-03
1.612224448897795703e+00,-7.290105588423351560e-03
1.622044088176352927e+00,-7.426478153764408570e-03
1.631863727454909929e+00,-7.569615416910954568e-03
1.641683366733467153e+00,-7.571968942497127320e-03
1.651503006012024155e+00,-7.743693579021267842e-03
1.661322645290581379e+00,-7.796247748140478460e-03
1.671142284569138381e+00,-7.830067202493733169e-03
1.680961923847695605e+00,-7.987100681212793221e-03
1.690781563126252607e+00,-7.971438292178957205e-03
1.700601202404809831e+00,-8.058057886734465783e-03
1.710420841683366833e+00,-8.152414262800087436e-03
1.720240480961924057e+00,-8.118266645079539115e-03
1.730060120240481059e+00,-8.238691617341023163e-03
1.739879759519038283e+00,-8.251801500547249063e-03
1.749699398797595284e+00,-8.247117775605673426e-03
1.759519038076152508e+00,-8.355969275691033787e-03
1.769338677354709510e+00,-8.307707995082142666e-03
1.779158316633266734e+00,-8.352434930335755209e-03
1.788977955911823736e+00,-8.405724420043227466e-03
1.798797595190380960e+00,-8.341283199277294003e-03
1.808617234468937962e+00,-8.418542537848114349e-03
1.818436873747495186e+00,-8.398829051894960568e-03
1.828256513026052188e+00,-8.362227503528864292e-03
1.838076152304609412e+00,-8.430695986733651587e-03
1.847895791583166414e+00,-8.355713176434827541e-03
1.857715430861723638e+00,-8.365646690144730446e-03
1.867535070140280640e+00,-8.384846247300131380e-03
1.877354709418837864e+00,-8.295820889337238158e-03
1.887174348697394866e+00,-8.337229659525574599e-03
1.896993987975952090e+00,-8.290738722476462957e-03
1.906813627254509091e+00,-8.228225000510997963e-03
1.916633266533066315e+00,-8.263331196523495889e-03
1.926452905811623317e+00,-8.167028004514393855e-03
1.936272545090180541e+00,-8.148586789083232113e-03
1.946092184368737543e+00,-8.140009963175138738e-03
1.955911823647294767e+00,-8.031637379010362482e-03
1.965731462925851769e+00,-8.043778977786349843e-03
1.975551102204408993e+00,-7.976019413622529447e-03
1.985370741482966217e+00,-7.893057704428333571e-03
1.995190380761523219e+00,-7.901119302544515333e-03
2.005010020040080221e+00,-7.788436587949529484e-03
2.014829659318637223e+00,-7.747413328320502598e-03
2.024649298597194669e+00,-7.716760083141342361e-03
2.034468937875751671e+00,-7.593817685867516529e-03
2.044288577154308673e+00,-7.582605111157551120e-03
2.054108216432865675e+00,-7.498572204756832373e-03
2.063927855711423121e+00,-7.400109394893673517e-03
2.073747494989980122e+00,-7.386794386179800290e-03
2.083567134268537124e+00,-7.262220422852645046e-03
2.093386773547094126e+00,-7.203819904682208682e-03
2.103206412825651572e+00,-7.156211545726641823e-03
2.113026052104208574e+00,-7.023023835378632354e-03
2.122845691382765576e+00,-6.993744332866813629e-03
2.132665330661323022e+00,-6.897935416038838800e-03
2.142484969939880024e+00,-6.788417456303722820e-03
2.152304609218437026e+00,-6.758783804081691833e-03
2.162124248496994028e+00,-6.626358478515288752e-03
2.171943887775551474e+00,-6.555225995675139153e-03
2.181763527054108476e+00,-6.495231488581388636e-03
2.191583166332665478e+00,-6.355674329650722043e-03
2.201402805611222480e+00,-6.313024033069557055e-03
2.211222444889779926e+00,-6.209450537425308288e-03
2.221042084168336928e+00,-6.092835369749136261e-03
2.230861723446893929e+00,-6.051362738646949395e-03
2.240681362725450931e+00,-5.914681465327708415e-03
2.250501002004008377e+00,-5.834926203369888466e-03
2.260320641282565379e+00,-5.766584237241706261e-03
2.270140280561122381e+00,-5.624089638096855387e-03
2.279959919839679383e+00,-5.572202795404992796e-03
2.289779559118236829e+00,-5.464401774775216013e-03
2.299599198396793831e+00,-5.344171764794156815e-03
2.309418837675350833e+00,-5.294789255509356127e-03
2.319238476953907835e+00,-5.157008715469761813e-03
2.329058116232465281e+00,-5.072225279942554899e-03
2.338877755511022283e+00,-4.999065008692476879e-03
2.348697394789579285e+00,-4.856628196074466546e-03
2.358517034068136287e+00,-4.799104085567473463e-03
2.368336673346693733e+00,-4.690151142059011298e-03
2.378156312625250735e+00,-4.569326904207493024e-03
2.387975951903807736e+00,-4.515439418006302746e-03
2.397795591182364738e+00,-4.379286386733878891e-03
2.407615230460922184e+00,-4.292576530256659965e-03
2.417434869739479186e+00,-4.217638872778939514e-03
2.427254509018036188e+00,-4.077828692418166562e-03
2.437074148296593190e+00,-4.017758245116080824e-03
2.446893787575150636e+00,-3.910282996169013765e-03
2.456713426853707638e+00,-3.791439712442769023e-03
2.466533066132264640e+00,-3.735954612643385339e-03
2.476352705410821642e+00,-3.603738515962790715e-03
2.486172344689379088e+00,-3.517734294121377218e-03
2.495991983967936090e+00,-3.443594896264475305e-03
