# kF r, W(r)
1.417013166125197436e-10,3.683611815685819089e+07
1.424210966657624395e-10,5.987089089475345612e+07
1.431445328835166934e-10,8.143853738090528548e+07
1.438716438374821793e-10,1.010906306959621906e+08
1.446024481936945135e-10,1.184186531615456790e+08
1.453369647130045537e-10,1.330606238893806487e+08
1.460752122515599479e-10,1.447123385598948896e+08
1.468172097612893449e-10,1.531322078042577207e+08
1.475629762903886214e-10,1.581501856194987595e+08
1.483125309838102887e-10,1.596700003929232061e+08
1.490658930837546312e-10,1.576750315374160111e+08
1.498230819301631456e-10,1.522272892122180462e+08
1.505841169612176405e-10,1.434697158107443750e+08
1.513490177138354079e-10,1.316215278241091222e+08
1.521178038241732347e-10,1.169767127622005939e+08
1.528904950281309744e-10,9.989567220259508491e+07
1.536671111618580143e-10,8.080003574811396003e+07
1.544476721622626901e-10,6.016091351130748540e+07
1.552321980675239996e-10,3.849052770556171983e+07
1.560207090176060839e-10,1.632776240644886158e+07
1.568132252547751117e-10,-5.772516445510936901e+06
1.576097671241184383e-10,-2.725557581421716139e+07
1.584103550740693228e-10,-4.757861663233752549e+07
1.592150096569282584e-10,-6.622723640824446082e+07
1.600237515293927558e-10,-8.272693399380116165e+07
1.608366014530873853e-10,-9.665843779219575226e+07
1.616535802950965841e-10,-1.076674013505944461e+08
1.624747090285002559e-10,-1.154770967338232845e+08
1.633000087329123690e-10,-1.198948528784282207e+08
1.641295005950220098e-10,-1.208207651247062683e+08
1.649632059091372025e-10,-1.182496677194952369e+08
1.658011460777310292e-10,-1.122748367607223541e+08
1.666433426119937212e-10,-1.030846974891999215e+08
1.674898171323807953e-10,-9.096098340298792720e+07
1.683405913691707549e-10,-7.626993123039142787e+07
1.691956871630224025e-10,-5.945496557842727751e+07
1.700551264655353322e-10,-4.102278048694882542e+07
1.709189313398136534e-10,-2.153128694686961547e+07
1.717871239610322737e-10,-1.571650491658253595e+06
1.726597266170061277e-10,1.824710898092702404e+07
1.735367617087617337e-10,3.731844244932579994e+07
1.744182517511150565e-10,5.505508137016858160e+07
1.753042193732452608e-10,7.090958057182081044e+07
