# kF r, W(r)
1.417013166125197436e-10,3.832223843715814408e+06
1.424210966657624395e-10,7.149552592314345762e+06
1.431445328835166934e-10,1.025368209374531358e+07
1.438716438374821793e-10,1.308058915080637112e+07
1.446024481936945135e-10,1.557224902461253852e+07
1.453369647130045537e-10,1.767724296684024110e+07
1.460752122515599479e-10,1.935267706050579995e+07
1.468172097612893449e-10,2.056453176883148775e+07
1.475629762903886214e-10,2.128923855287123471e+07
1.483125309838102887e-10,2.151365627701865882e+07
1.490658930837546312e-10,2.123620216428312659e+07
1.498230819301631456e-10,2.046636561681252718e+07
1.505841169612176405e-10,1.922532179266764224e+07
1.513490177138354079e-10,1.754493075472599640e+07
1.521178038241732347e-10,1.546780436839320697e+07
1.528904950281309744e-10,1.304578545113946870e+07
1.536671111618580143e-10,1.033948887994475476e+07
1.544476721622626901e-10,7.416307992716606706e+06
1.552321980675239996e-10,4.349504549454903230e+06
1.560207090176060839e-10,1.215843259857760044e+06
1.568132252547751117e-10,-1.905642695651079295e+06
1.576097671241184383e-10,-4.936239106976106763e+06
1.584103550740693228e-10,-7.798938473069744185e+06
1.592150096569282584e-10,-1.042106107418464310e+07
1.600237515293927558e-10,-1.273559385907503590e+07
1.608366014530873853e-10,-1.468363471236930788e+07
1.616535802950965841e-10,-1.621546831817878783e+07
1.624747090285002559e-10,-1.729262214856405929e+07
1.633000087329123690e-10,-1.788847588119437918e+07
1.641295005950220098e-10,-1.798974062573840469e+07
1.649632059091372025e-10,-1.759643385639604181e+07
1.658011460777310292e-10,-1.672264093677344359e+07
1.666433426119937212e-10,-1.539574664320515469e+07
1.674898171323807953e-10,-1.365640772423372045e+07
1.683405913691707549e-10,-1.155701094015376829e+07
1.691956871630224025e-10,-9.160871617663079873e+06
1.700551264655353322e-10,-6.539979586943154223e+06
1.709189313398136534e-10,-3.773532885513568297e+06
1.717871239610322737e-10,-9.451271587335163495e+05
1.726597266170061277e-10,1.859175136491123354e+06
1.735367617087617337e-10,4.553971179024905898e+06
1.744182517511150565e-10,7.056636823311310261e+06
1.753042193732452608e-10,9.290464571237249300e+06
1.761946873192783643e-10,1.118664613752407208e+07
1.770896784488706071e-10,1.268708692307196185e+07
1.779892157377950522e-10,1.374591665154009871e+07
1.788933222785317008e-10,1.433165621197604574e+07
1.798020212808599607e-10,1.442795449370472878e+07
1.807153360724547853e-10,1.403484006564389542e+07
1.816332900994853966e-10,1.316846151588576473e+07
1.825559069272163360e-10,1.186125689704122394e+07
1.834832102406156483e-10,1.016059447996553965e+07
1.844152238449582587e-10,8.127828618257041089e+06
1.853519716664400507e-10,5.835885848487756215e+06
1.862934777527915309e-10,3.367331562098241877e+06
1.872397662738949055e-10,8.111046263592645992e+05
1.881908615224048797e-10,-1.740125716339615174e+06
1.891467879143718605e-10,-4.193727720224151388e+06
1.901075699898692181e-10,-6.460050129094738513e+06
1.910732324136229771e-10,-8.456234429210154340e+06
1.920437999756441964e-10,-1.010896568880499154e+07
1.930192975918687931e-10,-1.135782084032306075e+07
1.939997503047919900e-10,-1.215732109132258408e+07
1.949851832841148866e-10,-1.247933259484313242e+07
1.959756218273892724e-10,-1.231397938968614116e+07
1.969710913606675580e-10,-1.167071859190608561e+07
1.979716174391551362e-10,-1.057781749468154088e+07
1.989772257478664915e-10,-9.081905566682310775e+06
1.999879421022847990e-10,-7.245929811919931322e+06
2.010037924490242895e-10,-5.147219780247152783e+06
2.020248028664958709e-10,-2.874084271207074635e+06
2.030509995655796007e-10,-5.226799080907690804e+05
2.040824088902927891e-10,1.807338678722417448e+06
2.051190573184695539e-10,4.016623659278429579e+06
2.061609714624396516e-10,6.010813604659526609e+06
2.072081780697118572e-10,7.704322896623349749e+06
2.082607040236602146e-10,9.024617547482868657e+06
2.093185763442146548e-10,9.915241044959543273e+06
2.103818221885543018e-10,1.033895738618563861e+07
2.114504688518039080e-10,1.027933770911226608e+07
2.125245437677379650e-10,9.742183088499523699e+06
2.136040745094798525e-10,8.755204756509479135e+06
2.146890887902131105e-10,7.367409005932313390e+06
2.157796144638918835e-10,5.646725988356482238e+06
2.168756795259562511e-10,3.677401399987997022e+06
2.179773121140506344e-10,1.555816158523383085e+06
2.190845405087463122e-10,-6.136757512944723712e+05
2.201973931342673499e-10,-2.724111625814067665e+06
2.213158985592203275e-10,-4.670845945835069753e+06
2.224400854973267306e-10,-6.357175062266155146e+06
2.235699828081638458e-10,-7.699009147942109965e+06
2.247056194979002020e-10,-8.629693446937739849e+06
2.258470247200435739e-10,-9.103369165745094419e+06
2.269942277761888570e-10,-9.097997506820661947e+06
2.281472581167699745e-10,-8.616535250582141802e+06
2.293061453418160241e-10,-7.687461041447128169e+06
2.304709192017113017e-10,-6.363286277304162271e+06
2.316416095979587375e-10,-4.718364460723376833e+06
2.328182465839477519e-10,-2.844804670595674776e+06
2.340008603657248525e-10,-8.479302421408509836e+05
2.351894813027726048e-10,1.159744429955315543e+06
2.363841399087834861e-10,3.064471719748867676e+06
2.375848668524471284e-10,4.758062215159574524e+06
2.387916929582364506e-10,6.143911192709173076e+06
2.400046492071991148e-10,7.143100847544847988e+06
2.412237667377526539e-10,7.699008674162940122e+06
2.424490768464842519e-10,7.781292582093449309e+06
2.436806109889537810e-10,7.387801757002027705e+06
2.449184007805013369e-10,6.545400774806646630e+06
2.461624779970583409e-10,5.308452001012095250e+06
2.474128745759663969e-10,3.756124163871468045e+06
2.486696226167921682e-10,1.987511136301882332e+06
2.499327543821545575e-10,1.159287009251875425e+05
2.512023022985525084e-10,-1.738396065072421450e+06
2.524782989571972004e-10,-3.455711675895636901e+06
2.537607771148487941e-10,-4.924825887299534865e+06
2.550497696946573118e-10,-6.050283062417509034e+06
2.563453097870076541e-10,-6.759204962328719907e+06
2.576474306503683911e-10,-7.006249336670631543e+06
2.589561657121495997e-10,-6.777343322751059197e+06
2.602715485695544467e-10,-6.090839955828368664e+06
2.615936129904463320e-10,-4.996968467115862295e+06
2.629223929142142233e-10,-3.574525759220308624e+06
2.642579224526445561e-10,-1.925969352475439431e+06
2.656002358907961839e-10,-1.701960090892701119e+05
2.669493676878810671e-10,1.565549045198098524e+06
2.683053524781487359e-10,3.155063086366845295e+06
2.696682250717753542e-10,4.482244625744177029e+06
2.710380204557563512e-10,5.450105401668665931e+06
2.724147737948089269e-10,5.988089388013612479e+06
2.737985204322681472e-10,6.058036953572821803e+06
2.751892958909987038e-10,5.657341538049869239e+06
2.765871358743057951e-10,4.819892015797300264e+06
2.779920762668515392e-10,3.613721420499584172e+06
2.794041531355763492e-10,2.136352145626324229e+06
2.808234027306248070e-10,5.072201728731908952e+05
2.822498614862760352e-10,-1.141409642679822631e+06
2.836835660218792891e-10,-2.675239455119318794e+06
2.851245531427928592e-10,-3.968730317514699884e+06
2.865728598413333123e-10,-4.915864524347780272e+06
2.880285232977183743e-10,-5.439104410348370671e+06
2.894915808810261488e-10,-5.496579738717593253e+06
2.909620701501528899e-10,-5.085974732607283629e+06
2.924400288547778041e-10,-4.245502574767879210e+06
2.939254949363313173e-10,-3.050947661799896043e+06
2.954185065289699588e-10,-1.609724208309859503e+06
2.969191019605547091e-10,-5.156259602187288692e+04
2.984273197536352417e-10,1.482645022355270339e+06
2.999431986264373177e-10,2.853685602182069793e+06
3.014667774938621758e-10,3.936636011987596285e+06
3.029980954684776491e-10,4.632844833044220693e+06
3.045371918615273776e-10,4.879360427776942961e+06
3.060841061839387793e-10,4.655587982102868147e+06
3.076388781473373804e-10,3.985679843776337802e+06
3.092015476650660051e-10,2.937030542903789785e+06
3.107721548532099114e-10,1.614143237240278162e+06
3.123507400316261133e-10,1.490493131312469195e+05
3.139373437249774087e-10,-1.311611546576458029e+06
3.155320066637779871e-10,-2.620942161196038593e+06
3.171347697854309212e-10,-3.646871249561434146e+06
3.187456742352847866e-10,-4.285735524137539789e+06
3.203647613676881101e-10,-4.473595373275420628e+06
3.219920727470514182e-10,-4.193324471401808318e+06
3.236276501489138346e-10,-3.477258649756239727e+06
3.252715355610159853e-10,-2.404287494957276154e+06
3.269237711843774530e-10,-1.092179978802061174e+06
3.285843994343805902e-10,3.148468053394264425e+05
3.302534629418574868e-10,1.661452935299973469e+06
3.319310045541904818e-10,2.798436338216506876e+06
3.336170673364031112e-10,3.599409754913199227e+06
3.353116945722719939e-10,3.975611830182288773e+06
3.370149297654360291e-10,3.886456582152909599e+06
3.387268166405134005e-10,3.345070037191825919e+06
3.404473991442236983e-10,2.417375022935861256e+06
3.421767214465170208e-10,1.215215944447324378e+06
3.439148279417069019e-10,-1.164636868885449658e+05
3.456617632496103723e-10,-1.416454127365591004e+06
3.474175722166922091e-10,-2.526797095470037777e+06
3.491822999172213859e-10,-3.312094352658319753e+06
3.509559916544201303e-10,-3.676771876569070853e+06
3.527386929616324711e-10,-3.577488590067532379e+06
3.545304496034917010e-10,-3.029507426583556458e+06
3.563313075770950240e-10,-2.105444825256168377e+06
3.581413131131848217e-10,-9.268454099360712571e+05
