# kF r, W(r)
1.417013166125197436e-10,5.507647470054018497e+07
1.424210966657624395e-10,7.384814391292744875e+07
1.431445328835166934e-10,9.078507829309479892e+07
1.438716438374821793e-10,1.055463015050822347e+08
1.446024481936945135e-10,1.178349918672387004e+08
1.453369647130045537e-10,1.274049408124573082e+08
1.460752122515599479e-10,1.340670532157124281e+08
1.468172097612893449e-10,1.376938149462901950e+08
1.475629762903886214e-10,1.382234635897802413e+08
1.483125309838102887e-10,1.356618740621158481e+08
1.490658930837546312e-10,1.300838938881299198e+08
1.498230819301631456e-10,1.216322421715935171e+08
1.505841169612176405e-10,1.105157219879533499e+08
1.513490177138354079e-10,9.700497529783181846e+07
1.521178038241732347e-10,8.142755702533818781e+07
1.528904950281309744e-10,6.416068013373938948e+07
1.536671111618580143e-10,4.562344117805294693e+07
1.544476721622626901e-10,2.626700174559326842e+07
1.552321980675239996e-10,6.564566467884507962e+06
1.560207090176060839e-10,-1.300025065019323118e+07
1.568132252547751117e-10,-3.194480982822018489e+07
1.576097671241184383e-10,-4.979988686011843383e+07
1.584103550740693228e-10,-6.612130816751233488e+07
1.592150096569282584e-10,-8.050201118957553804e+07
1.600237515293927558e-10,-9.258269035839729011e+07
1.608366014530873853e-10,-1.020622152984093577e+08
1.616535802950965841e-10,-1.087060382749739140e+08
1.624747090285002559e-10,-1.123537682339931726e+08
1.633000087329123690e-10,-1.129242206192521900e+08
1.641295005950220098e-10,-1.104191477479273528e+08
1.649632059091372025e-10,-1.049240855025485903e+08
1.658011460777310292e-10,-9.660758210730361938e+07
1.666433426119937212e-10,-8.571740028824320436e+07
1.674898171323807953e-10,-7.257504534599733353e+07
1.683405913691707549e-10,-5.756738493059761822e+07
1.691956871630224025e-10,-4.113681338507828861e+07
1.700551264655353322e-10,-2.376890576032187790e+07
1.709189313398136534e-10,-5.979112465289622545e+06
1.717871239610322737e-10,1.170239330670788139e+07
1.726597266170061277e-10,2.874608653372234479e+07
1.735367617087617337e-10,4.463943109478334337e+07
1.744182517511150565e-10,5.890252185069905967e+07
1.753042193732452608e-10,7.110369075680255890e+07
1.761946873192783643e-10,8.087342298223835230e+07
1.770896784488706071e-10,8.791721822065339983e+07
1.779892157377950522e-10,9.202582216424526274e+07
1.788933222785317008e-10,9.308350416928404570e+07
1.798020212808599607e-10,9.107295279489009082e+07
1.807153360724547853e-10,8.607757301786465943e+07
1.816332900994853966e-10,7.827996500091147423e+07
1.825559069272163360e-10,6.795753163731855154e+07
1.834832102406156483e-10,5.547424809725110233e+07
1.844152238449582587e-10,4.126973840169537067e+07
1.853519716664400507e-10,2.584496495948285982e+07
1.862934777527915309e-10,9.745878495032794774e+06
1.872397662738949055e-10,-6.455406583710310981e+06
1.881908615224048797e-10,-2.218039213875880837e+07
1.891467879143718605e-10,-3.686515722223244607e+07
1.901075699898692181e-10,-4.998087545897920430e+07
1.910732324136229771e-10,-6.105398925463598967e+07
1.920437999756441964e-10,-6.968440860861110687e+07
1.930192975918687931e-10,-7.556181986087223887e+07
1.939997503047919900e-10,-7.847858198879827559e+07
1.949851832841148866e-10,-7.833940338107272983e+07
1.959756218273892724e-10,-7.516650771240322292e+07
1.969710913606675580e-10,-6.910070597233152390e+07
1.979716174391551362e-10,-6.039741906899297237e+07
1.989772257478664915e-10,-4.941838181143561006e+07
1.999879421022847990e-10,-3.661847611890985817e+07
2.010037924490242895e-10,-2.252878089613729343e+07
2.020248028664958709e-10,-7.735702400445561856e+06
2.030509995655796007e-10,7.142389704239494167e+06
2.040824088902927891e-10,2.148079449460859969e+07
2.051190573184695539e-10,3.467470423777162284e+07
2.061609714624396516e-10,4.616555358115103841e+07
2.072081780697118572e-10,5.546571691520237178e+07
2.082607040236602146e-10,6.218102124117206782e+07
2.093185763442146548e-10,6.602939216461496055e+07
2.103818221885543018e-10,6.685524263840422034e+07
2.114504688518039080e-10,6.463822574903782457e+07
2.125245437677379650e-10,5.949630688669025153e+07
2.136040745094798525e-10,5.168226577199688554e+07
2.146890887902131105e-10,4.157408822328265011e+07
2.157796144638918835e-10,2.965896803228801489e+07
2.168756795259562511e-10,1.651195864608900808e+07
2.179773121140506344e-10,2.769625912439303938e+06
2.190845405087463122e-10,-1.089971560001850128e+07
2.201973931342673499e-10,-2.382829968595903739e+07
2.213158985592203275e-10,-3.538177313193010539e+07
2.224400854973267306e-10,-4.499143080746839195e+07
2.235699828081638458e-10,-5.218373958241805434e+07
2.247056194979002020e-10,-5.660594855644635111e+07
2.258470247200435739e-10,-5.804592313178475946e+07
2.269942277761888570e-10,-5.644534166347040236e+07
2.281472581167699745e-10,-5.190495043380253762e+07
2.293061453418160241e-10,-4.468167053363536298e+07
2.304709192017113017e-10,-3.517707801432233304e+07
2.316416095979587375e-10,-2.391790976043332741e+07
2.328182465839477519e-10,-1.152906490335658751e+07
