# kF r, W(r)
1.417013166125197436e-10,-1.770794371289239731e+06
1.424210966657624395e-10,1.176459181875350187e+06
1.431445328835166934e-10,4.035965505015148316e+06
1.438716438374821793e-10,6.747648302497247234e+06
1.446024481936945135e-10,9.254855285302864388e+06
1.453369647130045537e-10,1.150489181771534309e+07
1.460752122515599479e-10,1.345093814140743390e+07
1.468172097612893449e-10,1.505243311633360013e+07
1.475629762903886214e-10,1.627676049330382794e+07
1.483125309838102887e-10,1.709937170065512136e+07
1.490658930837546312e-10,1.750513711901273951e+07
1.498230819301631456e-10,1.748811288672956079e+07
1.505841169612176405e-10,1.705247473951936141e+07
1.513490177138354079e-10,1.621186084231153876e+07
1.521178038241732347e-10,1.498983787788548507e+07
1.528904950281309744e-10,1.341878865383856185e+07
1.536671111618580143e-10,1.153990083510168456e+07
1.544476721622626901e-10,9.401611984239004552e+06
1.552321980675239996e-10,7.059157498038786463e+06
1.560207090176060839e-10,4.572633116119389422e+06
1.568132252547751117e-10,2.006186030989204999e+06
1.576097671241184383e-10,-5.741989014665883733e+05
1.584103550740693228e-10,-3.101737249218443874e+06
1.592150096569282584e-10,-5.511189063775124028e+06
1.600237515293927558e-10,-7.739963954038816504e+06
1.608366014530873853e-10,-9.730421292047249153e+06
1.616535802950965841e-10,-1.143085965890112706e+07
1.624747090285002559e-10,-1.279758741293451749e+07
1.633000087329123690e-10,-1.379561187902466953e+07
1.641295005950220098e-10,-1.440030278784484416e+07
1.649632059091372025e-10,-1.459761560905825906e+07
1.658011460777310292e-10,-1.438520025369449519e+07
1.666433426119937212e-10,-1.377203351463915035e+07
1.674898171323807953e-10,-1.277887612910987251e+07
1.683405913691707549e-10,-1.143724927306747995e+07
1.691956871630224025e-10,-9.789211103930927813e+06
1.700551264655353322e-10,-7.885686759777812287e+06
1.709189313398136534e-10,-5.785614585839226842e+06
1.717871239610322737e-10,-3.553720586812083144e+06
1.726597266170061277e-10,-1.259166024661730044e+06
1.735367617087617337e-10,1.027063842081496376e+06
1.744182517511150565e-10,3.233805528378709685e+06
1.753042193732452608e-10,5.292478918345012702e+06
1.761946873192783643e-10,7.138766302452052943e+06
1.770896784488706071e-10,8.715247285083668306e+06
1.779892157377950522e-10,9.972824785348817706e+06
1.788933222785317008e-10,1.087294733684992976e+07
1.798020212808599607e-10,1.138850558282985352e+07
1.807153360724547853e-10,1.150538546541126445e+07
1.816332900994853966e-10,1.122260799051206559e+07
1.825559069272163360e-10,1.055302541167121008e+07
1.834832102406156483e-10,9.522563834250042215e+06
1.844152238449582587e-10,8.169977532828471623e+06
1.853519716664400507e-10,6.545170569727602415e+06
1.862934777527915309e-10,4.708051172871710733e+06
1.872397662738949055e-10,2.726041509841560852e+06
1.881908615224048797e-10,6.722086406526106875e+05
1.891467879143718605e-10,-1.377797140693803551e+06
1.901075699898692181e-10,-3.348035509187689982e+06
1.910732324136229771e-10,-5.165559784871310927e+06
1.920437999756441964e-10,-6.762744879775771871e+06
1.930192975918687931e-10,-8.080377016822841018e+06
1.939997503047919900e-10,-9.069588180297661573e+06
1.949851832841148866e-10,-9.694328128594456241e+06
1.959756218273892724e-10,-9.932502708503026515e+06
1.969710913606675580e-10,-9.777464489387294278e+06
1.979716174391551362e-10,-9.238046623707422987e+06
1.989772257478664915e-10,-8.338835293663339689e+06
1.999879421022847990e-10,-7.118947010223227553e+06
2.010037924490242895e-10,-5.631026913628093898e+06
2.020248028664958709e-10,-3.938816789112594444e+06
2.030509995655796007e-10,-2.115033792813822627e+06
2.040824088902927891e-10,-2.379897212493933039e+05
2.051190573184695539e-10,1.611288463545385748e+06
2.061609714624396516e-10,3.352936795555254444e+06
2.072081780697118572e-10,4.911365426366003230e+06
2.082607040236602146e-10,6.219052424293549731e+06
2.093185763442146548e-10,7.219272409968258813e+06
2.103818221885543018e-10,7.869186315867321566e+06
2.114504688518039080e-10,8.141590193338590674e+06
2.125245437677379650e-10,8.026755455287703313e+06
2.136040745094798525e-10,7.532732319700409658e+06
2.146890887902131105e-10,6.685581877565173432e+06
2.157796144638918835e-10,5.528005000289274380e+06
2.168756795259562511e-10,4.117885134033187758e+06
2.179773121140506344e-10,2.525321241882826667e+06
2.190845405087463122e-10,8.297247753343711374e+05
2.201973931342673499e-10,-8.843386436996257398e+05
2.213158985592203275e-10,-2.530943366263385396e+06
2.224400854973267306e-10,-4.027469123367238324e+06
2.235699828081638458e-10,-5.298500431590113789e+06
2.247056194979002020e-10,-6.280147298655348830e+06
2.258470247200435739e-10,-6.923172913342501037e+06
2.269942277761888570e-10,-7.196113028953537345e+06
2.281472581167699745e-10,-7.086842278269283473e+06
2.293061453418160241e-10,-6.603816294271470979e+06
2.304709192017113017e-10,-5.775557166025706567e+06
2.316416095979587375e-10,-4.649692837016450241e+06
2.328182465839477519e-10,-3.290258591702777892e+06
2.340008603657248525e-10,-1.774671261562407017e+06
2.351894813027726048e-10,-1.892298313358200248e+05
2.363841399087834861e-10,1.375355140695620095e+06
2.375848668524471284e-10,2.829427476419729181e+06
2.387916929582364506e-10,4.089289337293738965e+06
2.400046492071991148e-10,5.082495760844893754e+06
