# kF r, W(r)
1.417013166125197436e-10,7.139733176220659167e+06
1.424210966657624395e-10,9.668121577258896083e+06
1.431445328835166934e-10,1.196263689672834799e+07
1.438716438374821793e-10,1.397654381433342956e+07
1.446024481936945135e-10,1.566917563749177940e+07
1.453369647130045537e-10,1.700615790799303725e+07
1.460752122515599479e-10,1.796095969629713148e+07
1.468172097612893449e-10,1.851486622077502683e+07
1.475629762903886214e-10,1.865821184968518466e+07
1.483125309838102887e-10,1.839002059038948640e+07
1.490658930837546312e-10,1.771885126535196602e+07
1.498230819301631456e-10,1.666204941246007569e+07
1.505841169612176405e-10,1.524616414290158451e+07
1.513490177138354079e-10,1.350578798473849520e+07
1.521178038241732347e-10,1.148354130404132605e+07
1.528904950281309744e-10,9.228515710506647825e+06
1.536671111618580143e-10,6.795862903649367392e+06
1.544476721622626901e-10,4.244899232654425316e+06
1.552321980675239996e-10,1.638377769541922491e+06
1.560207090176060839e-10,-9.596475532998256385e+05
1.568132252547751117e-10,-3.484749271681062877e+06
1.576097671241184383e-10,-5.874369099310786463e+06
1.584103550740693228e-10,-8.068796730384475552e+06
1.592150096569282584e-10,-1.001336097143919207e+07
1.600237515293927558e-10,-1.165929401463391259e+07
1.608366014530873853e-10,-1.296570219691664353e+07
1.616535802950965841e-10,-1.390014788592215255e+07
1.624747090285002559e-10,-1.444023833585905656e+07
1.633000087329123690e-10,-1.457377412249682657e+07
1.641295005950220098e-10,-1.429982103033083305e+07
1.649632059091372025e-10,-1.362831000028642640e+07
1.658011460777310292e-10,-1.258050214587187394e+07
1.666433426119937212e-10,-1.118797876984542422e+07
1.674898171323807953e-10,-9.492470587984487414e+06
1.683405913691707549e-10,-7.544243418347770348e+06
1.691956871630224025e-10,-5.401334171770659275e+06
1.700551264655353322e-10,-3.127411857130485587e+06
1.709189313398136534e-10,-7.905373762920780573e+05
1.717871239610322737e-10,1.539347866512310691e+06
1.726597266170061277e-10,3.791952928854488768e+06
1.735367617087617337e-10,5.899307112825025804e+06
1.744182517511150565e-10,7.797343646636033431e+06
1.753042193732452608e-10,9.428472651020843536e+06
1.761946873192783643e-10,1.074295180364956334e+07
1.770896784488706071e-10,1.170109489590248466e+07
1.779892157377950522e-10,1.227416810443400219e+07
1.788933222785317008e-10,1.244598860090369545e+07
1.798020212808599607e-10,1.221312524499244988e+07
1.807153360724547853e-10,1.158569984931451268e+07
1.816332900994853966e-10,1.058674638935942389e+07
1.825559069272163360e-10,9.252118449126567692e+06
1.834832102406156483e-10,7.628965453844510019e+06
1.844152238449582587e-10,5.774764890432335436e+06
1.853519716664400507e-10,3.754996380275495816e+06
1.862934777527915309e-10,1.641442859583297279e+06
1.872397662738949055e-10,-4.907321901096889051e+05
1.881908615224048797e-10,-2.565151691252019256e+06
